代號,名稱,成交,漲跌價,漲跌幅,成交張數,法人買賣日期,外資買進張數,外資賣出張數,外資買賣超張數,投信買進張數,投信賣出張數,投信買賣超張數,自營買進張數,自營賣出張數,自營買賣超張數,合計買進張數,合計賣出張數,合計買賣超張數,法人買賣超註記
2313,華通,244.5,+14.5,+6.3,"78,199",04/30,"29,358","19,054","+10,304","3,101",62,"+3,039",827,538,+289,"33,286","19,654","+13,632",＋＋＋
2455,全新,347.5,+31.5,+9.97,"24,628",04/30,"11,076","4,320","+6,756",4,0,+4,251,203,+47,"11,331","4,523","+6,807",＋＋＋
6706,惠特,151.5,+4.5,+3.06,"21,235",04/30,"9,335","5,738","+3,597","1,576",0,"+1,576",220,157,+63,"11,131","5,895","+5,236",＋＋＋
6488,環球晶,580,+44,+8.21,"9,478",04/30,"5,033","2,509","+2,524",828,4,+824,134,258,-124,"5,995","2,771","+3,224",＋＋－
8046,南電,1005,+89,+9.72,"20,919",04/30,"6,242","4,476","+1,766",710,10,+700,464,459,+5,"7,416","4,945","+2,471",＋＋＋
3029,零壹,102,+6.7,+7.03,"4,599",04/30,"2,213",814,"+1,399",415,5,+410,31,27,+4,"2,659",845,"+1,814",＋＋＋
00997A,主動群益美國增長,11.15,+0.07,+0.63,"22,947",04/30,"6,703","3,340","+3,363",500,0,+500,"2,544","4,638","-2,094","9,747","7,978","+1,769",＋＋－
1560,中砂,540,+19,+3.65,"3,535",04/30,"1,885",669,"+1,216",160,20,+140,164,37,+127,"2,209",726,"+1,483",＋＋＋
2454,聯發科,2610,+35,+1.36,"17,532",04/30,"11,266","9,819","+1,447",198,123,+75,198,299,-101,"11,662","10,241","+1,421",＋＋－
2049,上銀,312.5,+4,+1.3,"9,788",04/30,"3,941","2,739","+1,202",58,0,+58,247,132,+115,"4,246","2,871","+1,375",＋＋＋
8028,昇陽半導體,245,-1,-0.41,"18,660",04/30,"5,674","4,948",+726,350,0,+350,351,337,+14,"6,375","5,285","+1,090",＋＋＋
8070,長華*,47.95,+1.1,+2.35,"2,919",04/30,"1,330",677,+653,388,0,+388,20,6,+14,"1,738",683,"+1,055",＋＋＋
2345,智邦,2280,+70,+3.17,"3,776",04/30,"2,424","1,652",+773,255,229,+26,72,72,0,"2,751","1,953",+799,＋＋－
5269,祥碩,1365,+60,+4.6,"3,283",04/30,"1,608",848,+759,2,1,+1,95,75,+20,"1,704",925,+780,＋＋＋
8996,高力,1250,+110,+9.65,"3,577",04/30,819,657,+163,541,3,+538,89,85,+4,"1,449",744,+705,＋＋＋
2383,台光電,4545,+105,+2.36,"3,473",04/30,"2,074","1,609",+465,143,94,+49,178,150,+28,"2,395","1,853",+541,＋＋＋
3033,威健,35.75,-0.1,-0.28,"3,160",04/30,700,651,+49,540,9,+530,8,65,-57,"1,247",725,+522,＋＋－
2637,慧洋-KY,71.7,+0.1,+0.14,"1,249",04/30,872,506,+366,3,1,+2,37,10,+27,912,517,+395,＋＋＋
6830,汎銓,850,+77,+9.96,"1,495",04/30,499,235,+264,25,0,+25,67,16,+51,591,251,+340,＋＋＋
2458,義隆,136.5,+2.5,+1.87,"1,854",04/30,"1,168",867,+301,13,7,+6,32,1,+31,"1,213",876,+337,＋＋＋
3665,貿聯-KY,2770,-10,-0.36,"2,726",04/30,"1,759","1,455",+303,99,33,+66,16,55,-39,"1,874","1,544",+330,＋＋－
6206,飛捷,108,+2,+1.89,711,04/30,275,213,+62,200,0,+200,3,25,-22,479,238,+240,＋＋－
00692,富邦公司治理,79.1,-0.35,-0.44,"1,371",04/30,122,20,+102,20,0,+20,966,850,+116,"1,108",870,+238,＋＋＋
4749,新應材,1005,-5,-0.5,"3,108",04/30,"1,051",790,+261,5,0,+5,102,153,-51,"1,158",943,+215,＋＋－
6146,耕興,221,+4,+1.84,353,04/30,163,65,+98,107,0,+107,2,0,+2,272,65,+207,＋＋＋
3443,創意,4260,+140,+3.4,"1,039",04/30,324,216,+108,1,0,+1,57,21,+36,382,237,+145,＋＋＋
3081,聯亞,2640,+195,+7.98,"3,667",04/30,"1,046","1,006",+40,79,3,+76,170,168,+1,"1,295","1,177",+117,＋＋＋
3533,嘉澤,2615,-35,-1.32,"1,134",04/30,545,521,+24,65,0,+65,24,26,-2,633,547,+87,＋＋－
2727,王品,226.5,+0.5,+0.22,232,04/30,99,62,+37,46,7,+39,1,3,-2,146,72,+74,＋＋－
1477,聚陽,211.5,-0.5,-0.24,"1,336",04/30,573,513,+60,76,75,+1,27,32,-5,676,621,+55,＋＋－
6805,富世達,2070,0,0,"1,768",04/30,628,598,+30,40,5,+35,12,24,-13,679,627,+52,＋＋－
2467,志聖,609,+55,+9.93,"5,898",04/30,"1,716","1,692",+24,107,43,+64,89,150,-60,"1,912","1,884",+28,＋＋－
6670,復盛應用,251,-2,-0.79,252,04/30,119,112,+7,43,39,+4,7,39,-32,169,190,-21,＋＋－
00980D,主動聯博投等入息,20.39,-0.03,-0.15,948,04/30,454,0,+454,100,0,+100,167,816,-649,721,816,-95,＋＋－
0052,富邦科技,52.65,-0.4,-0.75,"47,707",04/30,"10,618","3,620","+6,998",410,0,+410,"7,565","23,327","-15,762","18,593","26,947","-8,354",＋＋－
