代號,名稱,成交,漲跌價,漲跌幅,成交張數,法人買賣日期,外資買進張數,外資賣出張數,外資買賣超張數,投信買進張數,投信賣出張數,投信買賣超張數,自營買進張數,自營賣出張數,自營買賣超張數,合計買進張數,合計賣出張數,合計買賣超張數,法人買賣超註記
2344,華邦電,134,+12,+9.84,"419,382",05/14,"116,227","92,219","+24,009","16,377",54,"+16,323","4,738","2,695","+2,044","137,343","94,967","+42,376",＋＋＋
2303,聯電,108,+9.6,+9.76,"333,998",05/14,"114,272","89,817","+24,455","11,463","6,159","+5,304","5,464","2,004","+3,460","131,199","97,980","+33,219",＋＋＋
6770,力積電,62.2,+1.7,+2.81,"196,451",05/14,"73,127","56,166","+16,961","1,932",26,"+1,906","1,670",368,"+1,303","76,729","56,560","+20,169",＋＋＋
2313,華通,245.5,+8.5,+3.59,"66,767",05/14,"31,762","13,893","+17,869",442,87,+355,995,391,+603,"33,198","14,371","+18,827",＋＋＋
8069,元太,226,+11,+5.12,"51,749",05/14,"26,970","18,596","+8,374","8,399",271,"+8,128",546,"1,301",-755,"35,915","20,168","+15,747",＋＋－
00687B,國泰20年美債,27.62,-0.02,-0.07,"26,309",05/14,"16,937",404,"+16,533",100,0,+100,"2,844","4,795","-1,951","19,881","5,199","+14,682",＋＋－
3045,台灣大,115,+3,+2.68,"20,363",05/14,"15,585","2,498","+13,086","1,123",560,+563,165,528,-363,"16,872","3,586","+13,286",＋＋－
00679B,元大美債20年,26.58,-0.02,-0.08,"25,820",05/14,"9,717",246,"+9,471",100,0,+100,"7,222","4,368","+2,854","17,039","4,614","+12,425",＋＋＋
8028,昇陽半導體,261.5,+23.5,+9.87,"26,663",05/14,"9,448","3,093","+6,355",478,1,+477,742,559,+183,"10,668","3,653","+7,015",＋＋＋
8112,至上,84.5,+2.3,+2.8,"27,607",05/14,"11,878","7,131","+4,747","1,673",16,"+1,657",453,657,-204,"14,004","7,804","+6,200",＋＋－
2330,台積電,2270,+50,+2.25,"39,565",05/14,"25,905","25,305",+600,"6,480",623,"+5,857",498,"1,786","-1,289","32,883","27,714","+5,169",＋＋－
2408,南亞科,341,+20,+6.23,"181,771",05/14,"39,472","39,265",+208,"4,226",496,"+3,730","2,791","1,924",+867,"46,489","41,685","+4,805",＋＋＋
5439,高技,411,+37,+9.89,"8,990",05/14,"4,870",917,"+3,954",498,0,+498,315,204,+111,"5,683","1,121","+4,563",＋＋＋
2345,智邦,2675,+240,+9.86,"7,660",05/14,"5,799","2,817","+2,982",830,31,+799,119,240,-121,"6,749","3,089","+3,660",＋＋－
5347,世界,175,+7,+4.17,"39,663",05/14,"14,036","12,056","+1,980","1,216",49,"+1,167",808,684,+124,"16,059","12,789","+3,270",＋＋＋
00795B,中信美國公債20年,26.83,-0.04,-0.15,"13,491",05/14,"5,747",44,"+5,703",50,0,+50,"2,993","5,760","-2,767","8,790","5,804","+2,986",＋＋－
