代號,名稱,成交,漲跌價,漲跌幅,成交張數,法人買賣日期,外資買進張數,外資賣出張數,外資買賣超張數,投信買進張數,投信賣出張數,投信買賣超張數,自營買進張數,自營賣出張數,自營買賣超張數,合計買進張數,合計賣出張數,合計買賣超張數,法人買賣超註記
3481,群創,29.4,-0.35,-1.18,"785,095",05/08,"295,537","198,971","+96,566","3,706",0,"+3,706","7,767","7,163",+604,"307,010","206,134","+100,876",＋＋＋
2317,鴻海,250,-3.5,-1.38,"102,375",05/08,"68,899","38,809","+30,089",378,36,+342,"1,089","2,589","-1,500","70,365","41,434","+28,931",＋＋－
2892,第一金,29.5,+0.35,+1.2,"39,860",05/08,"36,576","17,462","+19,114",90,1,+89,448,297,+151,"37,114","17,760","+19,354",＋＋＋
2883,凱基金,22.9,+0.45,+2,"60,959",05/08,"38,569","20,674","+17,895",774,416,+358,"1,218","1,351",-134,"40,560","22,441","+18,119",＋＋－
1216,統一,73.2,+3.8,+5.48,"35,053",05/08,"26,622","9,682","+16,941","2,698","1,931",+767,249,327,-78,"29,569","11,939","+17,630",＋＋－
2890,永豐金,31,+0.1,+0.32,"35,823",05/08,"25,748","13,555","+12,194",553,160,+393,367,821,-454,"26,668","14,536","+12,132",＋＋－
2886,兆豐金,40.2,+0.55,+1.39,"21,349",05/08,"17,880","6,160","+11,720",10,7,+3,390,544,-154,"18,281","6,711","+11,570",＋＋－
2327,國巨*,389,+17.5,+4.71,"96,857",05/08,"35,464","34,797",+667,"6,223",126,"+6,097","1,587","1,535",+52,"43,275","36,458","+6,817",＋＋＋
2885,元大金,56.5,+0.4,+0.71,"26,119",05/08,"16,461","11,960","+4,501","1,100",812,+288,523,411,+112,"18,084","13,183","+4,901",＋＋＋
2313,華通,253.5,+4,+1.6,"86,924",05/08,"31,137","27,257","+3,880",892,0,+892,"1,279","1,249",+30,"33,308","28,506","+4,802",＋＋＋
2542,興富發,40,+0.6,+1.52,"9,528",05/08,"6,644","2,312","+4,332",21,0,+21,46,59,-13,"6,712","2,371","+4,341",＋＋－
3026,禾伸堂,330,+30,+10,"22,733",05/08,"5,198","4,432",+765,"2,291",146,"+2,145",536,279,+257,"8,025","4,857","+3,168",＋＋＋
