代號,名稱,成交,漲跌價,漲跌幅,成交張數,法人買賣日期,外資買進張數,外資賣出張數,外資買賣超張數,投信買進張數,投信賣出張數,投信買賣超張數,自營買進張數,自營賣出張數,自營買賣超張數,合計買進張數,合計賣出張數,合計買賣超張數,法人買賣超註記
2317,鴻海,248.5,+4,+1.64,"138,413",05/15,"89,399","30,225","+59,175",536,150,+386,"1,849","2,028",-179,"91,784","32,403","+59,381",＋＋－
2303,聯電,110,+2,+1.85,"413,941",05/15,"160,372","150,954","+9,418","44,656","5,489","+39,167","4,003","7,262","-3,259","209,032","163,704","+45,327",＋＋－
2344,華邦電,129.5,-4.5,-3.36,"348,302",05/15,"117,854","101,804","+16,050","25,850",26,"+25,824","3,463","2,953",+510,"147,167","104,783","+42,384",＋＋＋
3624,光頡,76.2,+3,+4.1,"33,812",05/15,"10,987","4,913","+6,074","3,012",0,"+3,012",532,647,-115,"14,531","5,560","+8,971",＋＋－
2327,國巨*,455.5,-6.5,-1.41,"116,741",05/15,"49,025","43,843","+5,182","4,625",219,"+4,406","1,384","2,238",-854,"55,035","46,300","+8,735",＋＋－
5347,世界,176.5,+1.5,+0.86,"49,783",05/15,"20,237","17,035","+3,202","3,254",287,"+2,967",551,"1,811","-1,259","24,042","19,133","+4,909",＋＋－
6257,矽格,217,+6.5,+3.09,"23,166",05/15,"8,307","6,003","+2,304",270,28,+242,"2,433",225,"+2,208","11,010","6,256","+4,754",＋＋＋
2449,京元電子,299.5,+3.5,+1.18,"36,263",05/15,"17,564","13,804","+3,760",100,53,+48,"1,094",989,+105,"18,759","14,846","+3,913",＋＋＋
2489,瑞軒,40.35,-0.2,-0.49,"21,839",05/15,"7,483","4,434","+3,049",426,0,+426,257,355,-97,"8,166","4,789","+3,377",＋＋－
3045,台灣大,114.5,-0.5,-0.43,"12,738",05/15,"6,474","3,196","+3,278",127,276,+34,"3,407",117,-115,"10,008","3,589","+3,197",＋＋－
2855,統一證,40.8,+0.65,+1.62,"8,723",05/15,"4,961","2,417","+2,544",562,14,+548,0,0,0,"5,522","2,431","+3,092",＋＋・
3105,穩懋,458.5,-25,-5.17,"28,149",05/15,"11,221","7,417","+3,804",95,1,+94,"1,044","1,916",-872,"12,360","9,334","+3,026",＋＋－
2542,興富發,43.75,+0.6,+1.39,"17,357",05/15,"8,854","6,329","+2,525",571,0,+571,51,237,-186,"9,477","6,566","+2,911",＋＋－
2412,中華電,138,+0.5,+0.36,"8,852",05/15,"5,799","3,476","+2,323",70,29,+42,250,45,+205,"6,119","3,549","+2,570",＋＋＋
1605,華新,34.9,-0.7,-1.97,"49,836",05/15,"15,642","14,704",+938,"1,150",3,"+1,147","1,433",998,+434,"18,225","15,705","+2,520",＋＋＋
1785,光洋科,153,+4,+2.68,"26,614",05/15,"8,912","6,895","+2,017",235,0,+235,186,198,-11,"9,333","7,093","+2,240",＋＋－
3711,日月光投控,547,-1,-0.18,"18,822",05/15,"11,430","10,773",+657,547,128,+419,628,179,+449,"12,605","11,080","+1,526",＋＋＋
2049,上銀,392.5,+18,+4.81,"11,851",05/15,"4,237","3,750",+487,914,0,+914,227,216,+11,"5,378","3,966","+1,412",＋＋＋
3034,聯詠,466.5,-26.5,-5.38,"8,911",05/15,"4,221","3,268",+952,336,49,+287,92,378,-285,"4,649","3,695",+954,＋＋－
5521,工信,10.25,-0.35,-3.3,"9,342",05/15,"3,323","2,564",+759,-84,63,+147,675,0,0,"3,914","2,627",+906,＋＋・
