代號,名稱,成交,漲跌價,漲跌幅,成交張數,法人買賣日期,外資買進張數,外資賣出張數,外資買賣超張數,投信買進張數,投信賣出張數,投信買賣超張數,自營買進張數,自營賣出張數,自營買賣超張數,合計買進張數,合計賣出張數,合計買賣超張數,法人買賣超註記
2317,鴻海,252,+12.5,+5.22,"240,330",05/06,"146,924","46,033","+100,891","1,804",43,"+1,761","3,569","2,219","+1,351","152,297","48,295","+104,003",＋＋＋
3481,群創,28.1,+0.85,+3.12,"845,751",05/06,"319,870","241,559","+78,311",47,0,+47,"18,618","5,625","+12,994","338,535","247,184","+91,351",＋＋＋
2303,聯電,91.4,+8.3,+9.99,"256,466",05/06,"92,780","44,954","+47,825","7,151","3,411","+3,740","5,739","3,468","+2,271","105,670","51,833","+53,837",＋＋＋
2344,華邦電,108.5,+9.7,+9.82,"241,792",05/06,"56,890","24,153","+32,737","2,794",8,"+2,786","4,155","2,523","+1,632","63,838","26,684","+37,155",＋＋＋
2301,光寶科,185,+14,+8.19,"90,201",05/06,"63,202","31,892","+31,309",94,90,+4,"2,402","1,145","+1,256","65,698","33,127","+32,570",＋＋＋
3231,緯創,146.5,+4.5,+3.17,"71,829",05/06,"37,648","11,809","+25,839",109,70,+39,"2,841","1,134","+1,707","40,598","13,013","+27,585",＋＋＋
2892,第一金,28.8,+0.4,+1.41,"46,381",05/06,"42,064","15,452","+26,611",350,27,+323,325,80,+245,"42,738","15,559","+27,179",＋＋＋
2337,旺宏,172,+11.5,+7.17,"258,576",05/06,"81,435","68,014","+13,421","7,584",138,"+7,446","2,554","1,102","+1,451","91,573","69,254","+22,318",＋＋＋
2408,南亞科,282,+25.5,+9.94,"149,469",05/06,"24,083","13,786","+10,297","5,862",17,"+5,845","3,724","2,046","+1,678","33,668","15,849","+17,820",＋＋＋
5347,世界,169,+15,+9.74,"55,463",05/06,"30,305","15,328","+14,977","2,260",47,"+2,213","1,267","1,120",+147,"33,832","16,495","+17,337",＋＋＋
2890,永豐金,31,+0.35,+1.14,"32,134",05/06,"24,627","7,900","+16,726",850,38,+812,218,595,-377,"25,695","8,533","+17,161",＋＋－
8150,南茂,89.2,+5.1,+6.06,"74,820",05/06,"37,736","21,892","+15,843",100,0,+100,"1,467","1,192",+275,"39,303","23,084","+16,218",＋＋＋
2409,友達,18.05,+0.2,+1.12,"247,855",05/06,"84,608","70,185","+14,423",16,0,+16,"1,564","2,566","-1,002","86,188","72,751","+13,438",＋＋－
3706,神達,87.8,+3.7,+4.4,"36,666",05/06,"15,801","4,834","+10,967",2,1,+1,"1,584",230,"+1,353","17,386","5,065","+12,321",＋＋＋
5351,鈺創,78.5,+4.4,+5.94,"43,683",05/06,"16,773","9,043","+7,730",25,0,+25,303,280,+23,"17,101","9,323","+7,778",＋＋＋
1785,光洋科,168.5,+8.5,+5.31,"43,442",05/06,"15,029","8,732","+6,297",112,0,+112,552,347,+205,"15,693","9,078","+6,615",＋＋＋
6147,頎邦,175,-2.5,-1.41,"71,640",05/06,"26,812","23,839","+2,973","2,470",30,"+2,440","1,317","1,512",-195,"30,599","25,381","+5,218",＋＋－
2886,兆豐金,39.55,+0.45,+1.15,"16,708",05/06,"12,092","7,827","+4,265",320,33,+287,305,394,-89,"12,717","8,254","+4,464",＋＋－
2454,聯發科,3430,+275,+8.72,"39,638",05/06,"23,520","19,295","+4,225",679,168,+511,"1,061","1,436",-375,"25,260","20,899","+4,361",＋＋－
8112,至上,86.8,+2,+2.36,"29,907",05/06,"10,657","6,546","+4,111",250,187,+63,"1,028",980,+48,"11,935","7,713","+4,222",＋＋＋
3026,禾伸堂,273,+24.5,+9.86,"21,608",05/06,"3,559","3,063",+496,"3,579",5,"+3,574",460,607,-147,"7,598","3,675","+3,923",＋＋－
8299,群聯,2325,+210,+9.93,"13,303",05/06,"4,319","1,841","+2,479",864,0,+864,739,403,+336,"5,922","2,243","+3,679",＋＋＋
3034,聯詠,441.5,+21.5,+5.12,"8,812",05/06,"5,337","2,541","+2,796",110,87,+23,499,133,+366,"5,945","2,761","+3,184",＋＋＋
6488,環球晶,721,+55,+8.26,"28,040",05/06,"11,066","9,286","+1,780",689,82,+607,920,478,+442,"12,675","9,846","+2,829",＋＋＋
2357,華碩,629,+39,+6.61,"8,877",05/06,"4,160","2,562","+1,598","1,100",269,+831,493,242,+251,"5,753","3,073","+2,680",＋＋＋
2308,台達電,2210,+45,+2.08,"15,562",05/06,"9,420","6,744","+2,677",436,110,+326,314,729,-415,"10,170","7,582","+2,588",＋＋－
6505,台塑化,54.8,-0.6,-1.08,"7,280",05/06,"4,409","2,343","+2,066",91,3,+88,176,99,+76,"4,676","2,445","+2,230",＋＋＋
8358,金居,458.5,+25.5,+5.89,"10,917",05/06,"3,531","1,076","+2,455",6,0,+6,282,555,-272,"3,819","1,630","+2,189",＋＋－
5009,榮剛,35.1,+0.3,+0.86,"5,785",05/06,"2,185",933,"+1,252",500,0,+500,383,83,+300,"3,068","1,016","+2,052",＋＋＋
2395,研華,409.5,+13,+3.28,"7,142",05/06,"3,658","2,328","+1,331",8,2,+6,149,52,+97,"3,814","2,382","+1,433",＋＋＋
3532,台勝科,250.5,+22.5,+9.87,"16,612",05/06,"5,446","4,895",+551,777,0,+777,393,507,-114,"6,616","5,402","+1,214",＋＋－
6526,達發,655,+59,+9.9,"5,120",05/06,"1,563",483,"+1,080",42,0,+42,180,136,+44,"1,785",619,"+1,166",＋＋＋
3661,世芯-KY,4565,+415,+10,"3,305",05/06,"1,483",603,+880,123,0,+123,256,101,+155,"1,862",704,"+1,158",＋＋＋
2363,矽統,57.2,+1.4,+2.51,"23,956",05/06,"5,991","5,217",+774,35,0,+35,425,245,+179,"6,451","5,462",+988,＋＋＋
6679,鈺太,302,+15,+5.23,"1,906",05/06,"1,258",326,+932,1,0,+1,67,13,+54,"1,326",339,+987,＋＋＋
2436,偉詮電,74.9,+1.4,+1.9,"16,846",05/06,"5,114","4,147",+967,11,0,+11,277,298,-21,"5,403","4,445",+958,＋＋－
2548,華固,125,+4,+3.31,"2,461",05/06,"1,440",863,+577,362,1,+361,69,53,+17,"1,872",917,+954,＋＋＋
2360,致茂,2345,+110,+4.92,"6,416",05/06,"4,394","3,396",+998,92,39,+53,172,330,-158,"4,658","3,765",+894,＋＋－
3583,辛耘,803,+9,+1.13,"3,496",05/06,"1,452",810,+642,202,2,+200,86,106,-20,"1,740",918,+822,＋＋－
2401,凌陽,25.1,-0.05,-0.2,"6,703",05/06,"2,953","1,879","+1,074",15,0,+15,6,331,-325,"2,974","2,210",+764,＋＋－
2383,台光電,4950,+220,+4.65,"3,737",05/06,"1,893","1,530",+363,388,7,+381,149,137,+11,"2,430","1,675",+755,＋＋＋
3715,定穎投控,186.5,-10,-5.09,"44,004",05/06,"12,876","11,534","+1,342",60,6,+54,329,991,-662,"13,266","12,531",+734,＋＋－
6257,矽格,203.5,+6.5,+3.3,"24,189",05/06,"8,768","7,885",+883,232,60,+172,602,924,-322,"9,602","8,869",+733,＋＋－
