代號,名稱,成交,漲跌價,漲跌幅,成交張數,法人買賣日期,外資買進張數,外資賣出張數,外資買賣超張數,投信買進張數,投信賣出張數,投信買賣超張數,自營買進張數,自營賣出張數,自營買賣超張數,合計買進張數,合計賣出張數,合計買賣超張數,法人買賣超註記
2409,友達,20.2,+1.45,+7.73,"367,725",05/21,"203,873","46,904","+156,970",78,32,+46,"3,610","1,381","+2,229","207,561","48,317","+159,245",＋＋＋
1303,南亞,87.3,+6.5,+8.04,"71,605",05/21,"48,737","15,796","+32,941",350,46,+304,"1,368","1,175",+192,"50,454","17,017","+33,437",＋＋＋
3231,緯創,140,+7.5,+5.66,"53,679",05/21,"38,281","10,666","+27,615",708,134,+574,"2,038",393,"+1,645","41,027","11,193","+29,834",＋＋＋
1717,長興,79.7,+7,+9.63,"58,612",05/21,"34,123","7,451","+26,672",710,3,+707,992,470,+522,"35,825","7,924","+27,900",＋＋＋
2489,瑞軒,46.8,+4.25,+9.99,"97,195",05/21,"38,026","12,877","+25,149",115,0,+115,"1,159",315,+844,"39,300","13,192","+26,108",＋＋＋
2356,英業達,54.1,+2.7,+5.25,"52,797",05/21,"25,565","11,810","+13,755","6,272",102,"+6,170","1,421",370,"+1,051","33,258","12,282","+20,976",＋＋＋
0050,元大台灣50,95.85,+3.35,+3.62,"62,216",05/21,"16,130","4,105","+12,025","3,770",0,"+3,770","10,040","4,889","+5,151","29,940","8,995","+20,946",＋＋＋
6282,康舒,53.6,+2.8,+5.51,"44,230",05/21,"26,086","7,403","+18,683",21,0,+21,"2,386",454,"+1,933","28,494","7,857","+20,637",＋＋＋
3189,景碩,554,+50,+9.92,"35,213",05/21,"15,723","3,804","+11,919","1,779",2,"+1,777","1,608",606,"+1,003","19,110","4,411","+14,699",＋＋＋
2618,長榮航,35.3,+1,+2.92,"45,014",05/21,"24,343","22,806","+1,537","12,851",991,"+11,860",200,474,-274,"37,394","24,272","+13,122",＋＋－
2382,廣達,308,+18,+6.21,"38,942",05/21,"19,984","18,687","+1,297","10,547","1,108","+9,439",353,534,-181,"30,884","20,329","+10,555",＋＋－
3035,智原,208,+18.5,+9.76,"25,034",05/21,"11,669","3,829","+7,840",5,0,+5,"1,004",150,+854,"12,677","3,979","+8,698",＋＋＋
3037,欣興,905,+82,+9.96,"32,619",05/21,"13,911","7,091","+6,820",907,497,+410,"1,637",508,"+1,129","16,455","8,096","+8,358",＋＋＋
3706,神達,83.5,+3.2,+3.99,"15,896",05/21,"7,299","2,331","+4,968","2,867",1,"+2,866",375,47,+328,"10,541","2,379","+8,162",＋＋＋
1802,台玻,65.1,+1.2,+1.88,"47,676",05/21,"14,604","8,526","+6,078",22,0,+22,848,746,+102,"15,475","9,272","+6,202",＋＋＋
00713,元大台灣高息低波,55.65,+0.65,+1.18,"9,783",05/21,927,400,+527,385,0,+385,"5,995",801,"+5,194","7,307","1,201","+6,106",＋＋＋
2363,矽統,62.8,+2.7,+4.49,"19,410",05/21,"8,615","3,179","+5,436",5,0,+5,355,97,+258,"8,975","3,276","+5,699",＋＋＋
4919,新唐,181.5,+16.5,+10,"63,210",05/21,"14,223","13,130","+1,093","3,076",0,"+3,076","1,170",396,+774,"18,469","13,526","+4,943",＋＋＋
2421,建準,152,+9,+6.29,"8,723",05/21,"5,149","1,395","+3,754",938,2,+936,246,131,+115,"6,333","1,528","+4,804",＋＋＋
6271,同欣電,206,+18.5,+9.87,"21,337",05/21,"7,622","4,651","+2,972","1,077",0,"+1,077",763,250,+513,"9,462","4,901","+4,561",＋＋＋
4958,臻鼎-KY,469.5,+30.5,+6.95,"52,415",05/21,"17,176","16,396",+780,"3,427",7,"+3,420",796,526,+270,"21,398","16,929","+4,470",＋＋＋
1409,新纖,16.95,+0.3,+1.8,"6,485",05/21,"4,403",628,"+3,775",166,0,+166,120,4,+116,"4,689",632,"+4,057",＋＋＋
6239,力成,257.5,+23,+9.81,"25,308",05/21,"6,621","4,634","+1,987","2,139",926,"+1,213","1,167",452,+715,"9,927","6,012","+3,914",＋＋＋
2495,普安,40.65,+3.15,+8.4,"10,735",05/21,"5,026","1,774","+3,252",207,10,+197,138,40,+98,"5,371","1,824","+3,547",＋＋＋
2323,中環,9.86,+0.49,+5.23,"7,753",05/21,"3,345",945,"+2,400",818,0,+818,65,26,+39,"4,228",971,"+3,257",＋＋＋
3014,聯陽,145,+7,+5.07,"6,379",05/21,"3,690",646,"+3,044",10,3,+7,126,29,+97,"3,826",678,"+3,147",＋＋＋
3105,穩懋,483,+36.5,+8.17,"24,546",05/21,"8,570","6,519","+2,051",864,85,+779,477,206,+271,"9,911","6,810","+3,101",＋＋＋
6120,達運,13.4,+0.55,+4.28,"5,779",05/21,"3,793",906,"+2,887",83,0,+83,32,0,+32,"3,908",906,"+3,002",＋＋＋
9933,中鼎,39.6,+0.85,+2.19,"8,055",05/21,"4,036","1,413","+2,623",162,1,+161,587,388,+199,"4,785","1,802","+2,983",＋＋＋
2603,長榮,212,-0.5,-0.24,"20,653",05/21,"12,047","10,228","+1,819","4,695","3,709",+986,383,285,+98,"17,125","14,221","+2,904",＋＋＋
2352,佳世達,27.2,+1.15,+4.41,"16,011",05/21,"5,934","3,815","+2,119",619,94,+525,227,41,+187,"6,780","3,949","+2,831",＋＋＋
3090,日電貿,196,+17.5,+9.8,"61,149",05/21,"19,858","19,301",+557,"2,305",0,"+2,305",342,413,-70,"22,505","19,713","+2,792",＋＋－
2615,萬海,81.2,+0.1,+0.12,"10,851",05/21,"4,543","3,324","+1,219","1,443",31,"+1,412",145,82,+64,"6,131","3,437","+2,695",＋＋＋
3042,晶技,160,+12,+8.11,"32,670",05/21,"8,170","6,890","+1,281",18,1,+17,"1,424",132,"+1,293","9,613","7,022","+2,591",＋＋＋
6202,盛群,58.9,+3.3,+5.94,"6,007",05/21,"3,453","1,113","+2,340",198,0,+198,35,17,+18,"3,686","1,130","+2,556",＋＋＋
2371,大同,28.4,+0.35,+1.25,"15,695",05/21,"7,693","5,078","+2,614",31,22,+9,65,176,-111,"7,788","5,276","+2,512",＋＋－
3376,新日興,209.5,+7,+3.46,"6,192",05/21,"3,731","1,454","+2,278",10,0,+10,265,60,+205,"4,006","1,514","+2,493",＋＋＋
4938,和碩,79.1,+1.9,+2.46,"12,045",05/21,"7,973","6,390","+1,583","1,463",572,+891,138,240,-102,"9,574","7,202","+2,372",＋＋－
2328,廣宇,52.1,+1.6,+3.17,"5,760",05/21,"2,703",922,"+1,781",168,0,+168,304,11,+293,"3,175",933,"+2,242",＋＋＋
2645,長榮航太,162.5,+10,+6.56,"3,594",05/21,"2,483",439,"+2,044",90,2,+88,101,37,+64,"2,674",478,"+2,196",＋＋＋
6706,惠特,168.5,+8,+4.98,"10,012",05/21,"3,504","1,589","+1,915",147,0,+147,146,85,+62,"3,798","1,673","+2,124",＋＋＋
8926,台汽電,61,+1.1,+1.84,"11,422",05/21,"4,681","2,638","+2,043",57,1,+56,8,2,+6,"4,746","2,641","+2,105",＋＋＋
6139,亞翔,784,+64,+8.89,"7,819",05/21,"2,821","1,323","+1,499",209,19,+190,494,104,+389,"3,524","1,446","+2,078",＋＋＋
2492,華新科,266,+24,+9.92,"7,193",05/21,"2,076",366,"+1,709",92,1,+91,268,10,+258,"2,435",377,"+2,058",＋＋＋
3563,牧德,933,+84,+9.89,"4,607",05/21,"2,266",422,"+1,844",100,0,+100,287,208,+79,"2,653",630,"+2,023",＋＋＋
3708,上緯投控,126.5,+7.5,+6.3,"3,945",05/21,"2,082",393,"+1,689",3,0,+3,187,9,+177,"2,271",402,"+1,869",＋＋＋
1513,中興電,154.5,+6,+4.04,"5,712",05/21,"2,731","1,463","+1,268",417,8,+409,209,97,+112,"3,357","1,568","+1,789",＋＋＋
6509,聚和,49.15,+1.5,+3.15,"7,627",05/21,"2,780","1,160","+1,620",5,0,+5,114,129,-15,"2,899","1,289","+1,610",＋＋－
2330,台積電,2230,+45,+2.06,"24,929",05/21,"14,265","13,251","+1,014",503,336,+167,699,275,+423,"15,467","13,862","+1,605",＋＋＋
2436,偉詮電,74.8,+3,+4.18,"7,630",05/21,"2,465","1,246","+1,220",20,0,+20,252,86,+166,"2,738","1,332","+1,406",＋＋＋
6412,群電,97.1,+2.6,+2.75,"4,712",05/21,"2,023",850,"+1,173",118,0,+118,90,36,+53,"2,231",887,"+1,344",＋＋＋
2388,威盛,86,+4.3,+5.26,"42,513",05/21,"13,232","12,622",+610,160,0,+160,867,419,+449,"14,259","13,041","+1,218",＋＋＋
3034,聯詠,484.5,+12,+2.54,"6,073",05/21,"3,343","2,134","+1,209",80,60,+20,111,187,-77,"3,534","2,382","+1,152",＋＋－
1773,勝一,177,+13.5,+8.26,"2,050",05/21,"1,031",231,+800,280,0,+280,55,8,+46,"1,366",240,"+1,126",＋＋＋
6196,帆宣,429.5,+25.5,+6.31,"3,030",05/21,"1,416",633,+782,231,0,+231,111,42,+69,"1,758",675,"+1,082",＋＋＋
3044,健鼎,488,+25.5,+5.51,"3,779",05/21,"1,996","1,039",+957,265,229,+36,130,54,+76,"2,391","1,322","+1,069",＋＋＋
1514,亞力,118,+5,+4.42,"2,875",05/21,"1,306",441,+865,20,0,+20,167,9,+157,"1,493",450,"+1,042",＋＋＋
4961,天鈺,179,+8,+4.68,"3,218",05/21,"1,447",488,+959,5,1,+4,64,40,+24,"1,516",529,+987,＋＋＋
3010,華立,135,+6,+4.65,"2,007",05/21,"1,426",521,+905,30,0,+30,35,9,+26,"1,491",530,+962,＋＋＋
6462,神盾,140.5,+6,+4.46,"4,007",05/21,"1,910",964,+946,20,0,+20,63,115,-53,"1,993","1,080",+913,＋＋－
2316,楠梓電,151,+13.5,+9.82,"12,313",05/21,"3,306","3,178",+129,690,0,+690,159,75,+84,"4,156","3,253",+903,＋＋＋
6414,樺漢,347.5,+16,+4.83,"2,103",05/21,"1,541",668,+873,45,0,+45,27,55,-28,"1,613",723,+890,＋＋－
8069,元太,230.5,+0.5,+0.22,"5,385",05/21,"2,160","2,067",+94,"1,010",262,+748,46,62,-16,"3,216","2,390",+826,＋＋－
8215,明基材,27.8,+1.15,+4.32,"2,232",05/21,972,214,+758,21,0,+21,5,3,+2,998,217,+782,＋＋＋
3078,僑威,55.2,+3,+5.75,"1,684",05/21,907,196,+712,68,3,+65,3,12,-8,979,211,+768,＋＋－
2458,義隆,158.5,+5.5,+3.59,"7,375",05/21,"3,198","2,595",+603,229,14,+215,73,128,-55,"3,500","2,737",+763,＋＋－
2420,新巨,62.5,+3.6,+6.11,"2,686",05/21,"1,110",373,+737,34,0,+34,0,9,-9,"1,144",382,+762,＋＋－
1722,台肥,46.25,+0.5,+1.09,"1,808",05/21,"1,056",577,+478,84,0,+84,1,3,-2,"1,141",580,+560,＋＋－
4551,智伸科,158.5,+10,+6.73,"2,183",05/21,817,552,+265,230,0,+230,50,12,+38,"1,097",565,+533,＋＋＋
3413,京鼎,326.5,+12.5,+3.98,"2,141",05/21,802,313,+489,25,22,+3,48,35,+13,875,370,+505,＋＋＋
2542,興富發,43.65,-0.05,-0.11,"8,804",05/21,"4,972","4,459",+513,9,0,+9,30,47,-17,"5,011","4,507",+504,＋＋－
1229,聯華,38.85,+0.55,+1.44,"1,874",05/21,733,292,+441,34,0,+34,7,18,-11,774,310,+464,＋＋－
3592,瑞鼎,266,+10,+3.91,"1,096",05/21,563,122,+441,5,2,+3,21,2,+19,590,126,+464,＋＋＋
3051,力特,25.65,+0.8,+3.22,"1,399",05/21,666,232,+434,-3,0,+3,431,0,0,"1,094",232,+437,＋＋・
6176,瑞儀,105,+0.5,+0.48,"7,079",05/21,"3,821","3,524",+297,87,15,+72,108,44,+64,"4,016","3,584",+432,＋＋＋
3169,亞信,118,+4.5,+3.96,"1,303",05/21,594,219,+375,15,0,+15,17,4,+13,626,223,+403,＋＋＋
6449,鈺邦,295,+26.5,+9.87,"1,959",05/21,610,264,+346,38,0,+38,17,4,+13,665,268,+397,＋＋＋
6533,晶心科,230,+13.5,+6.24,"1,103",05/21,601,217,+384,12,0,+12,9,9,0,622,226,+396,＋＋＋
5269,祥碩,1410,+25,+1.81,"2,142",05/21,765,541,+224,159,1,+158,43,31,+12,967,572,+394,＋＋＋
00850,元大臺灣ESG永續,82.1,+3.35,+4.25,"2,117",05/21,122,39,+83,370,0,+370,907,978,-71,"1,399","1,017",+382,＋＋－
3483,力致,92,+5.4,+6.24,"1,111",05/21,557,206,+351,26,0,+26,19,20,-2,602,226,+376,＋＋－
3008,大立光,3460,+260,+8.12,"1,745",05/21,284,141,+143,24,0,+24,188,42,+146,496,183,+313,＋＋＋
6291,沛亨,492,+29,+6.26,"1,453",05/21,462,334,+128,110,0,+110,63,9,+54,635,343,+292,＋＋＋
6913,鴻呈,137,+7.5,+5.79,726,05/21,351,122,+229,26,0,+26,27,16,+11,404,138,+266,＋＋＋
2395,研華,463.5,-1.5,-0.32,"3,953",05/21,"2,124","1,876",+248,12,2,+10,30,31,-1,"2,165","1,909",+257,＋＋－
2467,志聖,585,+31,+5.6,"1,952",05/21,764,540,+224,87,40,+47,15,38,-23,866,618,+248,＋＋－
6446,藥華藥,798,+9,+1.14,"1,629",05/21,762,525,+237,1,0,+1,19,16,+3,782,540,+241,＋＋＋
6679,鈺太,335,+21,+6.69,"1,013",05/21,358,215,+143,16,0,+16,65,9,+57,439,224,+216,＋＋＋
6584,南俊國際,680,+52,+8.28,817,05/21,285,259,+26,184,1,+183,2,4,-2,471,264,+207,＋＋－
7749,意騰-KY,512,+36.5,+7.68,753,05/21,280,113,+167,8,0,+8,28,2,+27,316,115,+202,＋＋＋
3530,晶相光,69,+3.4,+5.18,382,05/21,220,32,+188,-1,0,+1,187,0,0,406,32,+189,＋＋・
3026,禾伸堂,433.5,+39,+9.89,"2,080",05/21,501,426,+75,102,1,+101,45,36,+9,648,463,+185,＋＋＋
1723,中碳,81.4,+1.7,+2.13,881,05/21,313,279,+34,103,0,+103,36,2,+34,452,281,+171,＋＋＋
6831,邁科,781,+61,+8.47,870,05/21,218,216,+2,158,0,+158,5,1,+4,381,217,+164,＋＋＋
4549,桓達,102,+1.5,+1.49,381,05/21,139,86,+53,83,0,+83,0,2,-2,222,88,+134,＋＋－
2497,怡利電,56.8,+0.7,+1.25,366,05/21,202,87,+115,8,0,+8,2,1,+1,212,88,+124,＋＋＋
