代號,名稱,成交,漲跌價,漲跌幅,成交張數,法人買賣日期,外資買進張數,外資賣出張數,外資買賣超張數,投信買進張數,投信賣出張數,投信買賣超張數,自營買進張數,自營賣出張數,自營買賣超張數,合計買進張數,合計賣出張數,合計買賣超張數,法人買賣超註記
1402,遠東新,21484059,0,0,0,08/21,0,0,+15090,0,0,+11110,0,0,-616,0,0,+25585,＋＋＋
3042,晶技,12758827,0,0,0,08/21,0,0,+60,0,0,+992,0,0,-252,0,0,+800,＋＋＋
3450,聯鈞,4927258,0,0,0,08/21,0,0,+401,0,0,+914,0,0,+117,0,0,+1433,＋＋＋
2615,萬海,34613186,0,0,0,08/21,0,0,+16238,0,0,+829,0,0,+1456,0,0,+18524,＋＋＋
00980A,主動野村臺灣優選,1008085,0,0,0,08/21,0,0,+126,0,0,+642,0,0,-3371,0,0,-2602,＋＋＋
2301,光寶科,11235559,0,0,0,08/21,0,0,+345,0,0,+333,0,0,+59,0,0,+738,＋＋＋
2330,台積電,14806589,0,0,0,08/21,0,0,+5795,0,0,+291,0,0,+456,0,0,+6543,＋＋＋
3702,大聯大,6754002,0,0,0,08/21,0,0,+1756,0,0,+282,0,0,-121,0,0,+1917,＋＋＋
2408,南亞科,24780068,0,0,0,08/21,0,0,+6032,0,0,+241,0,0,+1077,0,0,+7352,＋＋＋
6531,愛普*,1564995,0,0,0,08/21,0,0,+37,0,0,+226,0,0,-33,0,0,+231,＋＋＋
2603,長榮,17320683,0,0,0,08/21,0,0,+7318,0,0,+202,0,0,+199,0,0,+7720,＋＋＋
2548,華固,1014686,0,0,0,08/21,0,0,+521,0,0,+175,0,0,-21,0,0,+676,＋＋＋
0056,元大高股息,5626414,0,0,0,08/21,0,0,+4356,0,0,+140,0,0,+1001,0,0,+5498,＋＋＋
6213,聯茂,14106941,0,0,0,08/21,0,0,+2039,0,0,+131,0,0,-538,0,0,+1633,＋＋＋
3653,健策,628733,0,0,0,08/21,0,0,+5,0,0,+103,0,0,-10,0,0,+98,＋＋＋
3443,創意,1440534,0,0,0,08/21,0,0,+157,0,0,+100,0,0,+63,0,0,+321,＋＋＋
