代號,名稱,成交,漲跌價,漲跌幅,成交張數,法人買賣日期,外資買進張數,外資賣出張數,外資買賣超張數,投信買進張數,投信賣出張數,投信買賣超張數,自營買進張數,自營賣出張數,自營買賣超張數,合計買進張數,合計賣出張數,合計買賣超張數,法人買賣超註記
6147,頎邦,179,+16,+9.82,"20,940",05/04,"4,335","2,364","+1,971",687,547,+140,651,404,+247,"5,673","3,315","+2,358",＋＋＋
3033,威健,37.9,+2.15,+6.01,"30,819",05/04,"10,486","8,384","+2,102",542,19,+523,613,893,-280,"11,640","9,296","+2,345",＋＋－
8936,國統,52.3,+2.2,+4.39,"4,374",05/04,"2,253",379,"+1,874",371,0,+371,1,8,-8,"2,624",387,"+2,237",＋＋－
3706,神達,82.9,+1.5,+1.84,"6,720",05/04,"2,549",960,"+1,589",234,0,+234,273,20,+253,"3,055",980,"+2,075",＋＋＋
2855,統一證,37.55,+1.95,+5.48,"10,984",05/04,"3,870","2,677","+1,193",625,1,+624,0,0,0,"4,495","2,678","+1,817",＋＋・
2345,智邦,2505,+225,+9.87,"4,412",05/04,"2,692","1,415","+1,277",53,24,+29,124,116,+9,"2,870","1,555","+1,314",＋＋＋
3044,健鼎,465.5,+17,+3.79,"3,859",05/04,"2,401","1,623",+778,230,8,+222,77,56,+21,"2,708","1,687","+1,021",＋＋＋
1612,宏泰,36.45,+0.8,+2.24,"1,865",05/04,897,149,+748,250,0,+250,5,1,+4,"1,152",150,"+1,002",＋＋＋
2637,慧洋-KY,73.1,+1.4,+1.95,"2,107",05/04,"1,434",481,+953,22,4,+18,35,20,+15,"1,491",505,+986,＋＋＋
1608,華榮,33.6,+0.9,+2.75,"5,282",05/04,"2,008","1,722",+286,571,0,+571,74,24,+49,"2,652","1,746",+906,＋＋＋
4763,材料*-KY,42.8,+0.5,+1.18,"3,818",05/04,"1,856",972,+884,6,0,+6,6,10,-4,"1,868",981,+886,＋＋－
2393,億光,71.7,+0.6,+0.84,"3,085",05/04,"1,803","1,470",+333,766,287,+479,16,16,0,"2,585","1,773",+812,＋＋＋
7769,鴻勁,5380,+435,+8.8,"1,640",05/04,"1,192",485,+707,26,3,+23,78,50,+28,"1,296",538,+758,＋＋＋
3017,奇鋐,2885,+50,+1.76,"3,729",05/04,"1,694","1,129",+565,167,10,+157,88,75,+13,"1,948","1,214",+735,＋＋＋
3014,聯陽,127,+3,+2.42,"1,445",05/04,835,161,+674,30,8,+22,5,0,+5,871,169,+702,＋＋＋
6189,豐藝,49.25,+1.3,+2.71,"1,627",05/04,618,260,+358,280,3,+277,0,11,-11,898,274,+624,＋＋－
2368,金像電,1440,+50,+3.6,"4,541",05/04,"1,889","1,454",+435,214,34,+180,95,97,-2,"2,198","1,585",+613,＋＋－
3189,景碩,531,+3,+0.57,"24,877",05/04,"7,930","7,806",+124,646,105,+541,528,679,-151,"9,104","8,590",+514,＋＋－
2031,新光鋼,40.7,+0.05,+0.12,"1,016",05/04,412,287,+126,350,2,+348,0,1,-1,762,290,+472,＋＋－
3023,信邦,288.5,+5,+1.76,"1,429",05/04,872,397,+476,4,3,+1,15,33,-18,891,433,+458,＋＋－
1434,福懋,16,+0.1,+0.63,"1,707",05/04,669,409,+260,160,0,+160,1,5,-4,830,414,+416,＋＋－
9802,鈺齊-KY,80.3,+2.8,+3.61,"1,416",05/04,433,411,+22,357,0,+357,12,1,+11,802,412,+390,＋＋＋
6805,富世達,2215,+145,+7,"2,588",05/04,833,643,+190,128,3,+125,63,19,+44,"1,023",664,+359,＋＋＋
2480,敦陽科,146.5,+3.5,+2.45,897,05/04,438,215,+223,100,0,+100,8,9,-1,546,224,+322,＋＋－
8454,富邦媒,176,+5.5,+3.23,813,05/04,467,288,+179,127,1,+126,0,0,0,594,290,+304,＋＋－
3026,禾伸堂,226,+13.5,+6.35,"16,422",05/04,"4,534","4,475",+59,356,9,+347,446,550,-104,"5,336","5,034",+302,＋＋－
5269,祥碩,1390,+25,+1.83,"2,046",05/04,833,509,+325,9,0,+9,22,61,-38,865,569,+295,＋＋－
6510,精測,3780,+340,+9.88,"1,039",05/04,454,248,+206,90,17,+73,45,51,-5,589,316,+273,＋＋－
009803,玉山市值動能50,20.05,+0.89,+4.65,"2,950",05/04,628,230,+398,85,0,+85,875,"1,088",-213,"1,588","1,318",+270,＋＋－
2383,台光電,4755,+210,+4.62,"3,046",05/04,"1,550","1,501",+49,145,2,+143,112,62,+50,"1,807","1,565",+242,＋＋＋
6789,采鈺,611,+35,+6.08,"18,202",05/04,"4,364","4,176",+188,4,0,+4,347,302,+45,"4,715","4,478",+237,＋＋＋
8016,矽創,233.5,+3.5,+1.52,817,05/04,334,116,+218,13,2,+11,9,31,-22,356,149,+207,＋＋－
2820,華票,16.9,+0.1,+0.6,"2,930",05/04,897,758,+139,46,0,+46,0,0,0,943,758,+185,＋＋－
6525,捷敏-KY,95.9,+3.5,+3.79,938,05/04,204,141,+63,157,0,+157,0,44,-44,361,185,+176,＋＋－
6526,達發,589,+38,+6.9,"1,789",05/04,450,349,+100,27,0,+27,53,12,+41,530,361,+168,＋＋＋
3526,凡甲,363,+33,+10,"2,319",05/04,556,555,+1,168,0,+168,97,104,-7,821,659,+162,＋＋－
2851,中再保,30.35,+0.2,+0.66,"1,196",05/04,436,401,+35,79,0,+79,12,13,-1,527,414,+113,＋＋－
5274,信驊,17545,+1070,+6.49,273,05/04,192,103,+89,17,5,+12,6,4,+2,215,112,+103,＋＋＋
3596,智易,164.5,+5.5,+3.46,735,05/04,453,359,+94,3,0,+3,10,8,+2,466,367,+99,＋＋＋
3617,碩天,190.5,+4,+2.14,204,05/04,98,31,+67,1,0,+1,0,0,0,99,31,+68,＋＋＋
2211,長榮鋼,98.1,+0.6,+0.62,590,05/04,254,217,+37,27,1,+26,1,10,-9,282,228,+54,＋＋－
4536,拓凱,151,+1.5,+1,205,05/04,60,18,+42,1,0,+1,2,2,0,63,20,+43,＋＋＋
6472,保瑞,406,-2,-0.49,512,05/04,155,129,+26,11,0,+11,10,5,+5,176,134,+42,＋＋＋
6515,穎崴,10700,+315,+3.03,205,05/04,96,73,+22,18,10,+8,11,15,-3,125,99,+26,＋＋－
6691,洋基工程,641,+10,+1.58,366,05/04,151,136,+15,1,0,+1,8,3,+5,160,139,+21,＋＋＋
2059,川湖,4055,+145,+3.71,703,05/04,267,267,0,11,0,+11,20,12,+8,298,279,+19,＋＋＋
6206,飛捷,111,+3,+2.78,"1,302",05/04,363,277,+86,30,0,+30,46,216,-170,439,493,-53,＋＋－
3260,威剛,441,+5,+1.15,"27,964",05/04,"7,300","7,132",+168,86,7,+79,290,629,-339,"7,676","7,768",-91,＋＋－
00935,野村臺灣新科技50,53.2,+3.2,+6.4,"21,622",05/04,"4,984",750,"+4,234",150,0,+150,"1,614","16,414","-14,800","6,748","17,164","-10,416",＋＋－
