代號,名稱,成交,漲跌價,漲跌幅,成交張數,法人買賣日期,外資買進張數,外資賣出張數,外資買賣超張數,投信買進張數,投信賣出張數,投信買賣超張數,自營買進張數,自營賣出張數,自營買賣超張數,合計買進張數,合計賣出張數,合計買賣超張數,法人買賣超註記
0056,元大高股息,41.92,+1.02,+2.49,"105,582",05/04,"66,338","7,744","+58,594",175,0,+175,"20,607","3,354","+17,253","87,120","11,097","+76,022",＋＋＋
2344,華邦電,95.4,+5.6,+6.24,"198,798",05/04,"82,093","43,197","+38,897",478,124,+354,"2,163",878,"+1,285","84,734","44,198","+40,536",＋＋＋
0050,元大台灣50,94.6,+4.1,+4.53,"125,271",05/04,"43,891","14,642","+29,249","2,100",0,"+2,100","23,599","16,069","+7,531","69,590","30,711","+38,879",＋＋＋
2408,南亞科,237,+21.5,+9.98,"144,354",05/04,"54,421","26,097","+28,324",299,116,+183,"2,579","1,110","+1,469","57,299","27,323","+29,976",＋＋＋
2317,鴻海,227.5,+8,+3.64,"57,506",05/04,"38,401","11,042","+27,360",335,67,+268,"1,425",454,+971,"40,161","11,562","+28,599",＋＋＋
2327,國巨*,342.5,+25.5,+8.04,"54,798",05/04,"26,533","16,461","+10,072",325,284,+41,"1,713",721,+992,"28,571","17,465","+11,106",＋＋＋
2330,台積電,2275,+140,+6.56,"44,459",05/04,"26,402","17,290","+9,112",918,109,+809,986,609,+378,"28,307","18,008","+10,299",＋＋＋
3711,日月光投控,525,+47,+9.83,"27,595",05/04,"16,079","9,906","+6,173","1,049",125,+924,847,411,+436,"17,975","10,442","+7,533",＋＋＋
2313,華通,268.5,+24,+9.82,"83,905",05/04,"23,239","20,557","+2,682","1,177",40,"+1,137","1,451",267,"+1,185","25,868","20,864","+5,004",＋＋＋
3450,聯鈞,332,+30,+9.93,"16,745",05/04,"5,478","2,916","+2,562",689,0,+689,317,82,+235,"6,484","2,998","+3,486",＋＋＋
00881,國泰台灣科技龍頭,49.07,+2.28,+4.87,"19,488",05/04,"7,907","2,421","+5,486","1,040",0,"+1,040","3,219","6,283","-3,064","12,166","8,704","+3,462",＋＋－
6488,環球晶,606,+26,+4.48,"9,995",05/04,"3,594","2,018","+1,576","1,036",153,+883,540,100,+440,"5,170","2,272","+2,899",＋＋＋
