代號,名稱,成交,漲跌價,漲跌幅,成交張數,法人買賣日期,外資買進張數,外資賣出張數,外資買賣超張數,投信買進張數,投信賣出張數,投信買賣超張數,自營買進張數,自營賣出張數,自營買賣超張數,合計買進張數,合計賣出張數,合計買賣超張數,法人買賣超註記
2303,聯電,104.5,+9.5,+10,"383,024",05/12,"99,265","63,979","+35,287","15,869","6,442","+9,427","9,869","4,670","+5,199","125,004","75,091","+49,912",＋＋＋
2344,華邦電,121.5,+4,+3.4,"317,629",05/12,"124,799","97,377","+27,422","7,694",35,"+7,659","3,228","3,448",-219,"135,721","100,859","+34,862",＋＋－
2313,華通,260,+18,+7.44,"93,922",05/12,"47,622","17,647","+29,975","2,999",141,"+2,858","1,819","1,101",+718,"52,440","18,889","+33,551",＋＋＋
2408,南亞科,321,+20,+6.64,"217,596",05/12,"73,732","48,160","+25,572","2,893",51,"+2,842","2,937","2,497",+440,"79,562","50,707","+28,855",＋＋＋
8069,元太,195.5,+17.5,+9.83,"61,919",05/12,"23,230","4,479","+18,751",965,59,+906,"2,397","2,045",+352,"26,592","6,584","+20,008",＋＋＋
2481,強茂,115.5,+6.5,+5.96,"61,667",05/12,"28,768","15,286","+13,482",898,1,+897,"1,289",484,+805,"30,955","15,771","+15,184",＋＋＋
6285,啟碁,282,+23,+8.88,"47,531",05/12,"19,596","12,927","+6,668",707,168,+539,"1,021",705,+316,"21,324","13,800","+7,523",＋＋＋
3450,聯鈞,470.5,+42.5,+9.93,"19,390",05/12,"8,034","2,316","+5,718",50,0,+50,392,370,+22,"8,476","2,686","+5,790",＋＋＋
4966,譜瑞-KY,761,+26,+3.54,"16,142",05/12,"5,644","2,928","+2,717","2,454",0,"+2,454",372,520,-148,"8,470","3,447","+5,023",＋＋－
2851,中再保,34.1,+2.55,+8.08,"10,620",05/12,"5,400","1,119","+4,281",10,0,+10,32,46,-14,"5,442","1,165","+4,277",＋＋－
2498,宏達電,41.3,+1.05,+2.61,"12,069",05/12,"5,256","2,111","+3,145",26,1,+25,406,132,+275,"5,689","2,244","+3,445",＋＋＋
3037,欣興,875,+14,+1.63,"30,082",05/12,"11,806","10,718","+1,089","2,513",49,"+2,464","1,293","1,422",-129,"15,613","12,188","+3,424",＋＋－
2376,技嘉,321,-3.5,-1.08,"12,395",05/12,"6,189","3,066","+3,123",60,16,+43,181,413,-231,"6,430","3,495","+2,935",＋＋－
8358,金居,477,+15,+3.25,"27,295",05/12,"10,510","7,804","+2,706",411,310,+101,655,538,+117,"11,576","8,652","+2,925",＋＋＋
6770,力積電,62.1,-0.4,-0.64,"170,377",05/12,"51,681","48,955","+2,726",14,0,+14,"1,298","1,487",-189,"52,992","50,442","+2,551",＋＋－
5351,鈺創,83.8,+3.7,+4.62,"55,030",05/12,"17,579","15,244","+2,335",15,0,+15,257,220,+37,"17,852","15,464","+2,387",＋＋＋
2382,廣達,340,-3.5,-1.02,"12,855",05/12,"7,604","5,113","+2,491",274,183,+91,80,371,-291,"7,958","5,667","+2,291",＋＋－
3006,晶豪科,220,-2,-0.9,"40,934",05/12,"15,364","13,078","+2,286",33,19,+14,341,631,-291,"15,738","13,728","+2,009",＋＋－
2049,上銀,367.5,+16.5,+4.7,"13,843",05/12,"6,617","5,342","+1,275",676,100,+576,279,349,-70,"7,572","5,791","+1,781",＋＋－
3209,全科,66.5,+6,+9.92,"8,106",05/12,"2,263","1,305",+958,150,19,+131,53,43,+10,"2,466","1,367","+1,099",＋＋＋
3706,神達,85.9,-0.9,-1.04,"12,996",05/12,"4,919","3,618","+1,301",35,6,+29,27,302,-274,"4,982","3,926","+1,056",＋＋－
6147,頎邦,196,-0.5,-0.25,"31,804",05/12,"10,508","10,101",+407,883,38,+845,486,792,-306,"11,878","10,932",+946,＋＋－
2401,凌陽,25.95,+0.3,+1.17,"7,541",05/12,"3,001","2,068",+933,5,0,+5,95,238,-144,"3,101","2,306",+794,＋＋－
2383,台光電,4900,+50,+1.03,"2,661",05/12,"1,521","1,126",+396,322,44,+278,183,215,-32,"2,026","1,385",+641,＋＋－
6187,萬潤,1220,+110,+9.91,"3,557",05/12,"1,706","1,142",+564,5,1,+4,87,57,+31,"1,799","1,200",+598,＋＋＋
2360,致茂,2440,+80,+3.39,"4,455",05/12,"3,028","2,796",+232,427,15,+412,108,158,-49,"3,564","2,969",+595,＋＋－
3008,大立光,2795,+250,+9.82,"3,210",05/12,980,752,+228,159,5,+154,341,139,+203,"1,481",896,+585,＋＋＋
3081,聯亞,3055,+275,+9.89,"4,194",05/12,"1,226",745,+482,98,20,+78,267,269,-3,"1,591","1,034",+557,＋＋－
3363,上詮,920,+67,+7.85,"5,614",05/12,"2,199","1,741",+458,35,0,+35,127,126,+1,"2,361","1,867",+494,＋＋＋
5269,祥碩,1525,+135,+9.71,"5,519",05/12,"1,424","1,183",+241,158,0,+158,196,184,+12,"1,778","1,367",+411,＋＋＋
7769,鴻勁,6870,+490,+7.68,"2,087",05/12,"1,009",840,+169,250,5,+245,79,87,-7,"1,338",932,+406,＋＋－
2897,王道銀行,10.2,-0.05,-0.49,"2,856",05/12,"1,233",945,+288,23,14,+9,0,48,-48,"1,256","1,007",+249,＋＋－
3592,瑞鼎,261,-2.5,-0.95,"1,534",05/12,558,351,+207,19,4,+15,6,24,-18,583,379,+204,＋＋－
