代號,名稱,成交,漲跌價,漲跌幅,成交張數,法人買賣日期,外資買進張數,外資賣出張數,外資買賣超張數,投信買進張數,投信賣出張數,投信買賣超張數,自營買進張數,自營賣出張數,自營買賣超張數,合計買進張數,合計賣出張數,合計買賣超張數,法人買賣超註記
5347,世界,159,-17.5,-9.92,"169,494",05/18,"155,215","4,584","+150,631","1,179",0,"+1,179",249,550,-301,"156,643","5,134","+151,508",＋＋－
2313,華通,259,+23.5,+9.98,"97,276",05/18,"33,973","20,726","+13,247","1,536",227,"+1,309","1,148",480,+669,"36,658","21,433","+15,225",＋＋＋
2409,友達,19.25,+0.2,+1.05,"207,881",05/18,"77,426","71,129","+6,298",7,0,+7,"4,157","3,418",+739,"81,590","74,547","+7,044",＋＋＋
6147,頎邦,207,+2,+0.98,"102,631",05/18,"35,621","32,441","+3,180","6,112",861,"+5,251",976,"2,853","-1,876","42,710","36,155","+6,555",＋＋－
0056,元大高股息,44.5,+0.05,+0.11,"59,831",05/18,"18,513","12,885","+5,628",380,0,+380,"3,639","3,499",+140,"22,532","16,384","+6,148",＋＋＋
2542,興富發,44.6,+0.85,+1.94,"19,426",05/18,"10,513","5,176","+5,337",30,0,+30,394,151,+243,"10,936","5,326","+5,610",＋＋＋
2376,技嘉,330.5,+4,+1.23,"39,138",05/18,"14,877","14,183",+694,"3,132",78,"+3,054",814,"1,035",-221,"18,823","15,296","+3,527",＋＋－
2481,強茂,129,+11.5,+9.79,"42,889",05/18,"12,353","10,995","+1,358",384,0,+384,"1,255",369,+886,"13,992","11,364","+2,628",＋＋＋
1582,信錦,106.5,+7.1,+7.14,"16,357",05/18,"5,389","3,552","+1,837",240,0,+240,347,111,+237,"5,976","3,663","+2,313",＋＋＋
2368,金像電,1250,-40,-3.1,"7,983",05/18,"5,200","3,285","+1,915",183,149,+34,190,154,+36,"5,573","3,588","+1,985",＋＋＋
3034,聯詠,475.5,+9,+1.93,"5,240",05/18,"3,986","2,062","+1,925",120,117,+3,103,129,-26,"4,210","2,308","+1,901",＋＋－
2609,陽明,48.55,+0.5,+1.04,"13,803",05/18,"6,500","5,306","+1,194",5,4,+1,659,254,+404,"7,164","5,564","+1,599",＋＋＋
6706,惠特,174,+15.5,+9.78,"7,134",05/18,"2,751","1,573","+1,178",172,0,+172,251,43,+207,"3,174","1,617","+1,557",＋＋＋
3028,增你強,81.2,+2.5,+3.18,"9,838",05/18,"3,581","2,559","+1,022",13,0,+13,87,38,+49,"3,681","2,597","+1,084",＋＋＋
3189,景碩,505,+19,+3.91,"20,229",05/18,"7,219","7,201",+18,633,20,+613,801,392,+409,"8,653","7,613","+1,040",＋＋＋
2472,立隆電,235,+18,+8.29,"12,246",05/18,"3,909","3,629",+280,44,0,+44,381,138,+242,"4,334","3,768",+566,＋＋＋
2637,慧洋-KY,72.8,0,0,"2,100",05/18,"1,343",836,+507,8,2,+5,16,44,-28,"1,367",883,+484,＋＋－
8996,高力,1045,+5,+0.48,"2,982",05/18,"1,515","1,195",+320,228,160,+68,102,86,+16,"1,845","1,442",+403,＋＋＋
3023,信邦,294,+13,+4.63,"1,851",05/18,963,749,+214,156,4,+152,28,25,+3,"1,147",778,+369,＋＋＋
2383,台光電,4545,-70,-1.52,"3,424",05/18,"2,111","1,831",+280,168,150,+18,140,77,+63,"2,419","2,059",+360,＋＋＋
3533,嘉澤,2325,-5,-0.21,"1,202",05/18,656,478,+178,180,23,+157,44,37,+7,880,539,+341,＋＋＋
3037,欣興,816,-5,-0.61,"21,414",05/18,"9,167","8,940",+227,790,578,+212,891,"1,040",-148,"10,848","10,558",+290,＋＋－
6187,萬潤,1135,+10,+0.89,"1,304",05/18,763,519,+244,16,0,+16,27,43,-17,805,562,+243,＋＋－
2489,瑞軒,39.75,-0.6,-1.49,"22,811",05/18,"7,456","6,853",+603,20,0,+20,429,852,-423,"7,905","7,706",+200,＋＋－
3526,凡甲,366,-8,-2.14,853,05/18,411,213,+198,2,1,+2,18,51,-33,431,264,+167,＋＋－
3081,聯亞,2710,+55,+2.07,"1,998",05/18,797,607,+191,76,53,+23,66,124,-58,939,784,+155,＋＋－
6139,亞翔,721,+28,+4.04,"3,684",05/18,"1,290","1,259",+31,108,24,+84,119,80,+39,"1,517","1,363",+154,＋＋＋
00980D,主動聯博投等入息,20.26,-0.06,-0.3,"1,236",05/18,355,0,+355,62,0,+62,282,583,-301,699,583,+116,＋＋－
8016,矽創,275,+1,+0.36,"1,577",05/18,793,647,+146,21,4,+17,20,67,-48,834,718,+116,＋＋－
6640,均華,1305,-65,-4.74,475,05/18,211,104,+107,5,0,+5,34,40,-6,250,144,+106,＋＋－
7734,印能科技,3705,-45,-1.2,520,05/18,181,143,+38,51,0,+51,6,7,-1,238,150,+88,＋＋－
7749,意騰-KY,511,+23,+4.71,675,05/18,230,187,+43,22,0,+22,28,5,+22,280,192,+88,＋＋＋
6679,鈺太,312.5,+7.5,+2.46,621,05/18,208,163,+45,4,0,+4,40,38,+2,252,201,+51,＋＋＋
00646,元大S&P500,73.3,-0.65,-0.88,"3,019",05/18,58,0,+58,79,0,+79,341,"1,307",-966,479,"1,307",-829,＋＋－
