代號,名稱,成交,漲跌價,漲跌幅,成交張數,法人買賣日期,外資買進張數,外資賣出張數,外資買賣超張數,投信買進張數,投信賣出張數,投信買賣超張數,自營買進張數,自營賣出張數,自營買賣超張數,合計買進張數,合計賣出張數,合計買賣超張數,法人買賣超註記
3481,群創,37.5,+2,+5.63,"1,379,646",05/13,"456,563","329,324","+127,240",670,13,+657,"15,090","10,061","+5,030","472,324","339,397","+132,927",＋＋＋
2409,友達,20.2,-0.5,-2.42,"518,461",05/13,"193,603","137,132","+56,470",35,10,+25,"3,481","7,443","-3,962","197,119","144,585","+52,533",＋＋－
2337,旺宏,168,+15,+9.8,"239,710",05/13,"82,457","42,229","+40,228","10,652","1,350","+9,302","2,264","1,808",+456,"95,374","45,388","+49,986",＋＋＋
4958,臻鼎-KY,442.5,+35.5,+8.72,"72,787",05/13,"38,747","14,775","+23,972","1,371",188,"+1,183","1,817","1,228",+590,"41,936","16,191","+25,745",＋＋＋
2891,中信金,54.9,+1.4,+2.62,"56,703",05/13,"49,473","30,629","+18,844",588,332,+446,"21,456","1,322",+702,"71,517","32,283","+19,992",＋＋＋
8069,元太,215,+19.5,+9.97,"38,403",05/13,"23,342","7,333","+16,009",658,436,+222,812,553,+259,"24,812","8,322","+16,491",＋＋＋
1216,統一,75.2,+2.1,+2.87,"24,861",05/13,"20,340","7,238","+13,102","2,094","1,054","+1,040",161,655,-493,"22,595","8,946","+13,649",＋＋－
2344,華邦電,122,+0.5,+0.41,"133,243",05/13,"49,487","45,259","+4,229","8,755",32,"+8,723","1,151","1,372",-221,"59,393","46,662","+12,731",＋＋－
1605,華新,35.2,+0.7,+2.03,"57,385",05/13,"23,340","13,771","+9,569","1,150",5,"+1,145","1,341",456,+885,"25,831","14,232","+11,598",＋＋＋
2542,興富發,42.7,+1.6,+3.89,"29,596",05/13,"17,213","9,664","+7,548",14,0,+14,88,39,+49,"17,315","9,704","+7,611",＋＋＋
2412,中華電,137.5,+2,+1.48,"14,253",05/13,"8,309","2,400","+5,909","1,716",8,"+1,708",47,109,-62,"10,071","2,517","+7,554",＋＋－
5351,鈺創,87,+3.2,+3.82,"49,682",05/13,"17,771","10,911","+6,860",15,0,+15,158,161,-4,"17,944","11,072","+6,872",＋＋－
2481,強茂,121,+5.5,+4.76,"67,427",05/13,"22,448","19,727","+2,721","2,365",0,"+2,365","1,550",479,"+1,070","26,363","20,206","+6,157",＋＋＋
2492,華新科,200,+11.5,+6.1,"56,731",05/13,"22,589","18,111","+4,478","1,916",0,"+1,916",573,832,-258,"25,078","18,943","+6,135",＋＋－
1785,光洋科,154,-4.5,-2.84,"24,036",05/13,"8,005","4,839","+3,166",58,0,+58,132,178,-46,"8,195","5,017","+3,178",＋＋－
2352,佳世達,26.25,+0.3,+1.16,"9,103",05/13,"4,415","1,883","+2,532",1,0,+1,17,16,+1,"4,433","1,899","+2,534",＋＋＋
3037,欣興,892,+17,+1.94,"26,723",05/13,"9,659","8,305","+1,355","1,263",30,"+1,233",614,915,-300,"11,537","9,249","+2,287",＋＋－
4966,譜瑞-KY,809,+48,+6.31,"11,732",05/13,"3,619","2,857",+762,"1,125",36,"+1,089",401,276,+125,"5,145","3,169","+1,976",＋＋＋
6531,愛普*,1040,-15,-1.42,"11,578",05/13,"4,701","4,032",+669,"1,045",29,"+1,017",130,228,-98,"5,876","4,289","+1,587",＋＋－
3624,光頡,66.6,+0.3,+0.45,"11,714",05/13,"3,651","2,733",+918,570,0,+570,279,226,+54,"4,500","2,959","+1,542",＋＋＋
3017,奇鋐,2585,+65,+2.58,"6,267",05/13,"2,252","2,188",+63,"1,531",185,"+1,346",270,263,+7,"4,052","2,636","+1,416",＋＋＋
4904,遠傳,96.9,+1.4,+1.47,"4,767",05/13,"3,034","2,166",+869,541,255,+286,226,64,+162,"3,801","2,485","+1,316",＋＋＋
5536,聖暉*,950,+65,+7.34,"3,682",05/13,"2,056","1,062",+994,204,64,+140,237,162,+76,"2,497","1,288","+1,209",＋＋＋
6962,奕力-KY,38.1,+0.35,+0.93,"4,178",05/13,"1,794",676,"+1,118",8,0,+8,18,10,+8,"1,820",686,"+1,134",＋＋＋
1582,信錦,92,+2.2,+2.45,"4,975",05/13,"1,303",980,+323,660,0,+660,142,71,+72,"2,105","1,051","+1,055",＋＋＋
1402,遠東新,26.75,+0.1,+0.38,"7,092",05/13,"4,241","3,180","+1,061",-15,0,+4,"1,060",25,-11,"5,286","3,205","+1,054",＋＋－
3264,欣銓,230,+1.5,+0.66,"5,742",05/13,"2,655","1,697",+958,394,310,+84,74,73,+2,"3,124","2,079","+1,044",＋＋＋
2472,立隆電,233.5,+10.5,+4.71,"11,129",05/13,"4,026","3,228",+798,11,0,+11,297,191,+106,"4,334","3,418",+916,＋＋＋
3048,益登,46.45,-0.45,-0.96,"11,452",05/13,"4,067","3,332",+735,1,0,+1,133,112,+22,"4,202","3,444",+758,＋＋＋
3006,晶豪科,216.5,-3.5,-1.59,"13,975",05/13,"5,169","4,428",+741,15,0,+15,116,141,-25,"5,300","4,570",+731,＋＋－
8261,富鼎,132,+1,+0.76,"3,537",05/13,"1,308",605,+703,4,0,+4,47,30,+17,"1,359",635,+724,＋＋＋
6139,亞翔,686,+6,+0.88,"6,934",05/13,"2,512","1,894",+618,26,0,+26,260,189,+71,"2,799","2,083",+716,＋＋＋
5475,德宏,311,-9,-2.81,"2,791",05/13,705,262,+443,263,0,+263,77,76,+1,"1,045",338,+707,＋＋＋
2455,全新,374,-1,-0.27,"2,182",05/13,"1,381",483,+898,0,0,0,32,311,-279,"1,413",794,+620,＋＋－
3443,創意,5330,-240,-4.31,"2,748",05/13,"1,453",731,+721,106,94,+12,127,249,-123,"1,685","1,075",+611,＋＋－
2383,台光電,4930,+30,+0.61,"1,934",05/13,919,624,+295,284,15,+269,110,105,+5,"1,313",745,+569,＋＋＋
2379,瑞昱,552,-3,-0.54,"3,960",05/13,"2,376","1,828",+547,85,26,+60,29,72,-43,"2,490","1,926",+564,＋＋－
6187,萬潤,1225,+5,+0.41,"5,193",05/13,"2,718","2,616",+102,430,0,+430,78,110,-32,"3,226","2,725",+501,＋＋－
6274,台燿,1450,0,0,"1,966",05/13,"1,055",942,+113,5,0,+5,489,129,+360,"1,549","1,071",+478,＋＋＋
1809,中釉,39,-1.4,-3.47,"4,833",05/13,239,75,+164,-165,8,+173,-1,0,0,73,83,+337,＋＋・
3228,金麗科,211,-15.5,-6.84,"1,642",05/13,482,158,+324,1,0,+1,30,38,-8,513,196,+317,＋＋－
6138,茂達,287.5,-2,-0.69,"1,629",05/13,634,486,+148,5,0,+5,16,29,-13,655,515,+140,＋＋－
8155,博智,424,+4,+0.95,"1,712",05/13,545,503,+42,50,0,+50,83,39,+44,678,542,+136,＋＋＋
7750,新代,2765,-305,-9.93,"1,115",05/13,436,317,+119,2,0,+2,21,37,-16,459,354,+105,＋＋－
6526,達發,703,-31,-4.22,"1,748",05/13,518,403,+114,2,1,+1,35,55,-20,555,459,+96,＋＋－
3008,大立光,2850,+55,+1.97,"4,370",05/13,"1,727","1,528",+199,16,0,+16,134,262,-128,"1,877","1,790",+87,＋＋－
6719,力智,202.5,+7.5,+3.85,"1,703",05/13,437,395,+42,3,0,+3,3,5,-2,443,400,+43,＋＋－
2540,愛山林,53.2,+3.2,+6.4,959,05/13,304,274,+30,2,8,+6,32,0,0,338,282,+36,＋＋・
6462,神盾,130.5,-0.5,-0.38,"2,187",05/13,709,640,+69,3,0,+3,46,93,-46,758,733,+26,＋＋－
5904,寶雅,562,+1,+0.18,321,05/13,245,227,+18,0,0,0,7,5,+2,252,232,+20,＋＋＋
5236,凌陽創新,162.5,-4,-2.4,458,05/13,125,110,+15,3,0,+3,0,6,-6,128,116,+12,＋＋－
3030,德律,414,+6,+1.47,"1,411",05/13,272,252,+20,11,0,+11,18,61,-43,302,313,-11,＋＋－
2467,志聖,626,-23,-3.54,"3,478",05/13,"1,096","1,086",+10,11,0,+11,28,137,-109,"1,135","1,223",-88,＋＋－
3034,聯詠,486.5,-0.5,-0.1,"5,613",05/13,"3,099","2,784",+315,102,96,+6,97,513,-416,"3,299","3,393",-95,＋＋－
009816,凱基台灣TOP50,13.9,-0.16,-1.14,"263,924",05/13,"37,126","20,240","+16,886",300,0,+300,"38,945","123,618","-84,673","76,371","143,858","-67,487",＋＋－
