代號,名稱,成交,漲跌價,漲跌幅,成交張數,法人買賣日期,外資買進張數,外資賣出張數,外資買賣超張數,投信買進張數,投信賣出張數,投信買賣超張數,自營買進張數,自營賣出張數,自營買賣超張數,合計買進張數,合計賣出張數,合計買賣超張數,法人買賣超註記
0056,元大高股息,45.76,+0.91,+2.03,"70,902",05/11,"13,985","10,354","+3,632","1,180",0,"+1,180","28,931",359,"+28,571","44,096","10,713","+33,383",＋＋＋
2303,聯電,95,+3.7,+4.05,"178,723",05/11,"88,290","64,347","+23,943","6,347","4,225","+2,122","2,064","1,818",+247,"96,701","70,390","+26,311",＋＋＋
2408,南亞科,301,+27,+9.85,"108,987",05/11,"40,612","23,386","+17,226","3,920",11,"+3,909","2,213",220,"+1,993","46,745","23,617","+23,128",＋＋＋
2344,華邦電,117.5,+10.5,+9.81,"162,760",05/11,"49,754","32,260","+17,494","1,526",2,"+1,524","1,826",365,"+1,461","53,106","32,627","+20,479",＋＋＋
2337,旺宏,159.5,+6.5,+4.25,"149,222",05/11,"48,218","36,754","+11,463","5,412",136,"+5,276",561,472,+89,"54,191","37,363","+16,828",＋＋＋
00713,元大台灣高息低波,55.2,+0.45,+0.82,"20,647",05/11,"3,708","2,336","+1,372",130,0,+130,"11,344",977,"+10,367","15,182","3,313","+11,869",＋＋＋
2317,鴻海,252,+2,+0.8,"63,064",05/11,"36,332","26,925","+9,407",182,69,+113,955,"1,276",-321,"37,470","28,271","+9,199",＋＋－
5483,中美晶,163.5,+14.5,+9.73,"33,877",05/11,"10,456","7,782","+2,674","6,051",15,"+6,036",634,326,+308,"17,141","8,122","+9,018",＋＋＋
2492,華新科,171.5,+15.5,+9.94,"30,311",05/11,"12,869","5,494","+7,374",1,0,+1,662,277,+385,"13,532","5,771","+7,761",＋＋＋
5009,榮剛,40.15,+3.65,+10,"18,608",05/11,"5,881","1,100","+4,781",236,9,+227,832,212,+620,"6,949","1,321","+5,629",＋＋＋
2855,統一證,43.7,+3.7,+9.25,"20,967",05/11,"9,436","4,255","+5,181",41,31,+10,0,0,0,"9,477","4,286","+5,191",＋＋・
4919,新唐,184,+16.5,+9.85,"50,067",05/11,"15,309","11,746","+3,564",4,0,+4,"1,279",268,"+1,011","16,592","12,013","+4,579",＋＋＋
2049,上銀,351,+31.5,+9.86,"12,320",05/11,"6,664","2,479","+4,185",168,7,+161,334,153,+182,"7,166","2,639","+4,527",＋＋＋
1402,遠東新,26.35,+0.25,+0.96,"10,765",05/11,"7,784","3,546","+4,238",44,0,+44,20,58,-38,"7,848","3,605","+4,243",＋＋－
3105,穩懋,526,+33.5,+6.8,"25,293",05/11,"9,434","5,568","+3,866",177,18,+159,874,829,+45,"10,485","6,416","+4,069",＋＋＋
3037,欣興,861,+43,+5.26,"28,324",05/11,"13,300","10,335","+2,965","1,042",63,+979,902,803,+99,"15,244","11,201","+4,043",＋＋＋
2897,王道銀行,10.25,+0.1,+0.99,"6,641",05/11,"3,999",558,"+3,441",16,0,+16,0,15,-15,"4,015",573,"+3,442",＋＋－
2401,凌陽,25.65,+0.35,+1.38,"8,348",05/11,"4,634","1,402","+3,232",13,0,+13,121,51,+70,"4,768","1,453","+3,315",＋＋＋
2345,智邦,2590,+215,+9.05,"8,849",05/11,"5,807","3,159","+2,647",676,7,+669,295,332,-38,"6,777","3,499","+3,278",＋＋－
6202,盛群,59.5,+4.3,+7.79,"7,516",05/11,"4,141",964,"+3,177",9,0,+9,22,12,+10,"4,172",976,"+3,196",＋＋＋
5351,鈺創,80.1,+5,+6.66,"29,919",05/11,"10,442","7,495","+2,946",25,0,+25,147,147,0,"10,614","7,642","+2,971",＋＋－
2357,華碩,686,+36,+5.54,"10,283",05/11,"6,551","3,643","+2,908",853,766,+87,258,287,-29,"7,662","4,696","+2,966",＋＋－
4958,臻鼎-KY,412,+11,+2.74,"41,454",05/11,"16,635","14,488","+2,147",226,65,+161,899,516,+384,"17,761","15,069","+2,692",＋＋＋
3211,順達,403,+21.5,+5.64,"14,453",05/11,"5,052","2,846","+2,205",217,51,+166,464,295,+168,"5,732","3,193","+2,539",＋＋＋
3711,日月光投控,537,+21,+4.07,"22,625",05/11,"14,219","12,799","+1,420",746,89,+657,603,347,+256,"15,567","13,235","+2,333",＋＋＋
3026,禾伸堂,329.5,-0.5,-0.15,"31,293",05/11,"10,100","9,509",+591,"1,629",0,"+1,629",461,529,-68,"12,190","10,038","+2,152",＋＋－
2388,威盛,76.7,+5.3,+7.42,"12,994",05/11,"4,957","3,481","+1,476",5,0,+5,631,153,+478,"5,593","3,634","+1,959",＋＋＋
2363,矽統,61,+1.6,+2.69,"25,770",05/11,"7,822","6,100","+1,722",35,0,+35,425,303,+122,"8,282","6,403","+1,879",＋＋＋
6488,環球晶,835,+33,+4.11,"10,952",05/11,"5,270","3,993","+1,277",628,206,+422,129,185,-56,"6,027","4,384","+1,643",＋＋－
2382,廣達,343.5,+3,+0.88,"14,508",05/11,"8,063","6,645","+1,418",635,127,+508,332,643,-311,"9,030","7,415","+1,615",＋＋－
8210,勤誠,1555,+140,+9.89,"3,683",05/11,"1,072",767,+305,857,3,+854,253,214,+39,"2,182",984,"+1,198",＋＋＋
2436,偉詮電,75.9,+3.9,+5.42,"10,636",05/11,"3,171","2,206",+965,11,0,+11,339,132,+207,"3,521","2,338","+1,182",＋＋＋
2851,中再保,31.55,+0.4,+1.28,"3,021",05/11,"1,449",457,+992,7,0,+7,83,47,+36,"1,539",504,"+1,035",＋＋＋
3491,昇達科,1820,+165,+9.97,"4,402",05/11,"1,546",938,+608,286,3,+283,224,225,0,"2,057","1,166",+891,＋＋－
2548,華固,129.5,+6,+4.86,"2,799",05/11,"1,495",720,+775,128,0,+128,39,52,-14,"1,662",772,+889,＋＋－
1313,聯成,11.25,+0.15,+1.35,"2,988",05/11,"1,536",810,+726,-47,11,+63,685,0,+5,"2,174",822,+794,＋＋＋
2340,台亞,37.35,+0.05,+0.13,"8,732",05/11,"3,145","2,598",+547,-149,23,+170,416,19,-2,"3,412","2,639",+715,＋＋－
3583,辛耘,866,+78,+9.9,"3,750",05/11,"1,120",558,+562,69,0,+69,198,152,+47,"1,387",710,+677,＋＋＋
3665,貿聯-KY,2905,+155,+5.64,"2,750",05/11,"2,011","1,415",+597,-19,5,+13,631,65,-11,"2,623","1,485",+598,＋＋－
9938,百和,45.25,+0.45,+1,"2,138",05/11,"1,130",727,+403,189,21,+168,0,1,-1,"1,319",749,+570,＋＋－
6462,神盾,129.5,+3,+2.37,"2,159",05/11,788,377,+411,2,0,+2,172,22,+150,962,399,+563,＋＋＋
6138,茂達,285,+24.5,+9.4,"2,371",05/11,818,367,+451,3,0,+3,73,26,+47,894,393,+501,＋＋＋
3443,創意,5730,+520,+9.98,"2,419",05/11,"1,220",729,+491,55,2,+53,104,149,-44,"1,380",880,+500,＋＋－
1612,宏泰,37.25,+0.55,+1.5,"1,197",05/11,608,117,+491,-10,0,+8,483,4,-2,"1,081",121,+497,＋＋－
6789,采鈺,600,-3,-0.5,"10,383",05/11,"2,882","2,380",+503,10,0,+10,198,214,-16,"3,090","2,594",+497,＋＋－
2915,潤泰全,43.65,+0.4,+0.92,"1,114",05/11,699,219,+480,7,0,+7,5,3,+2,711,222,+489,＋＋＋
2308,台達電,2245,+45,+2.05,"9,201",05/11,"5,814","5,366",+448,165,137,+28,223,220,+3,"6,202","5,723",+479,＋＋＋
1582,信錦,89.5,+1.7,+1.94,"1,638",05/11,396,370,+26,400,0,+400,31,12,+19,827,382,+445,＋＋＋
9802,鈺齊-KY,83.1,+2.7,+3.36,"1,964",05/11,739,440,+299,119,0,+119,9,12,-4,867,452,+414,＋＋－
3661,世芯-KY,5375,+485,+9.92,"1,273",05/11,739,425,+314,1,0,+1,98,4,+94,838,429,+409,＋＋＋
4746,台耀,55.5,+1.2,+2.21,"1,228",05/11,567,292,+275,107,0,+107,2,4,-2,676,296,+380,＋＋－
8081,致新,264,+10.5,+4.14,"1,483",05/11,578,234,+344,3,0,+3,28,18,+10,609,252,+357,＋＋＋
4749,新應材,1175,+90,+8.29,"9,113",05/11,"2,627","2,430",+197,106,21,+85,375,326,+49,"3,108","2,777",+331,＋＋＋
5534,長虹,79.4,+1,+1.28,716,05/11,358,175,+183,106,0,+106,18,4,+14,482,179,+303,＋＋＋
2441,超豐,92.4,+1.9,+2.1,"5,851",05/11,"2,084","1,915",+169,8,0,+8,116,23,+92,"2,208","1,938",+269,＋＋＋
6768,志強-KY,92,+4.5,+5.14,"1,588",05/11,769,599,+170,88,12,+76,25,8,+17,882,619,+263,＋＋＋
3081,聯亞,2780,+160,+6.11,"2,276",05/11,798,672,+125,119,0,+119,103,98,+5,"1,019",770,+249,＋＋＋
3704,合勤控,35.05,-0.25,-0.71,"1,674",05/11,717,488,+229,-1,1,+2,228,0,0,944,489,+231,＋＋・
2395,研華,478.5,+2,+0.42,"5,603",05/11,"3,597","3,414",+183,7,0,+7,98,67,+30,"3,702","3,481",+221,＋＋＋
6510,精測,3790,+210,+5.87,733,05/11,350,219,+131,105,35,+70,39,20,+20,494,274,+220,＋＋＋
6533,晶心科,253,+14.5,+6.08,"1,807",05/11,614,406,+208,1,0,+1,27,21,+6,642,427,+215,＋＋＋
6104,創惟,103,+1,+0.98,"2,533",05/11,813,603,+210,3,0,+3,47,47,0,863,650,+213,＋＋＋
2383,台光電,4850,+100,+2.11,"2,729",05/11,"1,519","1,438",+80,223,105,+118,49,49,+1,"1,791","1,592",+198,＋＋＋
3545,敦泰,57.6,+0.9,+1.59,"4,067",05/11,"1,288","1,136",+152,4,0,+4,56,28,+28,"1,348","1,164",+184,＋＋＋
3563,牧德,807,+5,+0.62,"1,072",05/11,387,230,+157,2,0,+2,57,38,+19,447,268,+179,＋＋＋
6719,力智,190,+3,+1.6,798,05/11,288,145,+143,3,0,+3,0,2,-2,291,147,+144,＋＋－
2059,川湖,5520,+200,+3.76,"1,795",05/11,"1,077",983,+94,31,9,+22,33,27,+6,"1,141","1,019",+122,＋＋＋
2727,王品,235,+0.5,+0.21,413,05/11,170,80,+90,33,1,+32,1,3,-3,204,85,+119,＋＋－
8249,菱光,51,+1.35,+2.72,831,05/11,266,157,+109,-1,1,+1,108,1,-1,374,159,+109,＋＋－
6515,穎崴,10090,+460,+4.78,246,05/11,105,63,+42,42,16,+26,16,13,+3,164,92,+72,＋＋＋
4583,台灣精銳,783,+21,+2.76,481,05/11,143,115,+28,30,0,+30,16,5,+11,189,119,+69,＋＋＋
2206,三陽工業,58.1,+0.1,+0.17,618,05/11,166,103,+63,11,4,+7,0,6,-6,177,113,+64,＋＋－
5274,信驊,17825,+870,+5.13,335,05/11,257,215,+42,13,1,+12,4,4,0,274,220,+54,＋＋＋
8415,大國鋼,34.55,+0.2,+0.58,"1,188",05/11,659,42,+617,2,0,+2,0,579,-579,661,621,+40,＋＋－
7822,倍利科,1295,+35,+2.78,179,05/11,48,10,+38,-1,0,+1,37,0,0,84,10,+39,＋＋・
8454,富邦媒,194,-2,-1.02,928,05/11,362,343,+20,49,32,+17,0,1,-1,411,376,+35,＋＋－
3705,永信,55.4,+0.1,+0.18,101,05/11,39,19,+20,-3,0,+3,17,0,0,53,19,+23,＋＋－
1459,聯發,11.95,+0.05,+0.42,268,05/11,27,19,+8,-4,0,+4,4,0,0,27,19,+12,＋＋・
1521,大億,25.7,+0.8,+3.21,100,05/11,13,4,+9,-1,0,+1,8,0,0,20,4,+10,＋＋・
00935,野村臺灣新科技50,55.65,+1.45,+2.68,"11,288",05/11,"1,161","1,143",+18,201,0,+201,"3,780","4,713",-933,"5,142","5,856",-714,＋＋－
