代號,名稱,成交,漲跌價,漲跌幅,成交張數,法人買賣日期,外資買進張數,外資賣出張數,外資買賣超張數,投信買進張數,投信賣出張數,投信買賣超張數,自營買進張數,自營賣出張數,自營買賣超張數,合計買進張數,合計賣出張數,合計買賣超張數,法人買賣超註記
6770,力積電,63.8,+4.7,+7.95,"218,295",05/22,"128,847","32,076","+96,771",600,12,+588,"2,683","1,268","+1,415","132,130","33,355","+98,774",＋＋＋
1802,台玻,70.5,+5.4,+8.29,"125,408",05/22,"57,105","21,073","+36,033",11,0,+11,"2,192",774,"+1,418","59,308","21,846","+37,462",＋＋＋
2313,華通,278,+20,+7.75,"99,748",05/22,"44,149","15,064","+29,085",127,8,+119,"3,000",768,"+2,232","47,276","15,840","+31,436",＋＋＋
0050,元大台灣50,97.3,+1.45,+1.51,"64,288",05/22,"12,064","4,254","+7,809",285,200,+85,"20,547","3,678","+16,868","32,895","8,133","+24,762",＋＋＋
1717,長興,83,+3.3,+4.14,"67,986",05/22,"34,676","11,022","+23,654",540,0,+540,429,286,+143,"35,645","11,308","+24,337",＋＋＋
2377,微星,124,+11,+9.73,"54,501",05/22,"28,253","8,269","+19,984","2,667",11,"+2,656","1,039",254,+785,"31,959","8,534","+23,425",＋＋＋
2356,英業達,59.5,+5.4,+9.98,"122,965",05/22,"51,562","35,323","+16,239","1,645",314,"+1,331","2,402",844,"+1,558","55,609","36,482","+19,128",＋＋＋
3706,神達,87.8,+4.3,+5.15,"37,197",05/22,"17,506","7,036","+10,470","2,591",4,"+2,587",796,113,+683,"20,893","7,153","+13,740",＋＋＋
2603,長榮,219,+7,+3.3,"30,119",05/22,"16,182","9,287","+6,895","7,906","2,844","+5,062","1,132",480,+652,"25,220","12,611","+12,609",＋＋＋
2337,旺宏,149.5,+8.5,+6.03,"112,827",05/22,"43,124","34,039","+9,085","1,465","1,441",+24,"1,313",715,+598,"45,901","36,195","+9,707",＋＋＋
2615,萬海,84.3,+3.1,+3.82,"23,283",05/22,"12,018","4,610","+7,408","1,796",13,"+1,783",424,109,+314,"14,237","4,732","+9,505",＋＋＋
6120,達運,14.7,+1.3,+9.7,"13,985",05/22,"7,800","1,207","+6,593",84,0,+84,553,33,+520,"8,437","1,241","+7,197",＋＋＋
1409,新纖,17.2,+0.25,+1.47,"8,992",05/22,"6,944",502,"+6,442",6,0,+6,82,69,+13,"7,032",571,"+6,462",＋＋＋
4919,新唐,199.5,+18,+9.92,"42,518",05/22,"11,527","6,868","+4,659","1,028",0,"+1,028",623,456,+167,"13,178","7,324","+5,854",＋＋＋
2455,全新,425,+38.5,+9.96,"15,989",05/22,"7,515","2,483","+5,033",159,6,+153,635,300,+335,"8,309","2,789","+5,521",＋＋＋
3105,穩懋,531,+48,+9.94,"28,969",05/22,"8,082","4,158","+3,924",745,94,+651,"1,079",220,+859,"9,906","4,472","+5,434",＋＋＋
3037,欣興,970,+65,+7.18,"42,133",05/22,"18,243","13,584","+4,660",896,124,+772,931,"1,116",-185,"20,070","14,824","+5,246",＋＋－
2328,廣宇,54.8,+2.7,+5.18,"16,768",05/22,"6,092","1,941","+4,151",167,0,+167,993,73,+920,"7,252","2,014","+5,238",＋＋＋
2363,矽統,66.7,+3.9,+6.21,"45,743",05/22,"14,856","10,716","+4,140",4,0,+4,852,255,+597,"15,712","10,971","+4,741",＋＋＋
2436,偉詮電,77.6,+2.8,+3.74,"12,501",05/22,"5,759","1,760","+4,000",10,0,+10,375,172,+203,"6,145","1,932","+4,213",＋＋＋
2492,華新科,292.5,+26.5,+9.96,"11,025",05/22,"3,518",716,"+2,802",885,0,+885,342,50,+291,"4,745",767,"+3,978",＋＋＋
3711,日月光投控,561,+51,+10,"31,183",05/22,"14,131","11,151","+2,980","1,345",96,"+1,249","1,001","1,255",-254,"16,477","12,503","+3,975",＋＋－
6202,盛群,60.8,+1.9,+3.23,"9,031",05/22,"5,068","1,463","+3,606",180,0,+180,44,19,+25,"5,292","1,482","+3,810",＋＋＋
8046,南電,934,+62,+7.11,"17,477",05/22,"6,976","5,121","+1,856","1,853",97,"+1,756",493,314,+180,"9,323","5,531","+3,791",＋＋＋
00923,群益台ESG低碳50,38.87,+0.79,+2.07,"5,000",05/22,793,372,+421,"1,000",0,"+1,000","2,541",501,"+2,040","4,334",873,"+3,461",＋＋＋
2421,建準,158.5,+6.5,+4.28,"16,310",05/22,"6,857","4,883","+1,974",947,0,+947,336,151,+185,"8,140","5,035","+3,106",＋＋＋
2388,威盛,88,+2,+2.33,"35,609",05/22,"11,635","9,205","+2,430",80,6,+74,895,706,+189,"12,610","9,917","+2,693",＋＋＋
1504,東元,72.1,+1,+1.41,"16,737",05/22,"8,890","6,498","+2,392",13,9,+4,237,96,+141,"9,140","6,603","+2,538",＋＋＋
1513,中興電,156.5,+2,+1.29,"6,295",05/22,"3,238","1,137","+2,101",293,28,+265,133,51,+82,"3,664","1,216","+2,447",＋＋＋
2357,華碩,682,+26,+3.96,"5,480",05/22,"3,202","1,767","+1,435",961,108,+853,206,124,+82,"4,369","1,999","+2,370",＋＋＋
2495,普安,44.2,+3.55,+8.73,"24,119",05/22,"8,697","7,056","+1,640",210,0,+210,314,49,+265,"9,221","7,105","+2,115",＋＋＋
00850,元大臺灣ESG永續,82.85,+1.6,+1.97,"2,860",05/22,581,420,+161,320,0,+320,"1,783",280,"+1,502","2,684",700,"+1,983",＋＋＋
3189,景碩,609,+55,+9.93,"11,455",05/22,"2,951","1,556","+1,395",594,10,+584,493,639,-145,"4,038","2,205","+1,833",＋＋－
6415,矽力*-KY,562,+5,+0.9,"12,172",05/22,"6,479","5,620",+858,903,10,+893,106,214,-109,"7,488","5,845","+1,643",＋＋－
2323,中環,10.2,+0.34,+3.45,"10,540",05/22,"3,602","3,254",+348,815,0,+815,434,21,+413,"4,851","3,275","+1,576",＋＋＋
6191,精成科,96.8,+1.3,+1.36,"5,336",05/22,"2,315",855,"+1,460",80,1,+79,39,14,+24,"2,434",870,"+1,563",＋＋＋
6176,瑞儀,107.5,+2.5,+2.38,"7,164",05/22,"3,447","2,295","+1,152",198,34,+164,215,48,+167,"3,861","2,377","+1,483",＋＋＋
6214,精誠,130,+2.5,+1.96,"2,833",05/22,"1,687",380,"+1,307",1,0,+1,61,5,+56,"1,749",385,"+1,364",＋＋＋
5243,乙盛-KY,123,+11,+9.82,"10,266",05/22,"2,908","2,290",+618,461,0,+461,363,89,+274,"3,732","2,379","+1,353",＋＋＋
6412,群電,100.5,+3.4,+3.5,"4,925",05/22,"2,033",934,"+1,099",110,0,+110,79,38,+42,"2,222",972,"+1,251",＋＋＋
8021,尖點,422,+38,+9.9,"6,017",05/22,"1,622",788,+834,218,78,+140,287,23,+264,"2,127",889,"+1,238",＋＋＋
6271,同欣電,226.5,+20.5,+9.95,"8,498",05/22,"3,032","2,108",+924,26,0,+26,343,134,+209,"3,401","2,242","+1,159",＋＋＋
2329,華泰,54.6,+1.7,+3.21,"11,499",05/22,"3,898","2,786","+1,112",38,0,+38,366,542,-176,"4,302","3,328",+974,＋＋－
6531,愛普*,963,+87,+9.93,"8,160",05/22,"2,878","2,190",+687,295,37,+258,119,103,+16,"3,291","2,330",+962,＋＋＋
6104,創惟,103,+1.5,+1.48,"2,237",05/22,"1,194",310,+884,5,0,+5,37,28,+9,"1,236",338,+898,＋＋＋
2458,義隆,162,+3.5,+2.21,"4,499",05/22,"2,304","1,505",+799,93,31,+62,58,32,+25,"2,455","1,569",+886,＋＋＋
1773,勝一,184.5,+7.5,+4.24,"2,788",05/22,"1,085",557,+528,280,0,+280,63,14,+50,"1,428",571,+857,＋＋＋
3167,大量,831,+75,+9.92,"6,221",05/22,"1,772","1,122",+650,104,23,+81,95,41,+54,"1,971","1,186",+785,＋＋＋
8996,高力,1170,+105,+9.86,"3,643",05/22,"2,059","1,363",+696,50,13,+37,122,82,+40,"2,231","1,458",+773,＋＋＋
6937,天虹,323.5,+29,+9.85,"1,646",05/22,708,219,+490,170,0,+170,72,4,+68,950,223,+728,＋＋＋
3293,鈊象,748,+8,+1.08,"2,170",05/22,937,775,+162,467,3,+464,72,61,+11,"1,476",839,+637,＋＋＋
6196,帆宣,442,+12.5,+2.91,"2,961",05/22,893,715,+177,402,0,+402,118,65,+54,"1,413",780,+633,＋＋＋
4968,立積,119.5,+3.5,+3.02,"1,393",05/22,725,149,+576,5,0,+5,56,20,+36,786,169,+617,＋＋＋
3376,新日興,210,+0.5,+0.24,"5,986",05/22,"2,949","2,312",+636,2,0,+2,66,104,-38,"3,017","2,417",+600,＋＋－
3059,華晶科,43.55,+0.35,+0.81,"8,797",05/22,"2,252","1,810",+441,1,0,+1,90,16,+74,"2,343","1,827",+517,＋＋＋
2383,台光電,5005,+315,+6.72,"3,038",05/22,"1,808","1,537",+271,252,21,+231,176,174,+2,"2,236","1,732",+504,＋＋＋
3088,艾訊,142,+4.5,+3.27,"2,513",05/22,"1,114",704,+410,82,0,+82,38,27,+11,"1,234",731,+503,＋＋＋
6138,茂達,318.5,+16.5,+5.46,"2,633",05/22,862,534,+328,78,0,+78,134,38,+96,"1,074",572,+502,＋＋＋
6274,台燿,1455,+130,+9.81,"1,682",05/22,774,325,+449,50,37,+13,83,83,0,907,445,+462,＋＋＋
3491,昇達科,1930,+80,+4.32,"3,591",05/22,"1,109",730,+379,17,13,+4,142,99,+44,"1,268",841,+427,＋＋＋
5269,祥碩,1480,+70,+4.96,"1,862",05/22,532,317,+215,144,1,+143,72,12,+60,748,330,+418,＋＋＋
3078,僑威,56.7,+1.5,+2.72,"1,717",05/22,669,366,+303,68,2,+66,43,8,+35,781,377,+404,＋＋＋
3577,泓格,145.5,+13,+9.81,"2,040",05/22,492,192,+300,67,0,+67,36,4,+32,595,196,+399,＋＋＋
3026,禾伸堂,476.5,+43,+9.92,"1,700",05/22,361,273,+88,41,2,+39,271,11,+260,673,286,+387,＋＋＋
