代號,名稱,成交,漲跌價,漲跌幅,成交張數,法人買賣日期,外資買進張數,外資賣出張數,外資買賣超張數,投信買進張數,投信賣出張數,投信買賣超張數,自營買進張數,自營賣出張數,自營買賣超張數,合計買進張數,合計賣出張數,合計買賣超張數,法人買賣超註記
6770,力積電,70.8,+3.2,+4.73,"354,361",05/26,"141,303","81,470","+59,833",302,0,+302,"2,585","1,601",+984,"144,190","83,071","+61,119",＋＋＋
2344,華邦電,141,+12.5,+9.73,"336,105",05/26,"97,486","50,614","+46,873","5,779","1,415","+4,364","5,218","2,581","+2,637","108,483","54,609","+53,874",＋＋＋
00982A,主動群益台灣強棒,24.06,+0.34,+1.43,"65,051",05/26,"26,767","4,965","+21,802",389,0,+389,"20,557","7,726","+12,831","47,713","12,691","+35,021",＋＋＋
2337,旺宏,160.5,+8,+5.25,"163,664",05/26,"71,402","42,064","+29,338","2,969",0,"+2,969","1,199","1,122",+77,"75,570","43,186","+32,384",＋＋＋
2887,台新新光金,23.6,+0.3,+1.29,"157,314",05/26,"77,287","72,006","+5,281","43,739","20,490","+23,249","2,270","2,564",-294,"123,296","95,060","+28,236",＋＋－
3037,欣興,1085,+95,+9.6,"34,270",05/26,"15,398","6,718","+8,680","3,040",150,"+2,890","1,621","1,415",+206,"20,060","8,283","+11,777",＋＋＋
2489,瑞軒,51.7,-4.8,-8.5,"127,852",05/26,"40,733","34,061","+6,672",475,0,+475,"1,338","1,509",-172,"42,546","35,570","+6,975",＋＋－
3189,景碩,696,+27,+4.04,"50,430",05/26,"19,533","15,136","+4,398","2,307",0,"+2,307",926,"1,050",-125,"22,766","16,186","+6,580",＋＋－
6285,啟碁,304.5,+6.5,+2.18,"21,738",05/26,"9,825","4,867","+4,958",469,254,+215,319,219,+101,"10,613","5,340","+5,273",＋＋＋
1717,長興,83,+0.8,+0.97,"32,823",05/26,"13,324","9,275","+4,049",711,0,+711,580,160,+420,"14,615","9,435","+5,179",＋＋＋
1802,台玻,72.2,-1.7,-2.3,"337,056",05/26,"78,522","75,414","+3,108",762,0,+762,"4,093","3,338",+755,"83,376","78,752","+4,624",＋＋＋
00991A,主動復華未來50,19.33,+0.06,+0.31,"67,406",05/26,"12,205","10,249","+1,956",474,0,+474,"13,700","11,516","+2,185","26,379","21,765","+4,615",＋＋＋
3105,穩懋,562,+19,+3.5,"33,746",05/26,"11,392","8,124","+3,267",355,185,+170,"1,459",652,+807,"13,205","8,961","+4,244",＋＋＋
4958,臻鼎-KY,540,+11,+2.08,"41,904",05/26,"16,194","12,964","+3,230",334,62,+272,744,581,+163,"17,272","13,607","+3,665",＋＋＋
5483,中美晶,164,+9.5,+6.15,"34,247",05/26,"10,357","7,464","+2,893",235,85,+150,909,512,+397,"11,501","8,061","+3,441",＋＋＋
2492,華新科,328.5,+7,+2.18,"14,055",05/26,"4,972","2,357","+2,614",350,0,+350,737,283,+454,"6,059","2,640","+3,419",＋＋＋
6706,惠特,197,+17.5,+9.75,"14,580",05/26,"3,630","2,370","+1,259","1,678",0,"+1,678",178,83,+96,"5,486","2,453","+3,033",＋＋＋
2606,裕民,70,+2.1,+3.09,"12,488",05/26,"5,994","3,380","+2,614",249,19,+230,308,308,0,"6,551","3,707","+2,844",＋＋＋
2891,中信金,57.6,+0.3,+0.52,"51,793",05/26,"35,563","33,471","+2,091","5,484","1,774","+3,710",551,"3,649","-3,097","41,598","38,894","+2,704",＋＋－
2308,台達電,2350,+60,+2.62,"12,199",05/26,"6,161","3,834","+2,328",222,54,+168,462,384,+78,"6,845","4,271","+2,574",＋＋＋
3017,奇鋐,2725,+150,+5.83,"6,240",05/26,"2,770","1,647","+1,123",782,187,+595,330,238,+92,"3,882","2,072","+1,810",＋＋＋
4919,新唐,211,-8,-3.65,"57,486",05/26,"18,372","16,030","+2,342",45,0,+45,761,"1,379",-617,"19,178","17,409","+1,770",＋＋－
2472,立隆電,307,+27.5,+9.84,"15,045",05/26,"4,387","2,979","+1,408",196,50,+146,190,163,+27,"4,773","3,192","+1,582",＋＋＋
2421,建準,165,+2.5,+1.54,"11,118",05/26,"3,294","2,738",+556,879,0,+879,231,248,-17,"4,404","2,986","+1,419",＋＋－
8926,台汽電,68.7,+6.2,+9.92,"18,031",05/26,"4,209","3,538",+671,100,4,+96,381,21,+360,"4,690","3,563","+1,127",＋＋＋
8996,高力,1245,+110,+9.69,"4,733",05/26,"1,935","1,216",+719,295,27,+268,193,109,+84,"2,423","1,352","+1,071",＋＋＋
5536,聖暉*,1035,+86,+9.06,"2,794",05/26,"1,035",517,+518,457,89,+368,135,55,+80,"1,628",661,+966,＋＋＋
4977,眾達-KY,235.5,+5,+2.17,"6,071",05/26,"2,057","1,122",+935,98,0,+98,46,119,-73,"2,201","1,241",+960,＋＋－
2646,星宇航空,20.2,-0.1,-0.49,"6,090",05/26,"2,177","1,266",+911,1,0,+1,30,19,+11,"2,208","1,285",+923,＋＋＋
3026,禾伸堂,570,+47,+8.99,"3,383",05/26,706,441,+265,600,0,+600,251,215,+36,"1,557",656,+901,＋＋＋
6446,藥華藥,878,+38,+4.52,"3,667",05/26,"1,584",720,+864,19,0,+19,56,41,+15,"1,659",762,+897,＋＋＋
6442,光聖,2265,+205,+9.95,"7,119",05/26,"1,968","1,585",+383,431,3,+428,301,224,+76,"2,700","1,813",+887,＋＋＋
