排名,代號,名稱,成交,漲跌價,漲跌幅,法人買賣日期,當日買賣超佔發行張數,2日買賣超佔發行張數,3日買賣超佔發行張數,5日買賣超佔發行張數,10日買賣超佔發行張數,1個月買賣超佔發行張數,3個月買賣超佔發行張數,半年買賣超佔發行張數,1年買賣超佔發行張數,3年買賣超佔發行張數,10年買賣超佔發行張數,今年買賣超佔發行張數
1,3450,聯鈞,470.5,+42.5,+9.93,05/12,+3.93,+1.99,+8.42,+8.49,+4.88,+5.67,+20.8,+17.3,+5.61,+16.8,-14.5,+18.4
2,3305,昇貿,128.5,+11.5,+9.83,05/12,+3.79,+3.59,+5.03,+4.68,+4.49,+4.61,+7.48,+7.7,+1.12,+5.12,+0.83,+7.04
3,4931,新盛力,202.5,+15.5,+8.29,05/12,+3.76,+5.39,+6.43,+5.33,+4.2,+4.42,+1.15,+2.48,+3.09,+6.63,,-11.4
4,2481,強茂,115.5,+6.5,+5.96,05/12,+3.53,+6.34,+5.57,+6.48,+7.45,+5.69,+8.86,+13.2,+14.8,+17.5,+0.22,+21
5,4966,譜瑞-KY,761,+26,+3.54,05/12,+3.44,+2.34,+4.32,+4,+2.39,+1.29,-1.85,-12.4,-18.3,-37.8,-17,-7.73
6,8147,正淩,183,+13.5,+7.96,05/12,+2.96,+3.56,+4.18,+3.03,+1.84,-0.02,+3.05,+2.03,+4.66,+3.67,+5.17,+2.11
7,00689R,國泰20年美債反1,21.94,+0.06,+0.27,05/12,+2.9,+3.63,+3.63,+3.63,+4.28,+6.5,+13.2,+16.8,+24.9,+25.6,,+17.5
8,2313,華通,260,+18,+7.44,05/12,+2.52,+1.13,+1.46,-0.26,+1.8,-0.78,-4.89,-9.48,+9.89,+4.47,+4.51,-5.66
9,4739,康普,101,+5.5,+5.76,05/12,+2.35,+2.91,+1.63,+1.37,+0.7,-1.8,-1.19,+2.8,+5.19,+7.27,+6.1,+0.96
10,6206,飛捷,140,+9.5,+7.28,05/12,+2.33,+2.98,+3.48,+3.87,+4.06,+4.65,+6,+7.56,-8.38,+1.12,-12.1,+5.93
11,3135,凌航,213.5,+19,+9.77,05/12,+2.15,+2.11,+2.55,+1.45,+3.22,+3.13,+3.16,+2.4,,,,+0.08
12,00859B,群益0-1年美債,40.82,+0.08,+0.2,05/12,+2.09,+2.69,+2.95,+3.46,+5.97,+7.38,+29,+58,+55.5,+69,,+51.8
13,6509,聚和,46.65,+2.95,+6.75,05/12,+1.82,+0.83,+1.7,+1.7,+2.14,+2.11,-2.2,-0.03,-0.1,+1.69,+0.46,-0.93
14,00638R,元大滬深300反1,6.43,-0.1,-1.53,05/12,+1.77,+1.77,-0.44,+1.69,+1.3,+0.73,+1.22,-0.71,+1.84,+2.14,+26.9,+1.77
15,4916,事欣科,68.4,+1.4,+2.09,05/12,+1.75,+2.38,+1.41,+1.12,+0.91,+9.09,+10.8,+8.07,+9,+5.77,+5.54,+13.8
16,009820,元大納斯達克精選,9.99,0,0,05/12,+1.74,+2.95,+3.55,+3.72,+3.72,,,,,,,
17,3624,光頡,66.3,+3.3,+5.24,05/12,+1.64,+2.34,+2.61,+1.33,+1.93,+2.15,+4.02,+4.31,+2.48,+4.62,+1.23,+3.3
18,8069,元太,195.5,+17.5,+9.83,05/12,+1.62,+1.56,+1.64,+1.75,+1.56,+0.99,-1.82,-4.62,-5.87,+4.03,+21.8,-2.94
19,6530,創威,121.5,+11,+9.95,05/12,+1.58,+2.28,+2.47,+1.34,-3.99,+1.27,+4.49,+4.52,-0.05,-0.18,,+4.26
20,6218,豪勉,41,+3.7,+9.92,05/12,+1.49,+1.27,+0.76,+1.06,+0.39,+0.04,+0.91,+0.07,+0.14,+0.52,+0.51,+0.6
21,2409,友達,20.7,+1.85,+9.81,05/12,+1.47,+1.89,+1.81,+2.23,+0.63,-1.26,+3.52,-8.74,-12.3,-17.1,-31.5,-3.99
22,3048,益登,46.9,+1.9,+4.22,05/12,+1.47,+2.49,+3.34,+3.21,+3.87,+4.72,+6.17,+6.28,+0.77,+3.99,+3.93,+6.47
23,4973,廣穎,120,+10.5,+9.59,05/12,+1.43,+3.46,+4.25,+6.28,+4.86,+1.85,+6.93,+8.21,+5.65,+4.75,+6.48,+6.41
24,00401A,主動摩根台灣鑫收,12.88,+0.07,+0.55,05/12,+1.42,+1.92,+1.87,+2.83,+3.98,+0.55,,,,,,
