排名,代號,名稱,成交,漲跌價,漲跌幅,法人買賣日期,當日買賣超佔發行張數,2日買賣超佔發行張數,3日買賣超佔發行張數,5日買賣超佔發行張數,10日買賣超佔發行張數,1個月買賣超佔發行張數,3個月買賣超佔發行張數,半年買賣超佔發行張數,1年買賣超佔發行張數,3年買賣超佔發行張數,10年買賣超佔發行張數,今年買賣超佔發行張數
243,3715,定穎投控,181,+4.5,+2.55,05/14,+0.2,-0.11,-0.54,-2.36,+0.53,-1.73,-2.77,-17.6,+0.87,-5.25,,-5.54
244,00738U,期元大道瓊白銀,70.35,+0.6,+0.86,05/14,+0.2,+0.94,+1.24,+3.46,+3.61,+3.86,+2.61,-2.69,-2.3,-0.07,,-1.75
245,2303,聯電,108,+9.6,+9.76,05/14,+0.19,-0.17,+0.11,+0.21,+1,+2.63,+2.83,+12.1,+15,+1.55,-8.38,+7.33
246,3152,璟德,173.5,+5.5,+3.27,05/14,+0.19,-0.09,+0.1,+0.56,-0.41,+1.04,+2.84,+0.22,-1.7,-3.46,-6.62,+1.36
247,1536,和大,51.3,+0.1,+0.2,05/14,+0.19,-0.19,-0.54,-0.52,-0.18,-0.27,-2.61,-2.14,-1.82,-10.6,-41,-0.72
248,00730,富邦臺灣優質高息,26.85,+0.21,+0.79,05/14,+0.19,+0.42,+0.42,+0.51,+1.07,+2.76,+3.27,+3.25,+2.54,+11.7,,+3.18
249,00968B,元大優息投等債,9.25,+0.01,+0.11,05/14,+0.19,+0.39,+0.62,+0.99,+0.65,+2.77,+3.27,+5.97,+59.5,,,+3.39
250,2428,興勤,212,+9,+4.43,05/14,+0.19,+0.44,+1.14,+1.73,+2.46,+3.28,+4.93,+4.76,+1.28,+4.32,+3.34,+5.59
251,7768,頌勝科技,374.5,+33,+9.66,05/14,+0.19,+0.02,-0.33,-0.56,,,,,,,,
252,1714,和桐,10,+0.11,+1.11,05/14,+0.19,+0.18,+1.25,+1.62,+1.16,+0.71,+2.88,+4.37,+4.29,+2.93,+4.93,+4.24
253,00666R,富邦恒生國企反1,8.75,-0.02,-0.23,05/14,+0.19,+0.19,+0.19,+0.19,+0.19,-0.04,+1.14,+4.57,+6.09,+4.21,,+2.84
254,6446,藥華藥,782,0,0,05/14,+0.18,+0.58,+0.62,+0.89,+1.19,+1.46,+0.56,+4.16,+1.9,+7.35,,+4.53
255,2368,金像電,1430,+80,+5.93,05/14,+0.18,+0.22,+0.09,+0.19,+0.13,-0.06,-1.01,+1.62,+10.7,+4.89,+18.9,+2.39
256,4162,智擎,55.8,-0.4,-0.71,05/14,+0.18,+0.25,+0.33,+0.16,+0.52,+0.84,+1.54,+2.78,-1.49,+3.5,-1.58,+1.68
257,2465,麗臺,82.6,-0.5,-0.6,05/14,+0.18,+0.14,+0.27,-0.07,+0.14,+1.62,+3.26,+2.46,+2.71,+4.25,-1.42,+3.31
258,3227,原相,228,+5,+2.24,05/14,+0.18,-0.01,+0.18,+1.97,+2.63,+4.16,+4.59,+1.15,-10.8,+2.56,+6.16,+0.81
259,6108,競國,18.95,-0.6,-3.07,05/14,+0.18,-0.04,-0.33,-0.46,-0.24,+1.18,+2.05,+1.6,+1.59,-0.12,-0.68,+2.26
260,1776,展宇,18.7,+1.7,+10,05/14,+0.18,+0.19,+0.18,+0.15,+0.2,+0.3,+0.31,+0.24,-0.25,+0.09,+0.72,+0.24
261,2379,瑞昱,574,+22,+3.99,05/14,+0.18,+0.29,+0.34,+0.86,+0.57,+3.94,+5.91,+4.4,+0.76,+3.36,+3.01,+4.98
262,2420,新巨,56.9,+0.6,+1.07,05/14,+0.18,-0.03,+0.06,+0.16,+0.22,+0.66,+1.58,+1.73,+0.38,+2.6,+0.53,+1.97
