排名,代號,名稱,成交,漲跌價,漲跌幅,法人買賣日期,當日買賣超佔發行張數,2日買賣超佔發行張數,3日買賣超佔發行張數,5日買賣超佔發行張數,10日買賣超佔發行張數,1個月買賣超佔發行張數,3個月買賣超佔發行張數,半年買賣超佔發行張數,1年買賣超佔發行張數,3年買賣超佔發行張數,10年買賣超佔發行張數,今年買賣超佔發行張數
1,3624,光頡,76.2,+3,+4.1,05/15,+2.57,+2.65,+3.14,+3.14,+3.14,+3.14,+3.14,+3.14,+3.14,-7.42,+3.11,+3.14
2,6531,愛普*,1080,+30,+2.86,05/15,+1.31,+2.06,+2.82,+2.81,+2.85,+3.4,+3.71,+3.13,+3.82,+1.34,,+2.28
3,6278,台表科,220.5,-5.5,-2.43,05/15,+0.78,+2.04,+2.12,+3.5,+3.06,-0.2,-2.99,-6.18,-10.9,+13,+13.1,-5.8
4,2344,華邦電,129.5,-4.5,-3.36,05/15,+0.57,+0.94,+1.13,+1.33,+1.78,+0.88,+2.11,+2.94,+6.58,+5.8,+6.63,+3.15
5,2303,聯電,110,+2,+1.85,05/15,+0.31,+0.35,+0.5,+0.59,+0.81,+1.28,+1.25,-1.56,-2.5,+13.8,+17,+0.3
6,5439,高技,391,-20,-4.87,05/15,+0.27,+0.81,+0.81,+1.05,+2.05,+3.27,+3.35,+9.58,+11.8,+8.74,+11.9,+5.23
7,2049,上銀,392.5,+18,+4.81,05/15,+0.26,+0.29,+0.33,+0.54,+0.35,+0.38,+0.15,+0.41,-0.89,-1.93,+0.57,+0.47
8,3583,辛耘,888,-41,-4.41,05/15,+0.24,+0.56,+0.73,+0.93,+2.34,+2.67,+4.39,+4.39,+4.32,+4.81,-1.08,+4.39
9,8996,高力,1040,-25,-2.35,05/15,+0.23,+0.6,+0.4,+1.26,+0.41,+1.72,+1.81,+1.59,+2.39,+2.62,+3.81,+2.55
10,2327,國巨*,455.5,-6.5,-1.41,05/15,+0.21,+0.2,+0.5,+0.91,+1.37,+1.15,+1.27,+3.1,+3.2,+2.81,+3.37,+2.69
11,6715,嘉基,479,-8,-1.64,05/15,+0.2,+0.53,+0.53,+0.52,+1.64,+3.38,+6,+6,+6,+5.09,,+6
12,6515,穎崴,9780,-760,-7.21,05/15,+0.2,+0.48,+0.28,+0.34,+0.18,+0.86,+0.82,+5.44,+10.4,+5.24,,+3.1
13,6782,視陽,189,-1,-0.53,05/15,+0.19,+0.38,+0.39,+0.43,+0.43,+0.36,+0.55,+0.11,+0.57,-2.23,,+0.47
14,4746,台耀,53.8,+0.7,+1.32,05/15,+0.18,+0.36,+0.36,+0.47,+1.34,+1.86,+1.86,+1.86,+1.86,+1.14,-3.95,+1.86
15,009803,玉山市值動能50,19.85,-0.38,-1.88,05/15,+0.17,+0.17,+0.17,+0.17,+0.24,+0.71,+0.71,+0.71,+0.71,,,+0.71
16,3551,世禾,206.5,-8,-3.73,05/15,+0.16,+0.16,+0.16,+0.16,+0.21,+0.55,-0.43,+1.32,+1.81,+1.5,+1.81,+0.24
17,6510,精測,3735,-415,-10,05/15,+0.16,+0.48,+0.13,+0.75,+0.6,+2.09,-2.5,+2.37,+4.76,+14.8,+9.86,+0.95
18,8210,勤誠,1410,-50,-3.42,05/15,+0.16,+0.33,+0.94,+1.93,+4.16,+4.96,+0.71,+3.1,+4.37,+4.94,+3.79,+2.86
19,6223,旺矽,5895,-395,-6.28,05/15,+0.16,+0.13,+0.47,+0.18,+0.72,+0.59,+1.42,+0.16,+9.3,+16.6,+13.4,-0.13
20,5347,世界,176.5,+1.5,+0.86,05/15,+0.16,+0.22,+0.13,+0.39,+0.59,-0.59,-1.97,-6.91,-11.6,+8.49,+9.61,-5.3
21,00864B,中信美國公債0-1,46.28,-0.06,-0.13,05/15,+0.15,+0.15,+0.15,+0.15,+0.15,+0.15,+0.15,-0.37,-1.55,+0.69,,-0.86
22,6146,耕興,214.5,-5.5,-2.5,05/15,+0.14,+0.28,+0.28,+0.28,+0.28,+0.39,+0.51,+0.51,+0.29,-3.49,-0.2,+0.51
23,7717,萊德光電-KY,606,-29,-4.57,05/15,+0.14,+0.14,+0.14,+0.14,-0.91,+0.42,+1.15,,,,,+1.15
24,2481,強茂,117.5,+2,+1.73,05/15,+0.13,+0.21,+0.83,+1.07,+0.74,+1.37,-2.92,-4.2,+2.79,+3.83,+0.83,-3.83
25,9958,世紀鋼,104.5,-5.5,-5,05/15,+0.12,+0.25,+0.22,+0.22,+0.22,+0.26,+0.25,+0.25,-0.37,+0.25,+0.25,+0.22
26,2345,智邦,2505,-170,-6.36,05/15,+0.12,+0.26,+0.29,+0.49,+0.46,+0.78,+1.55,+1.74,+0.21,+3.28,-1.76,+1.06
27,3026,禾伸堂,327,-30.5,-8.53,05/15,+0.12,+0.11,+0.11,+1.11,+6.15,+6.39,+6.28,+6.21,+6.56,+6.77,+5.93,+6.17
28,3028,增你強,78.7,-0.1,-0.13,05/15,+0.11,+0.11,+0.11,+0.11,+0.11,+0.11,+0.11,+0.11,+0.11,+0.09,+0.09,+0.11
29,7749,意騰-KY,488,-12,-2.4,05/15,+0.11,+0.39,+0.39,+0.39,+0.4,+0.4,+0.37,+0.2,,,,+0.42
30,3036,文曄,270,-1.5,-0.55,05/15,+0.11,+0.09,+0.57,+1.64,+1.41,+1.14,+1.99,+3.4,+8.07,+8.93,+10.5,+1.73
