排名,代號,名稱,成交,漲跌價,漲跌幅,法人買賣日期,當日買賣超佔發行張數,2日買賣超佔發行張數,3日買賣超佔發行張數,5日買賣超佔發行張數,10日買賣超佔發行張數,1個月買賣超佔發行張數,3個月買賣超佔發行張數,半年買賣超佔發行張數,1年買賣超佔發行張數,3年買賣超佔發行張數,10年買賣超佔發行張數,今年買賣超佔發行張數
1,2455,全新,355,+7.5,+2.16,05/04,+1.33,+1.33,+1.34,+1.44,+2.05,+2.92,+3.22,+3.17,+3,-5.78,-7.19,+3.94
2,4576,大銀微系統,233,+11,+4.95,05/04,+0.94,+0.94,+0.94,+0.94,+0.94,+0.94,+0.86,+0.86,+0.61,+0.9,,+0.86
3,6187,萬潤,1330,+120,+9.92,05/04,+0.69,+1.5,+1.23,0,+0.54,+2.37,+8.84,+8.34,+7.59,+9.66,+5.35,+8.94
4,3324,雙鴻,1190,+50,+4.39,05/04,+0.56,+0.55,+0.55,+0.36,+0.42,-0.66,-0.73,-2.4,-0.44,-4.15,-5.89,-1.62
5,3450,聯鈞,332,+30,+9.93,05/04,+0.47,+0.47,+0.44,-1,-1.72,-1.18,-0.35,-5.09,-7.85,+0.02,-0.68,-0.9
6,3583,辛耘,793,+1,+0.13,05/04,+0.44,+1.24,+1.35,+1.12,+0.67,+1.97,+2.46,+0.81,+2.39,+2.88,-3.31,+2.46
7,3592,瑞鼎,239,+4,+1.7,05/04,+0.39,+0.54,+0.59,+0.68,+0.68,+0.65,+0.68,-12.5,-10,-1.42,,-0.19
8,5483,中美晶,136.5,+2.5,+1.87,05/04,+0.38,+0.35,+0.35,+0.26,-1.03,-0.98,-0.99,-1.97,-3.9,+5.89,+6.27,-1.24
9,9938,百和,44.9,+0.75,+1.7,05/04,+0.3,+0.52,+0.59,+0.75,+0.73,+0.56,-0.74,-1.66,-1.62,+1.04,-4.91,-1.68
10,2731,雄獅,161.5,+2.5,+1.57,05/04,+0.29,+0.37,+0.45,+0.61,+0.61,+0.61,+1.46,+1.5,-1.57,-13.7,+0.1,+1.46
11,3526,凡甲,363,+33,+10,05/04,+0.26,+0.64,+0.77,+0.98,+0.89,+0.91,+0.28,+0.7,-0.99,+2.86,+2.55,+0.49
12,6510,精測,3780,+340,+9.88,05/04,+0.22,-0.68,-0.66,-0.8,+1.03,+0.65,-2.4,+1.77,+4.64,+14.1,+11.2,+0.58
13,3026,禾伸堂,226,+13.5,+6.35,05/04,+0.21,+0.3,+0.3,+0.3,+0.65,+0.64,+0.68,+0.49,+0.82,+1.02,+0.19,+0.42
14,4746,台耀,54.8,+0.7,+1.29,05/04,+0.21,+0.34,+0.47,+0.73,+0.73,+0.73,+0.73,+0.73,+0.73,+0.21,-4.5,+0.73
15,6488,環球晶,606,+26,+4.48,05/04,+0.18,+0.36,+0.16,+0.1,+0.74,+1.85,+1.28,+4.32,+2.6,+5.15,+5.25,+4.48
16,6805,富世達,2215,+145,+7,05/04,+0.18,+0.23,-0.2,+0.4,-0.68,-3.05,+1.12,+0.44,+7.75,,,-4.55
17,9802,鈺齊-KY,80.3,+2.8,+3.61,05/04,+0.18,+0.24,+0.31,+0.44,+0.44,+0.44,-1.36,-1.19,-4.91,-2.93,-0.12,-1.95
18,3661,世芯-KY,4250,+115,+2.78,05/04,+0.16,+0.14,-0.1,+0.02,+1.02,+1.53,+0.85,+0.58,+1.04,-7.66,+7.36,+1.13
19,1560,中砂,557,+17,+3.15,05/04,+0.15,+0.25,+0.35,+0.24,-0.33,-0.54,-3.65,-3.03,-1.84,+2.09,+2.88,-3.52
20,6768,志強-KY,79.8,+1.7,+2.18,05/04,+0.15,+0.26,+0.32,+0.45,+0.44,+0.39,+0.05,-1.8,-1.43,+0.79,,-0.96
21,8936,國統,52.3,+2.2,+4.39,05/04,+0.15,+0.3,+0.3,+0.3,+0.3,+0.3,+0.3,+0.27,-0.23,+0.3,-0.44,+0.3
22,2548,華固,123,-3,-2.38,05/04,+0.14,+0.16,+0.18,+0.23,+0.23,+0.21,+0.51,+0.63,-1.2,-0.39,-0.79,+0.51
