排名,代號,名稱,成交,漲跌價,漲跌幅,法人買賣日期,當日買賣超佔發行張數,2日買賣超佔發行張數,3日買賣超佔發行張數,5日買賣超佔發行張數,10日買賣超佔發行張數,1個月買賣超佔發行張數,3個月買賣超佔發行張數,半年買賣超佔發行張數,1年買賣超佔發行張數,3年買賣超佔發行張數,10年買賣超佔發行張數,今年買賣超佔發行張數
1,00947,台新臺灣IC設計,33.16,+0.18,+0.55,05/20,+1.91,+1.91,+1.91,+1.91,+1.91,+1.91,+1.91,+1.91,+1.91,,,+1.91
2,6147,頎邦,215.5,+13,+6.42,05/20,+1.08,+2.1,+2.8,+2.61,+2.29,+4.61,+6.94,+3.09,+0.94,+8.63,+8.48,+5.87
3,2455,全新,400.5,+17.5,+4.57,05/20,+1.01,+1.01,+1.01,+1.01,+1.01,+3.48,+4.04,+5.02,+4.34,-3.97,-3.43,+5.38
4,2316,楠梓電,137.5,-1.5,-1.08,05/20,+0.99,+1.53,+1.53,+1.53,+1.53,+1.53,-0.81,-0.78,+1.53,+1.49,+1.87,-0.79
5,8016,矽創,285.5,+5,+1.78,05/20,+0.77,+1.37,+1.38,+1.15,+1.17,+0.29,-0.29,+0.31,+1.57,+0.06,-0.12,-1.7
6,3675,德微,311.5,+28,+9.88,05/20,+0.61,+0.78,+0.78,+0.78,+0.78,+0.54,+1.28,+1.28,-0.25,-14.4,-1.21,+1.28
7,4958,臻鼎-KY,439,+30.5,+7.47,05/20,+0.6,+0.97,+0.69,+0.45,+0.75,+2.33,+2.57,+0.17,+1.02,+0.31,+3.71,+2.15
8,3624,光頡,90,-1.2,-1.32,05/20,+0.55,+1.66,+2.54,+5.18,+5.67,+5.67,+5.67,+5.67,+5.67,-4.22,+5.65,+5.67
9,5284,jpp-KY,363,-5,-1.36,05/20,+0.47,+0.47,+0.47,+0.47,+0.47,+0.47,+0.47,+0.31,+0.4,-6.22,-0.15,+0.47
10,2327,國巨*,520,+23,+4.63,05/20,+0.44,+0.7,+1.03,+1.31,+2.42,+2.2,+2.38,+4.01,+4.31,+3.94,+4.48,+3.8
11,3533,嘉澤,2360,+35,+1.51,05/20,+0.44,+0.79,+0.93,+0.61,+0.27,+0.18,+3.67,+3.97,+0.31,-7.94,+3.94,+5.21
12,6278,台表科,203,-12.5,-5.8,05/20,+0.33,+0.72,+1.25,+3.29,+4.67,+1.78,-1.74,-5.2,-10,+14.2,+14.4,-4.54
13,2421,建準,143,-2,-1.38,05/20,+0.29,+0.61,+0.61,+0.61,+0.61,+0.6,-0.56,-0.45,-0.47,+0.05,+0.08,-0.6
14,3090,日電貿,178.5,+16,+9.85,05/20,+0.27,+0.88,+1.4,+2.06,+2.05,+1.72,+0.98,+1.42,+3.88,+5.3,+5.24,-0.85
15,3036,文曄,279,+14,+5.28,05/20,+0.26,+0.2,+0.21,+0.29,+1.78,+1.47,+2.19,+3.74,+8.04,+9.13,+10.7,+1.94
16,3706,神達,80.3,-0.4,-0.5,05/20,+0.24,+0.42,+0.42,+0.42,+0.42,+0.44,+0.44,-0.36,+0.1,+0.47,-0.9,+0.3
17,6715,嘉基,481,-3,-0.62,05/20,+0.23,+0.23,+0.23,+0.76,+1.53,+2.86,+6.23,+6.23,+6.23,+5.32,,+6.23
18,3167,大量,780,-4,-0.51,05/20,+0.23,+0.2,+0.08,+0.01,-1.55,-3.22,+1.35,+0.91,+8.67,+8.67,+8.63,-1.09
19,006201,元大富櫃50,44,-0.35,-0.79,05/20,+0.23,+0.23,+0.17,+0.06,+0.51,+0.52,-0.38,-3.08,-7.21,-11.7,-81.8,-2.23
20,5425,台半,86.9,+1.3,+1.52,05/20,+0.22,+0.3,+0.3,+0.3,+0.3,+0.3,-1.7,+0.26,+0.2,-7.73,-4.06,+0.28
21,3004,豐達科,123,-1.5,-1.2,05/20,+0.21,+0.24,+0.24,+0.31,+0.31,+0.31,+0.36,-1.88,+0.94,+0.83,-0.83,+0.45
22,4551,智伸科,148.5,+2.5,+1.71,05/20,+0.2,+0.2,+0.2,+0.2,+0.2,+0.2,+0.44,-0.05,+1.95,-0.45,-0.72,+0.45
23,3105,穩懋,446.5,-10,-2.19,05/20,+0.19,+0.39,+0.17,+0.12,-0.11,-1.49,+4.67,+6.41,+5.75,+5.45,-5.71,+5.97
24,6415,矽力*-KY,507,+25,+5.19,05/20,+0.19,+0.3,+0.42,+0.53,+0.76,+1.77,+1.43,+2.67,+1.4,+0.51,-0.63,+2.65
25,5269,祥碩,1385,+5,+0.36,05/20,+0.17,+0.05,+0.06,+0.07,+0.44,+0.46,+0.16,+0.77,-8.62,-5.29,+0.24,+0.64
26,5347,世界,159,+1.5,+0.95,05/20,+0.17,+0.95,+1.01,+1.23,+1.48,+0.33,-0.95,-5.72,-10.3,+9.53,+10.6,-4.29
27,2351,順德,180,+6.5,+3.75,05/20,+0.17,+0.33,+0.33,+0.33,+0.32,+0.48,+0.32,+0.48,+0.25,-2.72,-0.11,+0.48
28,3577,泓格,134,+7.5,+5.93,05/20,+0.15,+0.3,+0.3,+0.3,+0.3,+0.3,+0.3,+0.3,+0.3,+0.3,+0.3,+0.3
29,4549,桓達,100.5,+3.9,+4.04,05/20,+0.15,+0.29,+0.29,+0.29,+0.29,+0.29,+0.29,+0.05,-0.45,-0.06,+0.12,+0.29
30,2356,英業達,51.4,-0.3,-0.58,05/20,+0.15,+0.28,+0.27,+0.27,+0.26,+0.44,-0.05,-0.5,-4.26,-6.57,-1.13,-0.17
31,2303,聯電,108,-5,-4.42,05/20,+0.15,+0.4,+0.57,+0.92,+1.33,+1.42,+1.81,-0.92,-1.97,+14.5,+17.5,+0.86
32,6442,光聖,1770,+30,+1.72,05/20,+0.14,+0.1,+0.21,-0.37,-2.26,-5.33,-4.24,-3.48,+0.75,+4.97,+4.97,-4.4
33,4933,友輝,72.5,+4.6,+6.77,05/20,+0.14,+0.27,+0.27,+0.27,+0.27,+0.27,+0.27,-0.1,-0.35,+0.27,+0.27,+0.27
34,8926,台汽電,59.9,+2.9,+5.09,05/20,+0.14,+0.14,+0.14,+0.14,+0.14,+0.14,+0.14,+0.14,+0.14,+0.13,+0.14,+0.14
35,1513,中興電,148.5,-1.5,-1,05/20,+0.12,+0.24,+0.23,+0.23,+0.17,+0.33,-0.03,+0.64,+1.31,-7.01,+2.82,-0.85
36,6561,是方,355,+11.5,+3.35,05/20,+0.1,+0.11,+0.11,+0.11,+0.1,-0.15,-0.19,+0.16,+0.2,+0.39,,-0.12
37,1723,中碳,79.7,+1.6,+2.05,05/20,+0.1,+0.13,+0.13,+0.13,+0.13,+0.13,+0.13,+0.11,0,+0.04,-0.44,+0.13
38,3015,全漢,50.7,0,0,05/20,+0.09,+0.2,+0.2,+0.2,+0.13,-0.33,-0.45,-0.37,-0.1,+0.77,+0.77,-0.58
39,2376,技嘉,302,-3,-0.98,05/20,+0.09,+0.12,+0.57,+0.58,+0.61,-0.08,+0.12,+0.25,-2.28,-4.07,-2.12,+0.17
40,3008,大立光,3200,-165,-4.9,05/20,+0.09,+0.28,+0.28,+0.53,+0.63,+0.26,-0.54,+1.63,+1.28,+1.09,+1.16,+0.21
41,8069,元太,230,+8,+3.6,05/20,+0.09,+0.18,+0.16,+0.85,+0.95,+0.95,+1.02,+1.02,+0.79,+1.21,+1.02,+1.35
42,3081,聯亞,2580,+90,+3.61,05/20,+0.09,-0.13,-0.11,+0.13,-0.32,-2.1,+1.57,+5.95,+8.83,+15.8,+12.9,+4.06
43,6739,竹陞科技,1240,+25,+2.06,05/20,+0.09,+0.09,+0.09,-0.28,-1.02,-1.84,-0.29,+0.79,+0.83,,,-0.03
44,6202,盛群,55.6,+3.3,+6.31,05/20,+0.08,+0.17,+0.17,+0.17,+0.18,+0.18,+0.17,+0.21,+0.15,-0.14,+0.02,+0.21
45,3661,世芯-KY,4600,+170,+3.84,05/20,+0.08,+0.08,+0.1,+0.08,+0.46,+1.01,+0.39,-0.29,+0.3,-8.32,+7.35,+1.12
46,3443,創意,4605,+140,+3.14,05/20,+0.08,+0.14,+0.06,-0.62,+0.18,+0.63,+2.03,+3.04,+3.42,-1.37,+8.12,+2.89
47,2323,中環,9.37,-0.08,-0.85,05/20,+0.08,+0.15,+0.15,+0.15,+0.15,+0.15,+0.15,-0.14,-0.19,+0.15,+0.14,+0.15
48,5904,寶雅,557,+4,+0.72,05/20,+0.08,+0.06,+0.06,+0.07,+0.07,-0.03,+0.19,+0.48,-10.2,-0.59,-0.36,+0.44
49,00850,元大臺灣ESG永續,78.75,-0.1,-0.13,05/20,+0.07,+0.14,+0.14,+0.14,+0.14,+0.13,+0.04,-0.09,-0.55,+0.45,,-0.11
50,2495,普安,37.5,+1.75,+4.9,05/20,+0.07,+0.15,+0.15,+0.15,+0.15,-0.05,-0.19,-0.22,-0.3,+0.17,+0.14,+0.15
51,8109,博大,126.5,+11.5,+10,05/20,+0.07,+0.19,+0.19,+0.19,+0.19,+0.19,+0.19,+0.19,+0.19,-0.03,+0.19,+0.19
52,6203,海韻電,69,+0.7,+1.02,05/20,+0.07,+0.13,+0.13,+0.13,+0.13,+0.13,+0.13,+0.09,+0.31,+0.48,+0.56,+0.1
53,3088,艾訊,135,+4,+3.05,05/20,+0.07,+0.14,+0.14,+0.14,+0.14,+0.14,+0.14,-0.08,-0.41,-1.12,-3.52,+0.14
