排名,代號,名稱,成交,漲跌價,漲跌幅,法人買賣日期,當日買賣超佔發行張數,2日買賣超佔發行張數,3日買賣超佔發行張數,5日買賣超佔發行張數,10日買賣超佔發行張數,1個月買賣超佔發行張數,3個月買賣超佔發行張數,半年買賣超佔發行張數,1年買賣超佔發行張數,3年買賣超佔發行張數,10年買賣超佔發行張數,今年買賣超佔發行張數
1,4966,譜瑞-KY,761,+26,+3.54,05/12,+3.11,+4.1,+4.69,+4.89,+4.87,+4.23,+3.86,+7.01,+8.71,+3.17,-1.74,+5.31
2,3036,文曄,275.5,+11,+4.16,05/12,+0.6,+1.06,+1.03,+1,+0.83,-0.06,+1.4,+2.85,+7.73,+8.36,+9.89,+1.16
3,8996,高力,1055,0,0,05/12,+0.56,+0.86,+0.84,-0.04,+0.96,+1.64,+1.1,+2.84,+10.9,+9.51,+9.91,+3.03
4,6669,緯穎,5790,+450,+8.43,05/12,+0.55,+0.77,+1.18,+1.41,+1.81,+3.83,+3.02,+1.76,+1.84,+4.04,,+1.32
5,2492,華新科,188.5,+17,+9.91,05/12,+0.46,+0.46,+0.46,+0.46,+0.42,+0.44,+0.49,+0.16,+0.62,+0.76,-7.71,+0.64
6,006201,元大富櫃50,48.65,+0.94,+1.97,05/12,+0.41,-0.1,+0.06,+0.33,+0.1,+0.48,-0.6,-3.31,-7.18,-11.9,-82,-2.45
7,6510,精測,3860,+70,+1.85,05/12,+0.41,+0.62,+0.49,+0.18,-0.45,+1.01,-2.63,+2.49,+4.6,+14.5,+9.78,+0.82
8,8210,勤誠,1550,-5,-0.32,05/12,+0.3,+0.99,+1.82,+2.92,+3.35,+4.66,-1.9,-2.69,-0.08,+4.73,+3.24,-3.02
9,8299,群聯,2725,+55,+2.06,05/12,+0.29,+0.29,+0.43,+0.94,+1.8,-0.06,-3.65,-9.9,-10.7,+1.29,+1.74,-3.75
10,3653,健策,3920,-95,-2.37,05/12,+0.29,+0.27,-0.93,-1.27,-1.29,-0.54,+0.18,+1.86,-2.63,-11.3,+6.78,-1.03
11,5483,中美晶,155,-8.5,-5.2,05/12,+0.24,+1.18,+1.19,+2.32,+2.8,+1.49,+1.25,+0.88,-1.5,+8.36,+8.72,+1.21
12,2313,華通,260,+18,+7.44,05/12,+0.24,+0.25,+0.33,+0.07,+0.47,-1.81,-0.09,+2.46,+1.54,+1.3,+2.67,+2.06
13,2481,強茂,115.5,+6.5,+5.96,05/12,+0.23,+0.23,+0.18,+0.17,-0.38,-0.26,-3.76,-3.83,+1.96,+2.99,-0.01,-4.66
14,5269,祥碩,1525,+135,+9.71,05/12,+0.21,+0.35,+0.36,+0.38,+0.39,+0.32,+0.09,+0.64,-8.56,-4.49,+0.17,+0.57
15,3443,創意,5570,-160,-2.79,05/12,+0.21,+0.25,+0.52,+1.24,+1.4,+1.78,+2.58,+4.07,+3.94,-0.55,+8.73,+3.5
16,3017,奇鋐,2520,-35,-1.37,05/12,+0.2,+0.36,+0.42,-0.69,-0.88,-0.28,+0.93,-1.67,+1.01,-10.9,+4.25,-1.37
17,8046,南電,900,-8,-0.88,05/12,+0.19,+0.1,+0.03,-0.01,+0.36,+1.46,+5.5,+6.28,+8.63,+3.36,+8.32,+8.48
18,3374,精材,255.5,+6.5,+2.61,05/12,+0.17,+0.17,+0.17,+0.17,+0.22,-0.16,-0.99,+0.65,+0.44,-1.38,-1.17,+0.65
19,2344,華邦電,121.5,+4,+3.4,05/12,+0.17,+0.2,+0.24,+0.6,+0.39,-0.5,+0.97,+1.65,+5.45,+4.59,+5.5,+2.02
20,2049,上銀,367.5,+16.5,+4.7,05/12,+0.16,+0.21,+0.21,+0.02,+0.15,+0.06,-0.18,+0.04,-1.11,-2.21,+0.23,+0.13
21,1809,中釉,40.4,+0.8,+2.02,05/12,+0.16,+0.16,+0.16,+0.16,+0.16,+0.16,+0.16,+0.16,+0.16,+0.16,+0.16,+0.16
22,5274,信驊,18005,+180,+1.01,05/12,+0.15,+0.18,+0.18,+0.29,+0.71,+0.84,+2,+5.77,+5.58,+1.93,-1.4,+3.13
23,2368,金像電,1390,-10,-0.71,05/12,+0.14,+0.13,+0.06,-0.03,-0.02,+0.62,+3.07,+1.86,+3.29,+5.64,+14.1,-0.08
24,7769,鴻勁,6870,+490,+7.68,05/12,+0.14,+0.18,+0.17,+0.32,+0.42,+0.03,+0.81,,,,,+1.42
25,3491,昇達科,1765,-55,-3.02,05/12,+0.13,+0.54,+0.54,+0.3,+0.55,+0.47,+0.45,+0.71,-2.78,+5.53,+2.54,+0.02
26,3711,日月光投控,555,+18,+3.35,05/12,+0.12,+0.13,+0.14,+0.26,+0.39,+0.45,+0.61,-1.36,-3.57,+1.13,,+0.61
27,3583,辛耘,952,+86,+9.93,05/12,+0.12,+0.2,+0.36,+1.12,+2.28,+2.34,+3.66,+3.36,+3.59,+4.07,-1.82,+3.66
