排名,代號,名稱,成交,漲跌價,漲跌幅,法人買賣日期,當日買賣超佔發行張數,2日買賣超佔發行張數,3日買賣超佔發行張數,5日買賣超佔發行張數,10日買賣超佔發行張數,1個月買賣超佔發行張數,3個月買賣超佔發行張數,半年買賣超佔發行張數,1年買賣超佔發行張數,3年買賣超佔發行張數,10年買賣超佔發行張數,今年買賣超佔發行張數
1,3163,波若威,1145,+100,+9.57,05/22,+0.53,+0.79,+0.75,+0.2,+0.07,-0.57,+5.7,+12.1,+8.36,+12.4,+11.5,+9.09
2,6139,亞翔,769,-15,-1.91,05/22,+0.44,+0.52,+0.59,+0.71,+0.5,+0.4,-0.61,-1.43,+0.28,+3.1,+3.22,+0.24
3,00988A,主動統一全球創新,20.36,+1.18,+6.15,05/22,+0.38,+0.38,+0.38,+0.38,+0.33,+0.36,+0.5,+0.61,,,,+0.61
4,3081,聯亞,2710,+155,+6.07,05/22,+0.37,+0.18,+0.27,+0.07,+0.37,-1.46,+1.75,+6.1,+9.12,+15.8,+13,+4.24
5,4958,臻鼎-KY,516,+46.5,+9.9,05/22,+0.37,+0.73,+1.33,+1.42,+1.41,+2.71,+3.3,-0.77,+1.8,+1.03,+4.43,+2.87
6,009803,玉山市值動能50,20.48,+0.44,+2.2,05/22,+0.34,+0.34,+0.34,+0.34,+0.52,+0.86,+1.05,+1.05,+1.05,,,+1.05
7,2421,建準,158.5,+6.5,+4.28,05/22,+0.33,+0.66,+0.94,+1.26,+1.26,+1.26,+0.09,-0.18,+0.03,+0.7,+0.74,+0.06
8,2382,廣達,316,+8,+2.6,05/22,+0.32,+0.56,+0.51,+0.48,+0.46,+0.35,+0.36,+0.31,-0.7,-1.81,+1.86,+0.24
9,2377,微星,124,+11,+9.73,05/22,+0.31,+0.04,+0.04,-0.26,-1.06,-1.13,-0.65,-1.29,-10.1,-8.65,-6.76,-0.51
10,5243,乙盛-KY,123,+11,+9.82,05/22,+0.27,+0.27,+0.27,+0.27,+0.27,+0.27,0,-0.18,+0.3,-1.28,+0.61,+0.14
