排名,代號,名稱,成交,漲跌價,漲跌幅,法人買賣日期,當日買賣超佔發行張數,2日買賣超佔發行張數,3日買賣超佔發行張數,5日買賣超佔發行張數,10日買賣超佔發行張數,1個月買賣超佔發行張數,3個月買賣超佔發行張數,半年買賣超佔發行張數,1年買賣超佔發行張數,3年買賣超佔發行張數,10年買賣超佔發行張數,今年買賣超佔發行張數
1,3450,聯鈞,365,+33,+9.94,05/05,+2.05,+2.52,+2.52,+1.84,+0.26,+2.04,+2.87,-1.87,-4.56,+3.24,+2.54,+2.32
2,3026,禾伸堂,248.5,+22.5,+9.96,05/05,+0.97,+1.18,+1.27,+1.27,+1.41,+1.42,+1.45,+1.25,+1.59,+1.8,+0.97,+1.2
3,8155,博智,456.5,+41.5,+10,05/05,+0.61,+0.69,+0.97,+1.61,+2.21,+2.17,+1.06,+1.27,+2.24,-11.1,+2.67,+1.01
4,3526,凡甲,353,-10,-2.75,05/05,+0.47,+0.72,+1.11,+1.39,+1.4,+1.38,+0.75,+1.16,-0.38,+3.33,+3.02,+0.96
5,3264,欣銓,235.5,+21,+9.79,05/05,+0.43,+0.33,+0.16,+0.08,+0.33,+0.69,+1.3,+8.92,+0.23,+19.1,+18.3,+7.32
6,3081,聯亞,2815,+70,+2.55,05/05,+0.34,+0.47,+0.55,-0.31,-1.56,-2.7,+2.09,+6.41,+9.86,+16.3,+12.6,+4.6
7,9938,百和,45.35,+0.45,+1,05/05,+0.31,+0.61,+0.83,+0.98,+1.06,+0.88,-0.42,-1.32,-1.29,+1.36,-4.58,-1.35
8,2408,南亞科,256.5,+19.5,+8.23,05/05,+0.29,+0.3,+0.26,+0.43,+0.37,+0.05,-1.86,+0.06,+1.76,-2.01,+1.9,-1.46
9,3592,瑞鼎,241,+2,+0.84,05/05,+0.28,+0.67,+0.82,+0.92,+0.96,+0.92,+0.95,-12.2,-9.78,-1.15,,+0.08
10,8210,勤誠,1265,+115,+10,05/05,+0.26,+0.3,+0.3,+0.44,+0.98,+0.48,-5.15,-4.98,-2.57,+1.93,+0.63,-5.94
11,2455,全新,386.5,+31.5,+8.87,05/05,+0.26,+1.67,+1.68,+1.99,+2.46,+3.34,+3.54,+3.59,+3.42,-5.36,-6.11,+4.36
12,3443,創意,4835,+150,+3.2,05/05,+0.25,+0.25,+0.25,+0.16,0,+0.54,+1.35,+3.52,+2.71,-1.29,+7.34,+2.26
13,2731,雄獅,160,-1.5,-0.93,05/05,+0.22,+0.51,+0.59,+0.75,+0.82,+0.82,+1.68,+1.72,-1.41,-13.5,+0.31,+1.68
14,6147,頎邦,177.5,-1.5,-0.84,05/05,+0.2,+0.22,+1.25,+1.58,+2,+3.9,+4.32,-0.16,-0.67,+5.98,+5.94,+3.26
15,6274,台燿,1220,+110,+9.91,05/05,+0.19,+0.19,+0.04,-0.04,+0.04,+0.95,-7.83,-2.2,+5.46,+9.05,+3.86,-9.55
16,6715,嘉基,444,+18,+4.23,05/05,+0.18,+0.18,+0.85,+0.85,+1.17,+4.33,+4.53,+4.53,+4.53,+3.6,,+4.53
17,4746,台耀,56.1,+1.3,+2.37,05/05,+0.17,+0.38,+0.51,+0.77,+0.9,+0.9,+0.9,+0.9,+0.9,+0.39,-4.41,+0.9
18,9802,鈺齊-KY,80.9,+0.6,+0.75,05/05,+0.16,+0.33,+0.4,+0.53,+0.6,+0.6,-0.95,-1.03,-4.25,-2.78,+0.03,-1.79
19,6525,捷敏-KY,102.5,+6.6,+6.88,05/05,+0.15,+0.28,+0.39,+0.39,+0.39,+0.39,+0.39,+0.39,+0.37,+0.06,-0.22,+0.39
20,8936,國統,52.1,-0.2,-0.38,05/05,+0.15,+0.3,+0.45,+0.45,+0.45,+0.45,+0.45,+0.42,-0.08,+0.45,-0.29,+0.45
21,5289,宜鼎,1420,+125,+9.65,05/05,+0.13,+0.12,+0.26,+1.14,+1.64,+2.73,+0.85,+2.33,-2.72,+0.15,+1.63,+3.3
22,6768,志強-KY,79.7,-0.1,-0.13,05/05,+0.13,+0.28,+0.39,+0.52,+0.57,+0.52,+0.18,-1.66,-1.07,+0.92,,-0.84
23,5483,中美晶,144.5,+8,+5.86,05/05,+0.13,+0.51,+0.48,+0.48,-0.6,-0.85,-0.86,-1.83,-3.76,+6.02,+6.4,-1.11
24,2753,八方雲集,179.5,+1,+0.56,05/05,+0.13,+0.25,+0.35,+0.46,+0.46,+0.49,+0.49,+0.29,-0.37,-1.21,,+0.29
