排名,代號,名稱,成交,漲跌價,漲跌幅,法人買賣日期,當日買賣超佔發行張數,2日買賣超佔發行張數,3日買賣超佔發行張數,5日買賣超佔發行張數,10日買賣超佔發行張數,1個月買賣超佔發行張數,3個月買賣超佔發行張數,半年買賣超佔發行張數,1年買賣超佔發行張數,3年買賣超佔發行張數,10年買賣超佔發行張數,今年買賣超佔發行張數
1,6706,惠特,197,+17.5,+9.75,05/26,+2.14,+2.14,+2.14,+2.17,+2.39,+4.39,+4.39,+4.39,+3.94,+4.34,,+4.39
2,3042,晶技,203,+9.5,+4.91,05/26,+2.1,+2.1,+2.12,+2.15,+2.16,+1.68,+0.54,-1.97,-8.6,+1.35,+0.98,-0.9
3,00997A,主動群益美國增長,13.03,-0.05,-0.38,05/26,+1.02,+1.04,+1.04,+2.09,+2.09,+2.31,,,,,,
4,3131,弘塑,3115,+195,+6.68,05/26,+0.85,+0.99,+0.96,+0.98,+0.48,-2.76,+0.64,-2.09,-0.24,-4.41,-5.17,-3.07
5,6531,愛普*,1080,+25,+2.37,05/26,+0.57,+0.58,+0.74,+1.12,+4.4,+4.46,+5.28,+4.07,+5.35,+2.58,,+3.86
6,6442,光聖,2265,+205,+9.95,05/26,+0.54,+1,+1.12,+1.43,+0.19,-2.56,-3.02,-3.49,+2.04,+6.26,+6.26,-3.11
7,6274,台燿,1580,-20,-1.25,05/26,+0.49,+0.5,+0.5,+0.5,+0.15,+1.27,-6.04,-4.25,+7.29,+10.5,+5.04,-8.22
8,6139,亞翔,826,+19,+2.35,05/26,+0.46,+0.73,+1.17,+1.32,+1.52,+1.34,+0.13,-0.8,+0.92,+3.82,+3.95,+0.97
9,3189,景碩,696,+27,+4.04,05/26,+0.44,+0.66,+0.77,+1.13,+1.13,+0.06,-0.32,+3.55,+5.04,+1.62,+4.39,+5.14
10,3026,禾伸堂,570,+47,+8.99,05/26,+0.36,+0.57,+0.6,+0.97,+0.96,+7.06,+7.1,+7.01,+7.38,+7.59,+6.75,+6.98
11,2603,長榮,211.5,-2.5,-1.17,05/26,+0.35,+0.53,+0.76,+0.69,+0.46,+0.1,+0.25,-0.2,-4.85,+9.67,+13,-1.25
12,6138,茂達,369.5,+19.5,+5.57,05/26,+0.33,+0.41,+0.51,+0.51,+0.38,+0.45,-0.15,-0.19,-1.47,-8.73,+1.07,+0.06
13,2382,廣達,316.5,0,0,05/26,+0.33,+0.59,+0.91,+1.1,+1.04,+1.01,+0.96,+0.94,-0.1,-1.15,+2.45,+0.83
14,6196,帆宣,506,+20,+4.12,05/26,+0.32,+0.32,+0.5,+0.66,+0.73,+0.93,+0.69,-2.99,-5.19,+1.07,+1.03,+0.81
15,2421,建準,165,+2.5,+1.54,05/26,+0.31,+0.65,+0.98,+1.59,+1.91,+1.91,+0.73,+0.46,+0.68,-0.2,+1.39,+0.71
16,4764,雙鍵,338,-14,-3.98,05/26,+0.3,+0.3,+0.3,+0.3,+0.3,+0.3,+0.17,+0.3,+0.3,+0.3,,+0.3
17,5536,聖暉*,1035,+86,+9.06,05/26,+0.3,+0.3,+0.27,+0.35,+0.82,+0.28,+0.13,+0.41,+5.54,+8.27,+8.22,-2.18
18,8996,高力,1245,+110,+9.69,05/26,+0.29,+0.3,+0.34,+0.62,+1.08,+2.02,+2.76,+2.89,+2.87,+2.7,+2.86,+3.23
19,2618,長榮航,35.2,-0.25,-0.71,05/26,+0.27,+0.44,+0.64,+0.88,+0.78,+0.81,+0.77,-1.57,-10.9,+13.9,+14.5,-1.13
20,8210,勤誠,1440,+5,+0.35,05/26,+0.27,+0.43,+0.45,+0.54,+1.58,+5.2,+3.81,+4.13,+4,+4.87,+4.21,+3.5
21,3163,波若威,1220,+10,+0.83,05/26,+0.26,+0.55,+1.08,+1.3,+0.7,-1.17,+6.17,+11.5,+8.91,+13,+11.9,+9.64
22,009803,玉山市值動能50,21.36,+0.03,+0.14,05/26,+0.26,+0.26,+0.6,+0.6,+0.77,+0.92,+1.29,+1.29,+1.29,,,+1.29
23,6278,台表科,246.5,+8.5,+3.57,05/26,+0.26,+0.26,+0.25,+0.28,+3.32,+2.65,-1.43,-5.56,-11,+14.1,+14.3,-4.6
24,2356,英業達,62.6,-2.8,-4.28,05/26,+0.25,+0.24,+0.28,+0.6,+0.71,+0.62,+0.41,+0.22,-3.36,-5.53,-0.68,+0.28
25,2912,統一超,209.5,-3,-1.41,05/26,+0.23,+0.38,+0.55,+0.66,+0.69,+0.56,-1.09,-1.98,-0.96,+2.43,+2.32,-1.91
26,3081,聯亞,3160,+235,+8.03,05/26,+0.2,+0.59,+0.96,+0.85,+0.74,-1.16,+2.3,+6.5,+9.71,+16.4,+13.7,+4.83
27,7750,新代,2630,+95,+3.75,05/26,+0.18,+0.23,+0.24,+0.24,+0.11,+0.26,+0.38,+0.33,,,,+0.35
28,3037,欣興,1085,+95,+9.6,05/26,+0.18,+0.15,+0.2,+0.26,+0.47,+0.53,+2.77,+6.74,+8.21,+4.29,+9.91,+6.3
29,3017,奇鋐,2725,+150,+5.83,05/26,+0.15,+0.14,+0.18,+0.29,+0.85,+0.05,+1.94,-0.09,+1.38,-10.3,+4.28,-0.5
30,2337,旺宏,160.5,+8,+5.25,05/26,+0.15,+0.12,+0.12,-0.4,-0.18,+0.18,-2.74,+0.11,+2.08,-2.34,+5.8,-0.32
31,00981A,主動統一台股增長,31.49,-0.12,-0.38,05/26,+0.14,+0.14,+0.14,+0.13,+0.13,+0.13,+0.15,+0.18,+0.18,,,+0.13
