排名,代號,名稱,成交,漲跌價,漲跌幅,法人買賣日期,當日買賣超佔發行張數,2日買賣超佔發行張數,3日買賣超佔發行張數,5日買賣超佔發行張數,10日買賣超佔發行張數,1個月買賣超佔發行張數,3個月買賣超佔發行張數,半年買賣超佔發行張數,1年買賣超佔發行張數,3年買賣超佔發行張數,10年買賣超佔發行張數,今年買賣超佔發行張數
1,00947,台新臺灣IC設計,34.95,+1.79,+5.4,05/21,+3.82,+5.73,+5.73,+5.73,+5.73,+5.73,+5.73,+5.73,+5.73,,,+5.73
2,00997A,主動群益美國增長,12.31,+0.5,+4.23,05/21,+1.06,+1.06,+1.06,+1.06,+1.07,+1.38,,,,,,
3,4919,新唐,181.5,+16.5,+10,05/21,+0.73,+0.77,+1.06,+1.07,+1.07,+1.08,+1.11,+1.11,+1.02,-3.56,-1.18,+1.11
4,6147,頎邦,222.5,+7,+3.25,05/21,+0.55,+1.64,+2.65,+3.19,+2.84,+4.99,+7.49,+3.94,+0.96,+9.16,+9.04,+6.42
5,8016,矽創,297.5,+12,+4.2,05/21,+0.55,+1.32,+1.92,+1.84,+1.73,+1.36,+0.26,+0.77,+1.67,+0.61,+0.43,-1.15
6,6271,同欣電,206,+18.5,+9.87,05/21,+0.52,+0.52,+0.52,+0.52,+0.52,-1.33,+0.16,+0.91,+1.15,-3.07,-3.97,+0.99
7,2351,順德,192,+12,+6.67,05/21,+0.44,+0.61,+0.76,+0.76,+0.76,+0.84,+0.76,+0.91,+0.69,-2.18,+0.32,+0.91
8,2316,楠梓電,151,+13.5,+9.82,05/21,+0.38,+1.37,+1.91,+1.91,+1.91,+1.91,-0.43,-0.45,+1.91,+1.86,+2.25,-0.41
9,4958,臻鼎-KY,469.5,+30.5,+6.95,05/21,+0.36,+0.96,+1.33,+0.72,+1.06,+2.45,+2.93,-0.3,+1.39,+0.66,+4.06,+2.5
10,2455,全新,386.5,-14,-3.5,05/21,+0.34,+1.53,+1.53,+1.53,+1.53,+3.99,+4.56,+5.53,+4.86,-3.2,-2.91,+5.9
11,3189,景碩,554,+50,+9.92,05/21,+0.34,+0.36,+0.44,+0.65,-1.28,-0.14,-0.89,+2.89,+4.24,+0.85,+4.17,+4.37
12,2421,建準,152,+9,+6.29,05/21,+0.33,+0.61,+0.93,+0.93,+0.93,+0.93,-0.24,-0.49,-0.28,+0.38,+0.41,-0.27
13,6531,愛普*,876,-97,-9.97,05/21,+0.32,+0.38,+0.6,+2.16,+3.65,+3.84,+4.56,+3.5,+4.62,+1.93,,+3.12
14,8996,高力,1065,+71,+7.14,05/21,+0.3,+0.28,+0.27,+0.57,+1.58,+1.59,+2.15,+2.3,+2.55,+2.56,+2.89,+2.89
15,2481,強茂,132.5,-0.5,-0.38,05/21,+0.29,-0.23,+1.17,+1.4,+2.28,+1.71,-1.65,-3.15,+3.66,+5.1,+2.13,-2.56
16,3090,日電貿,196,+17.5,+9.8,05/21,+0.27,+0.88,+1.49,+2.35,+2.66,+2.37,+1.59,+2.02,+4.49,+5.91,+5.85,-0.25
17,6291,沛亨,492,+29,+6.26,05/21,+0.26,+0.28,+0.3,+0.3,+1.04,+3.58,+4.98,+4.82,+5.44,+5.44,+5.44,+5.04
18,6584,南俊國際,680,+52,+8.28,05/21,+0.26,+0.08,+0.08,+0.11,-0.61,-0.52,+2.15,-0.26,+3.37,+3.37,,+0.44
19,3163,波若威,1045,+93,+9.77,05/21,+0.26,+0.22,+0.16,-0.35,-0.58,-1.26,+5.17,+11.6,+7.78,+11.9,+11,+8.56
20,2382,廣達,308,+18,+6.21,05/21,+0.24,+0.19,+0.16,+0.14,+0.15,+0.01,+0.04,-0.03,-1,-2.19,+1.55,-0.08
21,2618,長榮航,35.3,+1,+2.92,05/21,+0.22,+0.23,+0.24,+0.2,+0.09,+0.38,+0.01,-2.18,-11.5,+13.7,+13.9,-1.78
22,3702,大聯大,123.5,+4.5,+3.78,05/21,+0.22,+0.21,+0.1,+0.03,-0.11,-1.7,-2.47,-4.43,-13.4,-7.22,-1.41,-3.62
23,3706,神達,83.5,+3.2,+3.99,05/21,+0.22,+0.45,+0.63,+0.63,+0.64,+0.66,+0.66,0,+0.3,+0.69,-0.68,+0.51
24,5269,祥碩,1410,+25,+1.81,05/21,+0.21,+0.39,+0.26,+0.28,+0.65,+0.67,+0.37,+0.98,-8.41,-5.18,+0.45,+0.85
25,4551,智伸科,158.5,+10,+6.73,05/21,+0.2,+0.4,+0.4,+0.4,+0.4,+0.4,+0.64,+0.15,+2.15,-0.09,-0.52,+0.65
26,3533,嘉澤,2525,+165,+6.99,05/21,+0.19,+0.63,+0.98,+1.12,+0.26,+0.35,+3.86,+4.34,+0.45,-7.69,+4.13,+5.4
27,6706,惠特,168.5,+8,+4.98,05/21,+0.19,+0.19,+0.19,+0.41,+0.41,+2.41,+2.41,+2.41,+1.96,+2.36,,+2.41
28,3105,穩懋,483,+36.5,+8.17,05/21,+0.18,+0.52,+0.72,+0.53,+0.35,-1.48,+5,+6.79,+6.09,+5.79,-5.37,+6.3
29,8210,勤誠,1335,+50,+3.89,05/21,+0.17,+0.09,+0.05,+0.35,+2.95,+5.03,+0.9,+3.24,+3.94,+4.72,+3.84,+3.05
30,2356,英業達,54.1,+2.7,+5.25,05/21,+0.17,+0.32,+0.46,+0.44,+0.43,+0.57,+0.12,-0.26,-4.1,-6.26,-0.96,0
31,6442,光聖,1785,+15,+0.85,05/21,+0.17,+0.31,+0.26,-0.25,-2.23,-5.36,-4.08,-3.69,+0.92,+5.14,+5.14,-4.23
32,3529,力旺,3555,+170,+5.02,05/21,+0.17,+0.23,-0.06,-0.06,-0.07,-0.8,+1.23,+1.11,+0.02,-1.46,+6.27,+2.1
33,3045,台灣大,113.5,-1.5,-1.3,05/21,+0.17,+0.23,+0.28,+0.27,+0.23,+0.12,-0.12,+3.53,-0.91,+7.39,+9.91,-0.48
34,8046,南電,872,+43,+5.19,05/21,+0.16,+0.17,+0.19,-0.1,-0.33,+0.78,+3.12,+1.28,+2.04,+2.08,+2.05,+4.93
35,6239,力成,257.5,+23,+9.81,05/21,+0.16,0,-0.15,-0.14,-0.49,-1.44,-4.07,-8.97,-10.6,+8.61,+12.8,-2.83
36,3563,牧德,933,+84,+9.89,05/21,+0.16,+0.13,+0.44,+0.76,+0.46,-0.21,+0.48,+3.7,+2.9,+4.06,+4.04,+1.48
37,6831,邁科,781,+61,+8.47,05/21,+0.15,+0.24,+0.39,+0.46,+1.22,+1,+0.94,,,,,+0.25
38,3577,泓格,132.5,-1.5,-1.12,05/21,+0.15,+0.3,+0.45,+0.45,+0.45,+0.45,+0.45,+0.45,+0.45,+0.45,+0.45,+0.45
39,4549,桓達,102,+1.5,+1.49,05/21,+0.15,+0.29,+0.44,+0.44,+0.44,+0.44,+0.44,+0.19,-0.3,+0.08,+0.26,+0.44
40,6805,富世達,1810,+90,+5.23,05/21,+0.14,+0.19,+0.34,+0.25,-2.56,-6.99,-7.02,-6.94,-1.94,,,-11
41,8109,博大,127.5,+1,+0.79,05/21,+0.14,+0.21,+0.33,+0.33,+0.33,+0.33,+0.33,+0.33,+0.33,+0.11,+0.33,+0.33
42,3293,鈊象,740,+12,+1.65,05/21,+0.14,+0.2,+0.27,+0.27,+0.31,+0.1,-0.45,+1.41,+2.23,+1.88,-1.98,-1.03
43,4933,友輝,73.5,+1,+1.38,05/21,+0.14,+0.27,+0.41,+0.41,+0.41,+0.41,+0.41,+0.04,-0.17,+0.41,+0.41,+0.41
44,6515,穎崴,9510,+430,+4.74,05/21,+0.14,+0.05,+0.16,+0.55,+0.62,+0.28,+1.17,+5.3,+12.2,+4.34,,+3.45
45,2887,台新新光金,23.85,-0.05,-0.21,05/21,+0.12,+0.11,+0.01,-0.06,-1.25,-2.49,-0.99,+3.36,+6.79,+8.61,+8.75,-0.92
46,3036,文曄,291.5,+12.5,+4.48,05/21,+0.11,+0.37,+0.31,+0.43,+1.92,+1.59,+2.3,+3.91,+8.08,+9.24,+10.8,+2.05
47,5871,中租-KY,112,+1,+0.9,05/21,+0.11,+0.18,+0.18,+0.15,+0.06,-0.48,-1.15,-7.59,-2.68,+1.57,+2.14,-2.81
48,6278,台表科,223,+20,+9.85,05/21,+0.11,+0.24,+0.63,+1.94,+4.68,+1.84,-1.83,-5.39,-10.4,+14.1,+14.3,-4.63
49,6196,帆宣,429.5,+25.5,+6.31,05/21,+0.1,+0.16,+0.23,+0.23,+0.42,+0.35,+0.19,-4.26,-4.57,+0.57,+0.53,+0.31
50,006201,元大富櫃50,45.82,+1.82,+4.14,05/21,+0.1,+0.33,+0.33,+0.27,+0.38,+0.62,-0.28,-2.98,-7.11,-11.6,-81.7,-2.13
51,3443,創意,5065,+460,+9.99,05/21,+0.1,+0.18,+0.24,-0.24,+0.01,+0.69,+2.13,+3.03,+3.54,-1.28,+8.22,+2.99
52,1773,勝一,177,+13.5,+8.26,05/21,+0.09,+0.09,+0.09,+0.09,+0.09,+0.09,-0.44,-0.83,-1.22,+0.02,-0.05,-0.59
53,2912,統一超,221,-1,-0.45,05/21,+0.09,+0.11,+0.14,+0.14,+0.12,-0.04,-1.8,-2.24,-1.47,+1.88,+1.78,-2.46
54,00850,元大臺灣ESG永續,82.1,+3.35,+4.25,05/21,+0.09,+0.16,+0.23,+0.23,+0.22,+0.21,+0.13,-0.01,-0.46,+0.54,,-0.02
55,6202,盛群,58.9,+3.3,+5.94,05/21,+0.09,+0.17,+0.25,+0.25,+0.26,+0.27,+0.25,+0.29,+0.25,-0.05,+0.1,+0.29
56,00908,富邦入息REITs+,14.38,+0.2,+1.41,05/21,+0.08,+0.08,+0.08,+0.08,+0.08,+0.08,+0.08,+0.08,+0.08,+0.08,,+0.08
57,6139,亞翔,784,+64,+8.89,05/21,+0.08,+0.15,+0.23,+0.32,+0.08,-0.18,-1.06,-1.84,-0.18,+2.66,+2.78,-0.2
58,6526,達發,704,+47,+7.15,05/21,+0.08,+0.01,-0.26,-0.26,-0.06,+0.27,+0.5,+0.51,-0.1,,,+0.48
59,2323,中環,9.86,+0.49,+5.23,05/21,+0.08,+0.15,+0.23,+0.23,+0.23,+0.23,+0.23,-0.06,-0.13,+0.22,+0.21,+0.23
60,3583,辛耘,861,+35,+4.24,05/21,+0.07,+0.04,+0.02,+0.47,+1.32,+2.73,+4.61,+4.61,+4.61,+4.71,-0.98,+4.61
61,2495,普安,40.65,+3.15,+8.4,05/21,+0.07,+0.14,+0.22,+0.22,+0.22,+0.08,-0.12,-0.15,-0.24,+0.25,+0.22,+0.22
62,3017,奇鋐,2495,+155,+6.62,05/21,+0.07,+0.11,+0.16,+0.26,+1.1,+0.19,+1.67,-0.6,+1.28,-10.2,+4.63,-0.69
63,3088,艾訊,137.5,+2.5,+1.85,05/21,+0.07,+0.14,+0.21,+0.21,+0.21,+0.21,+0.21,-0.01,-0.32,-1.18,-3.45,+0.21
64,2458,義隆,158.5,+5.5,+3.59,05/21,+0.07,+0.12,+0.14,+0.09,-0.48,-1.76,-1.72,-2.46,+4.81,+12.7,+9.46,-5
65,6203,海韻電,70.7,+1.7,+2.46,05/21,+0.07,+0.14,+0.2,+0.2,+0.2,+0.2,+0.2,+0.16,+0.26,+0.55,+0.63,+0.17
66,1216,統一,73.1,-0.3,-0.41,05/21,+0.07,+0.09,+0.1,+0.08,+0.07,-0.32,-1.02,+1.31,+1.87,+8.54,+8.82,-1.64
67,8069,元太,230.5,+0.5,+0.22,05/21,+0.06,+0.15,+0.25,+0.21,+1.02,+1,+1.08,+1.08,+0.87,+1.22,+1.08,+1.42
68,5876,上海商銀,40.15,+0.05,+0.12,05/21,+0.06,+0.06,+0.06,+0.05,+0.02,+0.15,+0.02,-2.48,-5.9,+4.1,,-0.43
69,5536,聖暉*,929,+13,+1.42,05/21,+0.06,+0.07,+0.09,+0.17,+0.43,-0.27,-0.11,+0.35,+5.3,+8,+7.94,-2.46
70,1717,長興,79.7,+7,+9.63,05/21,+0.06,-0.01,-0.04,-0.05,-0.09,-0.42,-0.56,+0.2,+0.12,+0.2,+0.33,-0.02
71,6913,鴻呈,137,+7.5,+5.79,05/21,+0.06,+0.06,+0.08,+0.08,+0.08,+0.08,+0.08,+0.08,+0.08,,,+0.03
72,3558,神準,120,+2.5,+2.13,05/21,+0.06,+0.11,+0.16,+0.16,+0.16,+0.16,+0.15,+0.54,-5.1,-1.52,-3.79,+0.13
73,4755,三福化,140.5,+5.5,+4.07,05/21,+0.06,+0.11,+0.17,+0.17,+0.17,+0.17,+0.17,-0.07,-0.4,+0.15,+0.12,+0.17
74,2886,兆豐金,40.2,-0.1,-0.25,05/21,+0.05,+0.05,+0.06,+0.05,+0.05,-0.13,-0.25,-0.51,-1.88,+1.74,+2.24,-0.38
75,3015,全漢,51,+0.3,+0.59,05/21,+0.05,+0.15,+0.25,+0.25,+0.18,-0.26,-0.4,-0.31,-0.05,+0.82,+0.82,-0.53
76,2615,萬海,81.2,+0.1,+0.12,05/21,+0.05,+0.11,+0.19,+0.19,+0.18,+0.11,-1.25,-3.61,-1.29,-0.7,-0.18,-1.51
77,3661,世芯-KY,4905,+305,+6.63,05/21,+0.05,+0.13,+0.13,+0.05,+0.2,+0.31,+0.44,-0.1,+0.17,-8.24,+7.35,+1.16
78,2603,長榮,212,-0.5,-0.24,05/21,+0.05,-0.07,-0.26,-0.28,-0.45,-0.56,-0.87,-1,-5.51,+8.9,+12.3,-2.01
79,1723,中碳,81.4,+1.7,+2.13,05/21,+0.04,+0.14,+0.17,+0.17,+0.17,+0.17,+0.17,+0.17,+0.02,+0.08,-0.39,+0.17
80,2880,華南金,32.05,0,0,05/21,+0.04,+0.04,-0.05,-0.12,-0.14,-0.45,-0.46,+0.89,+0.14,+4.35,+4.66,-0.42
81,6669,緯穎,5345,+435,+8.86,05/21,+0.04,-0.03,-0.1,-0.09,+1.36,+3.24,+3.19,+1.77,+1.73,+4.13,,+1.5
82,7828,創新服務,1060,-5,-0.47,05/21,+0.04,+0.04,+0.04,+0.04,+0.04,+0.04,,,,,,
83,4915,致伸,71.6,0,0,05/21,+0.03,-0.13,-0.11,-0.13,-0.18,-0.28,-1.93,-1.18,-8.11,+13,+13.8,-1.25
84,3167,大量,756,-24,-3.08,05/21,+0.03,+0.15,+0.13,-0.06,-1.11,-3.05,+1.28,+0.83,+8.59,+8.59,+8.56,-1.17
85,4938,和碩,79.1,+1.9,+2.46,05/21,+0.03,+0.06,+0.1,+0.15,+0.1,+0.11,-0.15,-3.96,-6.59,+0.36,-0.08,-1.98
86,2352,佳世達,27.2,+1.15,+4.41,05/21,+0.03,+0.09,+0.14,+0.14,+0.14,+0.13,+0.03,-0.1,-0.22,-0.32,-1.12,+0.03
87,6414,樺漢,347.5,+16,+4.83,05/21,+0.03,+0.06,+0.09,+0.07,-0.13,-0.73,-1.52,+0.87,-2.65,+4.3,+0.01,-2.5
88,2328,廣宇,52.1,+1.6,+3.17,05/21,+0.03,+0.06,+0.1,+0.1,+0.1,+0.1,+0.08,-0.08,-0.67,+0.06,+0.09,+0.05
89,4979,華星光,593,+31,+5.52,05/21,+0.03,-0.08,-0.08,-0.26,-0.67,-1.37,-1.63,+6.99,+4.35,+11.6,+11.9,+4.73
90,4904,遠傳,95.7,-1.4,-1.44,05/21,+0.03,+0.03,+0.03,+0.02,+0.05,-0.2,-0.47,-1.21,-5.48,+4.05,+7.12,-0.77
91,2451,創見,313.5,+4,+1.29,05/21,+0.03,+0.06,+0.1,+0.08,-0.15,-0.38,+0.47,-4.92,-6.17,+5.01,+2.19,-1.9
92,2467,志聖,585,+31,+5.6,05/21,+0.03,-0.32,-0.33,-0.27,-0.26,-0.98,+0.77,+1.44,+1.49,+1.75,+1.75,+1.09
93,6412,群電,97.1,+2.6,+2.75,05/21,+0.03,+0.06,+0.08,+0.08,+0.06,-0.48,-0.47,-3.96,+3.42,+3.68,+4.94,-2.73
94,6679,鈺太,335,+21,+6.69,05/21,+0.03,+0.03,+0.05,+0.06,+0.12,+0.16,+0.63,+0.57,+1,-11.9,,+0.65
95,2388,威盛,86,+4.3,+5.26,05/21,+0.03,+0.06,+0.09,+0.09,+0.09,+0.22,+0.25,+0.26,+0.03,+0.06,+0.05,+0.26
96,3078,僑威,55.2,+3,+5.75,05/21,+0.03,+0.06,+0.08,+0.08,+0.07,+0.04,-0.05,-3.51,-6.33,+0.67,+0.2,-1.17
97,2883,凱基金,21.4,-0.2,-0.93,05/21,+0.03,+0.06,-0.01,-0.09,-0.16,-0.47,-0.27,-0.17,+3.34,+1.06,+4.43,-0.38
98,3483,力致,92,+5.4,+6.24,05/21,+0.03,+0.05,+0.07,+0.07,+0.07,+0.07,+0.06,+0.27,+0.07,-0.03,+0.07,+0.02
99,3037,欣興,905,+82,+9.96,05/21,+0.03,+0.06,+0.02,-0.03,+0.35,+0.3,+2.99,+6.57,+8.05,+4.24,+9.71,+6.1
100,6187,萬潤,1090,+5,+0.46,05/21,+0.03,-0.04,+0.11,-0.32,-0.95,-2.3,+7.18,+6.66,+5.95,+7.98,+3.5,+7.27
