排名,代號,名稱,成交,漲跌價,漲跌幅,法人買賣日期,當日買賣超佔發行張數,2日買賣超佔發行張數,3日買賣超佔發行張數,5日買賣超佔發行張數,10日買賣超佔發行張數,1個月買賣超佔發行張數,3個月買賣超佔發行張數,半年買賣超佔發行張數,1年買賣超佔發行張數,3年買賣超佔發行張數,10年買賣超佔發行張數,今年買賣超佔發行張數
1,6278,台表科,215.5,+14.5,+7.21,05/11,+1.41,+1.42,+1.33,+1.17,-0.64,-4.57,-5.12,-8.41,-12.9,+10.9,+11,-7.89
2,2472,立隆電,225,+3.5,+1.58,05/11,+1.09,+1.09,+1.1,+1.15,+1.16,+1.6,+1.12,+1.54,+0.95,+2.07,+2.64,-0.29
3,4966,譜瑞-KY,735,+66,+9.87,05/11,+1,+1.58,+1.69,+1.78,+1.85,+1.12,+0.75,+3.9,+5.6,+0.07,-4.77,+2.21
4,3026,禾伸堂,329.5,-0.5,-0.15,05/11,+0.98,+2.27,+2.68,+5.81,+6.11,+6.26,+6.29,+6.08,+6.43,+6.64,+5.8,+6.04
5,5483,中美晶,163.5,+14.5,+9.73,05/11,+0.94,+0.95,+1.21,+2.21,+2.48,+1.25,+1.14,+0.33,-1.75,+8.11,+8.48,+0.97
6,8210,勤誠,1555,+140,+9.89,05/11,+0.68,+1.51,+2.1,+2.87,+3.32,+4.36,-2.19,-2.59,-0.38,+4.42,+2.98,-3.32
7,3036,文曄,264.5,+24,+9.98,05/11,+0.46,+0.43,+0.4,+0.37,+0.21,-0.66,+0.8,+2.27,+7.07,+7.76,+9.34,+0.56
8,3491,昇達科,1820,+165,+9.97,05/11,+0.41,+0.4,+0.17,+0.21,+0.42,+0.34,+0.29,+0.57,-2.88,+5.4,+2.41,-0.11
9,2327,國巨*,391.5,+2.5,+0.64,05/11,+0.33,+0.62,+0.73,+0.79,+0.86,+0.92,+0.6,+2.47,+2.6,+2.23,+2.79,+2.11
10,8996,高力,1055,+40,+3.94,05/11,+0.31,+0.28,-0.08,-0.58,+0.38,+1.08,+0.84,+2.14,+10.4,+8.96,+9.5,+2.47
11,1582,信錦,89.5,+1.7,+1.94,05/11,+0.28,+0.28,+0.28,+0.27,+0.15,-0.38,+0.43,+0.02,-1.52,+0.56,+0.54,+0.41
12,3702,大聯大,114,+0.5,+0.44,05/11,+0.27,+0.34,+0.32,+0.29,-0.26,-3.21,-2.01,-5.96,-13.2,-6.75,-0.96,-3.17
13,2337,旺宏,159.5,+6.5,+4.25,05/11,+0.27,+0.19,-0.24,+0.12,+0.66,-1.54,-1.99,+1.2,+2.64,-1.86,+6.28,+0.16
14,6147,頎邦,196.5,-1.5,-0.76,05/11,+0.21,-0.43,-0.43,+0.09,+1.46,+1.69,+4.22,-0.28,-0.69,+5.97,+5.8,+3.15
15,6669,緯穎,5340,+140,+2.69,05/11,+0.21,+0.63,+0.73,+0.91,+1.85,+3.28,+2.47,+1.32,+1.48,+3.49,,+0.77
16,6510,精測,3790,+210,+5.87,05/11,+0.21,+0.09,-0.12,-0.16,-0.97,+0.6,-3.48,+1.86,+4.22,+14,+9.4,+0.41
17,6196,帆宣,425,+15,+3.66,05/11,+0.2,+0.2,+0.2,+0.2,+0.2,+0.04,-0.05,-6.27,-3.36,+0.35,+0.3,+0.08
18,5347,世界,174.5,+7,+4.18,05/11,+0.16,+0.16,+0.24,+0.33,-0.16,-1.5,-2.16,-7.28,-12.4,+8.26,+9.34,-5.53
19,3017,奇鋐,2555,+110,+4.5,05/11,+0.16,+0.22,-0.14,-1.15,-1.01,-0.48,+0.69,-1.89,+0.83,-11.1,+4.07,-1.57
20,5269,祥碩,1390,-20,-1.42,05/11,+0.14,+0.15,+0.15,+0.16,+0.18,+0.11,-0.12,+0.43,-8.74,-4.7,+0.03,+0.35
21,5439,高技,391,+3,+0.77,05/11,+0.14,+0.14,+0.33,+1.06,+3.4,+6.13,+2.42,+8.97,+11,+7.83,+11,+4.33
22,3081,聯亞,2780,+160,+6.11,05/11,+0.13,-0.06,-0.38,-0.25,-1.99,-3.11,+1.58,+5.89,+8.93,+15.7,+12.6,+4
23,2408,南亞科,301,+27,+9.85,05/11,+0.13,+0.18,+0.52,+1.01,+1.15,+0.81,-1.22,+0.65,+2.47,-1.29,+2.61,-0.75
24,2345,智邦,2590,+215,+9.05,05/11,+0.12,+0.06,+0.06,+0.09,+0.27,+0.53,+1.39,+1.25,-0.02,+2.89,-1.98,+0.7
25,6257,矽格,212.5,+1.5,+0.71,05/11,+0.11,+0.09,+0.33,+0.42,-0.02,-2.09,-2.62,-5.87,-1.13,+6.89,+6.88,-1.99
26,3211,順達,403,+21.5,+5.64,05/11,+0.11,+0.26,+0.33,+0.08,-3.16,-8.62,-4.85,-5.17,-6.51,+14,+14.1,-8.68
27,6415,矽力*-KY,468,+42.5,+9.99,05/11,+0.1,+0.11,+0.11,+0.09,+0.12,+0.95,+0.76,+2.01,+0.61,-0.2,-1.43,+2.01
28,4749,新應材,1175,+90,+8.29,05/11,+0.09,+0.07,0,-1.01,-0.89,-1.42,-2.44,-1.37,+1.28,,,-1.54
29,4746,台耀,55.5,+1.2,+2.21,05/11,+0.09,+0.22,+0.41,+0.75,+1.48,+1.48,+1.48,+1.48,+1.48,+0.76,-4.14,+1.48
30,6488,環球晶,835,+33,+4.11,05/11,+0.09,+0.09,+0.15,+0.5,+0.6,+1.85,+1.66,+5.31,+3.13,+5.66,+5.78,+4.98
