排名,代號,名稱,成交,漲跌價,漲跌幅,法人買賣日期,當日買賣超佔發行張數,2日買賣超佔發行張數,3日買賣超佔發行張數,5日買賣超佔發行張數,10日買賣超佔發行張數,1個月買賣超佔發行張數,3個月買賣超佔發行張數,半年買賣超佔發行張數,1年買賣超佔發行張數,3年買賣超佔發行張數,10年買賣超佔發行張數,今年買賣超佔發行張數
1,6706,惠特,151.5,+4.5,+3.06,04/30,+2.01,+2.01,+2.01,+2.01,+2.01,+2.01,+2.01,+2.01,+1.55,+1.95,,+2.01
2,6147,頎邦,163,+5,+3.16,04/30,+1.03,+1.37,+1.36,+1.43,+1.33,+4.07,+4.1,-0.43,-0.9,+5.76,+5.67,+3.04
3,6187,萬潤,1210,+110,+10,04/30,+0.81,+0.54,-0.56,-0.84,+0.58,+1.68,+8.15,+7.35,+6.94,+8.97,+4.84,+8.26
4,3583,辛耘,792,+20,+2.59,04/30,+0.8,+0.91,+0.68,+0.64,+0.27,+1.76,+2.03,+0.33,+1.95,+2.44,-3.92,+2.03
5,6715,嘉基,400.5,+29.5,+7.95,04/30,+0.67,+0.67,+0.67,+0.68,+1.08,+3.93,+3.93,+3.93,+3.93,+2.99,,+3.93
6,8996,高力,1250,+110,+9.65,04/30,+0.58,+0.95,+0.94,+0.64,+1.1,+1.48,+2.6,+3.77,+10.7,+9.74,+10.5,+2.83
7,3526,凡甲,330,+2,+0.61,04/30,+0.38,+0.52,+0.67,+0.73,+0.63,+0.66,+0.03,+0.5,-1.22,+2.47,+2.3,+0.23
8,8155,博智,416,-0.5,-0.12,04/30,+0.28,+0.35,+0.91,+1.51,+1.51,+1.48,+0.43,+0.58,+1.55,-11.6,+1.97,+0.32
9,2313,華通,244.5,+14.5,+6.3,04/30,+0.25,+0.14,+0.2,-0.43,-0.73,-1.24,-0.27,+2.2,+1.75,+1.47,+2.5,+2.19
10,3029,零壹,102,+6.7,+7.03,04/30,+0.25,+0.25,+0.24,+0.24,+0.24,+0.23,+0.16,+0.17,-0.37,-0.05,+0.31,+0.09
11,9938,百和,44.15,+0.15,+0.34,04/30,+0.22,+0.29,+0.37,+0.45,+0.43,+0.25,-1.25,-1.97,-1.92,+0.73,-5.21,-1.98
12,8028,昇陽半導體,245,-1,-0.41,04/30,+0.2,+0.49,+0.54,+0.5,+0.47,+0.44,-2.27,-1.73,-2.93,-1.31,,-1.82
13,5274,信驊,16475,-80,-0.48,04/30,+0.18,+0.31,+0.33,+0.2,+0.25,+0.73,+1.77,+5.6,+5.99,+1.76,-1.84,+2.75
14,6488,環球晶,580,+44,+8.21,04/30,+0.17,-0.03,-0.09,+0.07,+0.47,+1.33,+1.03,+4.15,+2.41,+4.92,+4.93,+4.29
15,4105,東洋,74.2,+0.3,+0.41,04/30,+0.17,+0.22,+0.27,+0.32,+0.32,+0.32,+0.31,+0.22,+0.17,+0.05,-7.39,+0.3
16,8299,群聯,1900,-170,-8.21,04/30,+0.16,+0.52,+0.8,+0.76,-0.14,-1.35,-5.45,-9.68,-12.2,+0.8,+0.75,-4.65
17,3592,瑞鼎,235,-1,-0.42,04/30,+0.15,+0.2,+0.25,+0.3,+0.28,+0.33,+0.29,-12.9,-10.4,-2.31,,-0.58
18,4966,譜瑞-KY,575,+7,+1.23,04/30,+0.15,+0.14,-0.03,+0.33,-0.64,-0.68,-1.13,+1.88,+3.75,-1.62,-7.13,+0.41
19,8936,國統,50.1,-0.6,-1.18,04/30,+0.15,+0.15,+0.15,+0.15,+0.15,+0.15,+0.15,+0.12,-0.38,+0.15,-0.59,+0.15
20,3227,原相,207.5,+1,+0.48,04/30,+0.14,+0.14,+0.14,-0.22,-1.13,-1.08,-1.66,-3.14,-2.53,+7.68,+7.7,-2.1
21,6206,飛捷,108,+2,+1.89,04/30,+0.14,+0.14,+0.14,+0.13,+0.09,-0.08,+0.02,-3.42,-0.11,+0.42,-0.42,-0.97
22,5289,宜鼎,1245,-70,-5.32,04/30,+0.13,+0.47,+1.02,+1.02,+0.39,+2.58,+0.98,+1.78,-3.45,-0.07,+1.46,+3.18
23,4746,台耀,54.1,-0.9,-1.64,04/30,+0.13,+0.26,+0.39,+0.52,+0.52,+0.52,+0.52,+0.52,+0.52,+0.36,-4.71,+0.52
24,8114,振樺電,184,0,0,04/30,+0.13,+0.13,+0.13,+0.13,+0.13,-0.08,-0.46,+0.76,+0.61,-0.86,-0.17,+0.72
25,3005,神基,97.6,-0.6,-0.61,04/30,+0.12,+0.08,+0.05,-0.15,-0.68,-0.98,-1.99,-3.9,-2.19,+6.16,+2.08,-3.35
26,6788,華景電,442,+3.5,+0.8,04/30,+0.12,+0.04,+0.06,+0.3,+0.47,+0.47,-0.21,+0.6,+0.6,-0.29,,+0.01
27,6525,捷敏-KY,92.4,+1.2,+1.32,04/30,+0.12,+0.12,+0.12,+0.12,+0.13,+0.13,+0.12,+0.12,+0.11,-0.25,-0.48,+0.12
28,6279,胡連,107.5,+1.5,+1.42,04/30,+0.11,+0.11,+0.11,+0.11,+0.02,-0.26,-0.32,-0.8,-5.64,-0.87,-4.48,-0.75
29,3033,威健,35.75,-0.1,-0.28,04/30,+0.11,+0.11,+0.11,+0.1,+0.09,+0.08,+0.05,-0.78,-1.9,+0.33,+0.39,-0.08
30,2031,新光鋼,40.65,-0.2,-0.49,04/30,+0.11,+0.2,+0.2,+0.2,+0.2,+0.2,+0.19,+0.24,-0.13,-5.41,+0.28,+0.24
