排名,代號,名稱,成交,漲跌價,漲跌幅,法人買賣日期,當日買賣超佔發行張數,2日買賣超佔發行張數,3日買賣超佔發行張數,5日買賣超佔發行張數,10日買賣超佔發行張數,1個月買賣超佔發行張數,3個月買賣超佔發行張數,半年買賣超佔發行張數,1年買賣超佔發行張數,3年買賣超佔發行張數,10年買賣超佔發行張數,今年買賣超佔發行張數
1,4966,譜瑞-KY,809,+48,+6.31,05/13,+1.38,+4.49,+5.48,+6.18,+6.42,+5.62,+5.24,+8.38,+10.1,+4.55,+0.21,+6.69
2,6531,愛普*,1040,-15,-1.42,05/13,+0.62,+0.66,+0.67,+0.67,+0.73,+1.39,+1.57,+1.08,+1.69,-0.8,,+0.14
3,2481,強茂,121,+5.5,+4.76,05/13,+0.62,+0.62,+0.62,+0.55,+0.14,+0.58,-3.36,-3.83,+2.35,+3.38,+0.38,-4.28
4,8210,勤誠,1520,-30,-1.94,05/13,+0.61,+0.61,+1.29,+2.71,+3.61,+5,-1.97,-2.5,+0.34,+5.03,+3.46,-2.71
5,7734,印能科技,4375,+395,+9.92,05/13,+0.59,+0.59,+0.59,+0.57,+0.55,+3.41,+5.57,+6.84,+6.85,,,+6.85
6,3036,文曄,284,+8.5,+3.09,05/13,+0.49,+0.53,+0.99,+0.93,+0.75,-0.06,+1.34,+2.81,+7.6,+8.29,+9.82,+1.09
7,3624,光頡,66.6,+0.3,+0.45,05/13,+0.49,+0.49,+0.49,+0.49,+0.49,+0.49,+0.49,+0.49,+0.49,-9.61,+0.46,+0.49
8,2337,旺宏,168,+15,+9.8,05/13,+0.47,+0.47,+0.74,+0.23,+0.67,-1.02,-1.57,+1.67,+3.16,-1.39,+6.75,+0.63
9,1582,信錦,92,+2.2,+2.45,05/13,+0.46,+0.46,+0.73,+0.73,+0.72,-0.11,+0.88,+0.47,-1.06,+1.01,+1,+0.87
10,6187,萬潤,1225,+5,+0.41,05/13,+0.44,+0.44,+0.14,-0.7,+0.33,+1.46,+7.92,+7.42,+6.82,+8.72,+4.25,+8.01
11,2492,華新科,200,+11.5,+6.1,05/13,+0.39,+0.84,+0.84,+0.84,+0.8,+0.8,+0.87,+0.54,+0.99,+1.14,-7.4,+1.02
12,3017,奇鋐,2585,+65,+2.58,05/13,+0.35,+0.35,+0.51,+0.21,-0.71,-0.13,+1.13,-1.53,+1.13,-10.7,+4.37,-1.22
13,7769,鴻勁,7440,+570,+8.3,05/13,+0.33,+0.33,+0.38,+0.43,+0.58,+0.27,+0.9,,,,,+1.62
14,6223,旺矽,5720,+240,+4.38,05/13,+0.32,+0.32,+0.03,+0.43,+0.58,+0.39,+1.27,+0.24,+8.99,+16.6,+13.3,-0.28
15,2327,國巨*,420,+0.5,+0.12,05/13,+0.29,+0.36,+0.69,+1.09,+1.03,+1.18,+1.05,+2.88,+2.97,+2.59,+3.15,+2.47
16,4749,新應材,1130,-45,-3.83,05/13,+0.26,+0.23,+0.32,+0.23,-0.73,-1.14,-2.08,-1.04,+1.49,,,-1.31
17,6669,緯穎,5580,-210,-3.63,05/13,+0.24,+0.24,+0.46,+0.97,+1.36,+3.53,+2.7,+1.43,+1.53,+3.73,,+1.01
18,5475,德宏,311,-9,-2.81,05/13,+0.21,+0.21,+0.21,+0.21,+0.21,+0.23,+3.41,+3.41,+3.41,+3.41,+3.41,+3.41
19,2344,華邦電,122,+0.5,+0.41,05/13,+0.19,+0.19,+0.22,+0.56,+0.43,-0.33,+1,+1.74,+5.47,+4.61,+5.52,+2.03
20,1477,聚陽,229,+0.5,+0.22,05/13,+0.19,+0.24,+0.28,+0.71,+0.95,-0.27,+0.32,-5.3,-0.84,+6.06,+6.9,-0.72
21,3583,辛耘,966,+14,+1.47,05/13,+0.17,+0.18,+0.27,+0.94,+2.58,+2.36,+3.73,+3.66,+3.66,+4.14,-1.74,+3.73
22,006201,元大富櫃50,47.92,-0.73,-1.5,05/13,+0.17,+0.58,+0.07,+0.45,+0.34,+0.64,-0.44,-3.14,-7.17,-11.7,-81.8,-2.29
23,2303,聯電,98.4,-6.1,-5.84,05/13,+0.15,+0.15,+0.16,+0.34,+0.3,+0.66,+0.82,-2.05,-2.92,+13.4,+16.5,-0.13
24,4958,臻鼎-KY,442.5,+35.5,+8.72,05/13,+0.12,+0.12,+0.14,+0.21,+0.73,+1.71,+2.03,+1.68,+0.43,-0.23,+3.13,+1.61
25,5536,聖暉*,950,+65,+7.34,05/13,+0.11,+0.07,+0.02,-0.03,-0.38,-1.53,-0.54,+0.55,+4.52,+7.63,+7.51,-2.89
26,8016,矽創,268,-6,-2.19,05/13,+0.1,+0.1,+0.04,+0.03,-0.1,-1.11,-1.61,-4.49,-2.04,+2.35,-8.43,-3.5
27,4977,眾達-KY,243.5,-27,-9.98,05/13,+0.1,+0.1,+0.1,+0.1,+0.09,+0.51,+0.61,+0.61,+0.56,-2.24,-0.83,+0.61
28,1809,中釉,39,-1.4,-3.47,05/13,+0.1,+0.1,+0.1,+0.1,+0.1,+0.1,+0.1,+0.1,+0.1,+0.11,+0.11,+0.1
29,8021,尖點,446,-25.5,-5.41,05/13,+0.1,+0.1,+0.1,+0.05,-0.64,-1.93,-0.35,-2.78,+4.32,+4.32,+3.61,+0.67
30,2408,南亞科,321,0,0,05/13,+0.1,+0.09,+0.22,+0.62,+1.13,+0.9,-1.08,+0.71,+2.53,-1.19,+2.71,-0.65
31,5009,榮剛,37.85,-0.2,-0.53,05/13,+0.09,+0.14,+0.18,+0.29,+0.23,+0.21,+0.17,+0.63,-5.19,-7.26,+0.85,+0.27
32,8358,金居,456,-21,-4.4,05/13,+0.08,+0.12,+0.07,-1.1,-1.56,-2.16,-9.01,-4.38,+10.6,+9.57,+7.59,-9.4
33,8155,博智,424,+4,+0.95,05/13,+0.08,+0.16,+0.24,+0.71,+2.73,+3.88,+2.75,+2.9,+3.83,-9.18,+4.33,+2.7
34,3037,欣興,892,+17,+1.94,05/13,+0.08,+0.08,+0.14,+0.04,+0.08,-0.43,+2.66,+6.43,+7.71,+4.11,+9.44,+5.8
35,6278,台表科,205.5,-9,-4.2,05/13,+0.08,+0.12,+1.53,+1.45,+0.08,-4.45,-4.96,-8.25,-12.8,+11,+11.1,-7.77
36,2383,台光電,4930,+30,+0.61,05/13,+0.08,+0.09,+0.13,+0.14,+0.28,+0.44,+1.49,+2.01,-3.49,+0.4,+4.2,+0.86
37,3711,日月光投控,548,-7,-1.26,05/13,+0.06,+0.06,+0.08,+0.17,+0.3,+0.4,+0.55,-1.42,-3.62,+1.07,,+0.55
38,6640,均華,1425,-50,-3.39,05/13,+0.05,+0.11,+0.13,+0.14,+0.18,+1.96,+2.22,+2.83,+2.95,+2.95,,+2.37
39,2441,超豐,97.3,+0.8,+0.83,05/13,+0.04,+0.07,+0.07,+0.05,-0.15,-0.32,-2.44,+0.66,+0.56,+3.99,-1.7,-2.43
40,3665,貿聯-KY,2500,-275,-9.91,05/13,+0.04,+0.07,+0.25,+0.13,-0.34,+0.23,+1.46,-2.59,-3.66,+11.2,+11.9,-4.52
41,2049,上銀,364.5,-3,-0.82,05/13,+0.04,+0.04,+0.09,-0.11,-0.03,-0.07,-0.31,-0.05,-1.23,-2.33,+0.11,+0.01
42,00935,野村臺灣新科技50,54.3,-1.3,-2.34,05/13,+0.03,+0.03,+0.07,+0.11,+0.21,-0.01,-3.8,+2.98,+2.98,,,+2.98
43,4938,和碩,81.8,+0.7,+0.86,05/13,+0.03,+0.04,-0.01,-0.03,-0.17,+0.02,-0.27,-4.17,-6.58,+0.29,-0.21,-2.11
44,2882,國泰金,77.3,+0.9,+1.18,05/13,+0.03,+0.03,0,-0.04,-0.31,-0.49,+0.01,-1.87,+8.06,+9.03,+10.2,-0.4
45,2345,智邦,2435,-90,-3.56,05/13,+0.03,+0.05,+0.17,+0.11,+0.14,+0.57,+1.23,+1.4,-0.01,+2.94,-2.07,+0.75
46,6415,矽力*-KY,467.5,-9,-1.89,05/13,+0.03,+0.02,+0.12,+0.14,+0.05,+1,+0.81,+2.02,+0.73,-0.18,-1.4,+2.03
47,1605,華新,35.2,+0.7,+2.03,05/13,+0.03,+0.03,+0.03,+0.03,+0.01,-0.04,-0.42,-0.74,-0.22,-3.61,-4.23,-0.84
48,1101B,台泥乙特,45.35,0,0,05/13,+0.02,+0.02,+0.02,+0.02,+0.02,+0.02,+0.02,+0.02,+0.02,+0.02,,+0.02
49,2412,中華電,137.5,+2,+1.48,05/13,+0.02,+0.02,+0.02,+0.03,+0.02,-0.06,-0.11,-0.1,-0.59,+0.45,+1.13,-0.02
50,2330,台積電,2220,-35,-1.55,05/13,+0.02,+0.02,+0.02,+0.03,+0.05,+0.08,+0.14,+0.26,+0.25,+0.47,+0.8,+0.2
