排名,代號,名稱,成交,漲跌價,漲跌幅,法人買賣日期,當日買賣超佔發行張數,2日買賣超佔發行張數,3日買賣超佔發行張數,5日買賣超佔發行張數,10日買賣超佔發行張數,1個月買賣超佔發行張數,3個月買賣超佔發行張數,半年買賣超佔發行張數,1年買賣超佔發行張數,3年買賣超佔發行張數,10年買賣超佔發行張數,今年買賣超佔發行張數
1,3026,禾伸堂,273,+24.5,+9.86,05/06,+2.15,+3.12,+3.33,+3.42,+3.52,+3.57,+3.61,+3.4,+3.75,+3.95,+3.12,+3.35
2,8155,博智,444,-12.5,-2.74,05/06,+1,+1.6,+1.68,+2.02,+3.17,+3.14,+2.04,+2.25,+3.21,-9.92,+3.63,+1.99
3,5483,中美晶,145.5,+1,+0.69,05/06,+0.88,+1.01,+1.38,+1.36,+0.4,+0.03,-0.1,-0.95,-2.89,+6.9,+7.27,-0.24
4,3450,聯鈞,343.5,-21.5,-5.89,05/06,+0.85,+2.9,+3.37,+3.34,+1.11,+2.89,+3.61,-0.35,-3.81,+4.09,+3.42,+3.17
5,5439,高技,406,+3,+0.74,05/06,+0.79,+0.73,+0.82,+0.82,+0.46,+5.48,+2.47,+8.83,+10.8,+10.9,+10.7,+4
6,4979,華星光,703,-15,-2.09,05/06,+0.7,+0.68,+0.68,+0.54,-0.85,-0.58,+0.57,+8.07,+3.75,+9.99,+11.9,+5.25
7,6274,台燿,1315,+95,+7.79,05/06,+0.64,+0.96,+0.96,+0.73,+0.72,+1.72,-7.14,-1.7,+6.11,+9.82,+4.63,-8.78
8,6291,沛亨,438.5,-11,-2.45,05/06,+0.6,+0.6,+0.6,+0.78,+2.15,+3.02,+3.62,+3.38,+4.01,+4.01,+4.01,+3.6
9,8210,勤誠,1325,+60,+4.74,05/06,+0.51,+0.77,+0.81,+0.9,+1.5,+0.99,-4.44,-4.52,-2.07,+2.44,+1.14,-5.42
10,3443,創意,4955,+120,+2.48,05/06,+0.45,+0.7,+0.7,+0.61,+0.42,+0.99,+1.84,+3.96,+3.16,-0.84,+7.92,+2.71
11,8299,群聯,2325,+210,+9.93,05/06,+0.39,+0.42,+0.45,+0.97,+1,-0.97,-4.75,-9.6,-11.4,+1.15,+1.12,-4.3
12,2337,旺宏,172,+11.5,+7.17,05/06,+0.38,+0.36,+0.32,+0.43,-0.49,-1.23,-1.6,+2.34,+2.85,-1.64,+6.51,+0.4
13,3264,欣銓,226,-9.5,-4.03,05/06,+0.34,+0.77,+0.67,+0.44,+0.66,+1.03,+1.83,+9.63,+0.72,+19.5,+18.7,+7.66
14,6147,頎邦,175,-2.5,-1.41,05/06,+0.33,+0.53,+0.55,+1.92,+2.15,+4.23,+4.65,+0.16,-0.29,+6.31,+6.27,+3.58
15,5289,宜鼎,1475,+55,+3.87,05/06,+0.33,+0.46,+0.45,+0.91,+1.95,+3.05,+1.2,+2.3,-1.82,+0.48,+1.96,+3.63
16,4908,前鼎,246.5,-3.5,-1.4,05/06,+0.32,+0.32,+0.32,+0.32,+0.32,+0.32,+0.32,+0.32,+0.32,+0.32,+0.32,+0.32
17,8028,昇陽半導體,236.5,-4.5,-1.87,05/06,+0.29,+0.29,+0.29,+0.78,+0.68,+0.67,-1.31,-1.5,-2.96,-1.08,,-1.59
18,3583,辛耘,803,+9,+1.13,05/06,+0.25,+0.3,+0.74,+1.65,+0.91,+2.3,+2.79,+1.43,+2.72,+3.21,-2.86,+2.79
19,3526,凡甲,343.5,-9.5,-2.69,05/06,+0.24,+0.71,+0.96,+1.48,+1.69,+1.62,+0.99,+1.4,-0.13,+3.57,+3.26,+1.2
20,3592,瑞鼎,235.5,-5.5,-2.28,05/06,+0.24,+0.52,+0.91,+1.11,+1.2,+1.16,+1.19,-11.8,-9.51,-0.91,,+0.32
21,3532,台勝科,250.5,+22.5,+9.87,05/06,+0.2,+0.2,+0.2,+0.2,+0.09,+0.8,+0.59,+1.31,+1.67,+0.06,-1.52,+1.36
22,2408,南亞科,282,+25.5,+9.94,05/06,+0.19,+0.48,+0.49,+0.51,+0.54,+0.24,-1.7,+0.2,+1.94,-1.82,+2.09,-1.27
23,2059,川湖,4400,+260,+6.28,05/06,+0.18,+0.28,+0.29,+0.49,+0.98,+1.27,+1.93,-3.15,-2.13,+4.03,+5.61,-1.28
24,4746,台耀,55.4,-0.7,-1.25,05/06,+0.17,+0.34,+0.55,+0.81,+1.07,+1.07,+1.07,+1.07,+1.07,+0.55,-4.32,+1.07
25,6715,嘉基,435,-9,-2.03,05/06,+0.17,+0.35,+0.34,+1.01,+1.06,+4.49,+4.7,+4.7,+4.7,+3.76,,+4.7
26,2731,雄獅,160.5,+0.5,+0.31,05/06,+0.15,+0.37,+0.66,+0.82,+0.98,+0.97,+1.83,+1.87,-1.82,-13.4,+0.46,+1.83
27,3661,世芯-KY,4565,+415,+10,05/06,+0.15,-0.48,-0.32,-0.58,-0.2,+1.06,+0.23,+0.06,+0.58,-8.13,+6.89,+0.66
28,2393,億光,73.1,+0.8,+1.11,05/06,+0.13,+0.21,+0.32,+0.31,+0.21,+0.07,-1.07,-13.7,-17.8,+5.28,+5.01,-1.43
29,5371,中光電,73.2,-1.1,-1.48,05/06,+0.13,+0.2,+0.2,+0.2,+0.2,+0.37,+0.57,+1.77,+2.69,+2.28,+3.11,+1.54
30,6669,緯穎,4970,+215,+4.52,05/06,+0.13,+0.18,+0.26,+0.39,+1.78,+2.54,+1.71,+0.74,+0.86,+2.84,,+0.04
31,6488,環球晶,721,+55,+8.26,05/06,+0.13,+0.25,+0.44,+0.41,+0.31,+2.11,+1.64,+4.77,+2.86,+5.4,+5.53,+4.73
32,6525,捷敏-KY,103,+0.5,+0.49,05/06,+0.12,+0.27,+0.4,+0.51,+0.51,+0.51,+0.51,+0.51,+0.49,+0.18,-0.12,+0.51
33,5347,世界,169,+15,+9.74,05/06,+0.12,+0.09,+0.12,-0.01,-1.19,-1.72,-2.45,-7.47,-12.7,+8.03,+9.09,-5.77
34,9938,百和,45.6,+0.25,+0.55,05/06,+0.12,+0.43,+0.73,+1.02,+1.17,+1,-0.3,-1.21,-1.18,+1.48,-4.47,-1.23
35,2548,華固,125,+4,+3.31,05/06,+0.11,+0.19,+0.33,+0.38,+0.42,+0.44,+0.73,+0.86,-0.97,-0.17,-0.57,+0.73
36,2357,華碩,629,+39,+6.61,05/06,+0.11,+0.05,+0.03,-0.01,0,+0.02,+0.73,+4.48,+4.76,+9.04,+13.5,-0.4
37,9802,鈺齊-KY,79.9,-1,-1.24,05/06,+0.11,+0.27,+0.44,+0.57,+0.71,+0.71,-0.68,-0.92,-3.66,-2.67,+0.13,-1.68
38,2383,台光電,4950,+220,+4.65,05/06,+0.11,+0.13,+0.17,+0.16,+0.44,+0.39,+2.01,+2.04,-2.98,+0.38,+5.64,+0.77
39,6279,胡連,116,+7,+6.42,05/06,+0.1,+0.23,+0.34,+0.45,+0.41,+0.09,+0.03,-0.13,-5.3,-0.41,-3.72,-0.41
40,3533,嘉澤,2735,+245,+9.84,05/06,+0.1,+0.04,-0.2,-0.09,-0.11,+0.33,+3.89,+2.79,-1.12,-8.28,+3.54,+4.94
41,7769,鴻勁,5705,+105,+1.88,05/06,+0.09,+0.09,+0.11,+0.15,+0.28,-0.12,+0.61,,,,,+1.19
42,4966,譜瑞-KY,574,+12,+2.14,05/06,+0.09,+0.09,+0.1,+0.24,+0.71,-0.62,-0.94,+2.22,+3.91,-1.62,-6.31,+0.52
43,5009,榮剛,35.1,+0.3,+0.86,05/06,+0.08,+0.08,+0.08,-0.06,-0.06,-0.09,-0.12,+0.15,-5.25,-7.73,+0.31,-0.02
44,6768,志強-KY,79.7,0,0,05/06,+0.08,+0.21,+0.36,+0.53,+0.65,+0.6,+0.26,-1.59,-0.92,+0.99,,-0.76
45,2727,王品,232,+4,+1.75,05/06,+0.07,+0.13,+0.24,+0.34,+0.42,+0.29,+0.49,+0.23,-2.02,-3.31,+0.51,+0.44
46,4105,東洋,73.5,-0.7,-0.94,05/06,+0.07,+0.15,+0.27,+0.49,+0.59,+0.58,+0.58,+0.49,+0.44,+0.33,-7.38,+0.56
47,5274,信驊,18700,+910,+5.12,05/06,+0.07,+0.13,+0.15,+0.47,+0.27,+0.67,+1.72,+5.66,+5.56,+1.6,-1.67,+2.91
48,00997A,主動群益美國增長,12.21,+0.45,+3.83,05/06,+0.06,+0.06,+0.06,+0.15,+0.31,,,,,,,
49,1612,宏泰,36.75,+0.15,+0.41,05/06,+0.06,+0.16,+0.24,+0.38,+0.44,+0.44,+0.44,+0.44,+0.44,+0.46,+0.43,+0.44
50,1307,三芳,31.25,-0.1,-0.32,05/06,+0.06,+0.15,+0.24,+0.39,+0.39,+0.36,+0.36,+0.15,+0.19,+0.55,+0.45,+0.32
51,5534,長虹,77.7,+0.1,+0.13,05/06,+0.06,+0.13,+0.24,+0.32,+0.4,+0.4,+0.38,+0.38,-0.5,+0.37,-0.54,+0.38
52,2344,華邦電,108.5,+9.7,+9.82,05/06,+0.06,+0.11,+0.11,-0.13,+0.27,-1.17,+0.39,+1.02,+4.91,+3.98,+4.96,+1.48
53,6121,新普,363,+0.5,+0.14,05/06,+0.05,+0.09,+0.13,+0.15,0,-0.33,-1.2,-5.34,-7.13,+12.4,+13.4,-4.24
54,2327,國巨*,338,-10.5,-3.01,05/06,+0.05,+0.06,+0.06,-0.06,-0.1,+0.16,-0.43,+1.74,+1.87,+1.49,+2.07,+1.38
55,9910,豐泰,68.8,-0.5,-0.72,05/06,+0.05,+0.09,+0.12,+0.14,+0.38,+0.54,+0.55,+0.7,+0.67,+0.01,+0.41,+0.44
56,1319,東陽,75.4,-1,-1.31,05/06,+0.05,+0.08,+0.15,+0.08,+0.05,-0.76,-1.67,-1.44,-6.75,+6.94,+3.43,-1.79
57,006201,元大富櫃50,45.98,+0.74,+1.64,05/06,+0.05,+0.05,+0.05,-0.11,+0.01,+0.1,-0.68,-3.49,-7.47,-12.2,-82.3,-2.73
58,5443,均豪,129,-6,-4.44,05/06,+0.05,+0.05,+0.05,+0.05,+0.15,+0.32,+0.47,+0.47,+0.47,+0.47,+0.47,+0.47
59,2204,中華,54,+0.3,+0.56,05/06,+0.04,+0.09,+0.16,+0.23,+0.28,+0.23,+0.16,-0.24,-1.24,-4.54,+1.23,-0.17
60,6670,復盛應用,257.5,+0.5,+0.19,05/06,+0.04,+0.11,+0.2,+0.22,-0.06,-0.58,-0.34,-4.46,+0.36,+7.13,,-0.69
61,1477,聚陽,212.5,+1.5,+0.71,05/06,+0.04,+0.12,+0.23,+0.24,-0.42,-0.95,-0.43,-6.17,-1.74,+5.27,+5.96,-1.43
62,3044,健鼎,488,+3.5,+0.72,05/06,+0.04,+0.07,+0.11,+0.06,-0.09,-0.47,-1.33,-6.57,-9.39,+1.28,+2.98,-2.58
63,9941,裕融,75.8,+0.1,+0.13,05/06,+0.04,+0.14,+0.26,+0.34,+0.36,+0.31,-2.41,-2.95,-5.05,-1.5,-1.78,-3.04
64,6257,矽格,203.5,+6.5,+3.3,05/06,+0.04,+0.09,-0.09,-0.18,-1.12,-2.9,-2.59,-6.42,-1.46,+6.6,+6.52,-2.32
65,6739,竹陞科技,1455,+40,+2.83,05/06,+0.03,-0.74,-0.75,-0.76,-1.06,-0.29,+0.68,+1.8,+1.85,,,+0.99
66,2454,聯發科,3430,+275,+8.72,05/06,+0.03,+0.03,+0.03,+0.12,+0.53,+0.69,+0.65,+1.47,-2.31,+1.77,+4.05,+0.81
67,4915,致伸,74.8,+0.5,+0.67,05/06,+0.03,+0.07,+0.2,+0.07,-0.09,-1.35,-1.73,-2.08,-7.7,+13.4,+14.1,-1.06
68,3260,威剛,461.5,+13.5,+3.01,05/06,+0.03,-2.35,-2.33,-2.25,-2.3,-4.2,-5.22,-2.5,+6.08,+5.2,+8.9,-5.54
69,8454,富邦媒,180.5,+1.5,+0.84,05/06,+0.03,+0.07,+0.12,+0.08,-0.07,-0.07,-0.06,+0.5,+0.25,-0.54,+0.26,+0.22
70,2303,聯電,91.4,+8.3,+9.99,05/06,+0.03,+0.09,+0.05,-0.04,+0.02,+0.73,+0.46,-2.41,-3.19,+13,+16.2,-0.47
71,3217,優群,177.5,+3.5,+2.01,05/06,+0.03,+0.04,+0.04,+0.04,+0.25,+0.36,+0.37,-0.94,-2.06,-7.64,+2.13,+0.87
72,2891C,中信金丙特,62,+0.1,+0.16,05/06,+0.03,+0.03,+0.03,+0.03,+0.09,+0.15,+0.13,+0.02,-0.07,-0.31,,+0.13
73,6223,旺矽,4950,-50,-1,05/06,+0.03,+0.02,+0.15,+0.15,-0.15,+0.09,+0.53,-1.22,+7.45,+16.2,+12.9,-0.71
74,3711,日月光投控,524,+4,+0.77,05/06,+0.03,+0.03,+0.05,+0.13,+0.2,+0.18,+0.38,-1.59,-3.84,+0.9,,+0.38
75,6526,達發,655,+59,+9.9,05/06,+0.02,+0.03,+0.05,+0.05,+0.05,-0.02,+0.28,-0.05,-0.46,,,+0.25
76,6830,汎銓,878,-97,-9.95,05/06,+0.02,+0.03,+0.12,+0.37,+0.51,+0.59,+2.22,+2.41,+2.41,+1.71,,+2.41
77,6139,亞翔,715,+24,+3.47,05/06,+0.02,+0.06,+0.08,+0.08,-0.27,-1.48,-1.13,-1.34,-0.19,+2.59,+2.68,-0.3
78,00935,野村臺灣新科技50,53.7,+0.65,+1.23,05/06,+0.02,+0.07,+0.1,+0.1,+0.04,-0.79,-3.72,+2.9,+2.9,,,+2.9
79,6415,矽力*-KY,424,-12,-2.75,05/06,+0.02,-0.03,-0.03,-0.09,+0.46,+0.66,-0.47,+1.9,+0.49,-0.3,-1.54,+1.9
80,9907,統一實,17.3,-0.3,-1.7,05/06,+0.02,+0.07,+0.13,+0.15,+0.14,+0.02,-0.23,+2.57,+2.78,+2.74,+2.76,-0.15
81,3715,定穎投控,186.5,-10,-5.09,05/06,+0.02,+0.03,+0.03,+0.03,-0.78,-1.18,-1.4,-1.68,-0.34,-2.55,,-3.79
82,1785,光洋科,168.5,+8.5,+5.31,05/06,+0.02,+0.07,+0.12,+0.12,+0.14,+0.21,+0.18,+1.4,+1.32,+1.45,+1.39,+0.14
83,3030,德律,413,-1,-0.24,05/06,+0.02,+0.02,+0.02,+0.02,-0.14,+0.05,+0.22,-6.32,+0.5,+0.5,+0.55,+0.38
84,2472,立隆電,186.5,-2,-1.06,05/06,+0.02,+0.05,+0.06,+0.06,+0.31,+0.49,+0.01,+0.44,-0.16,+0.96,+1.53,-1.39
85,3693,營邦,664,+5,+0.76,05/06,+0.02,+0.01,+0.03,-0.04,-0.11,-0.08,+0.31,+0.22,+0.62,+1.19,+1.19,+0.63
86,6531,愛普*,965,+30,+3.21,05/06,+0.02,+0.05,+0.04,+0.06,+0.19,+0.7,+0.89,+0.89,+1.02,-1.43,,-0.53
87,6187,萬潤,1215,-130,-9.67,05/06,+0.01,+0.06,+0.48,+1.03,-0.86,+2.15,+8.62,+8.11,+7.51,+9.42,+4.96,+8.71
88,5269,祥碩,1340,-10,-0.74,05/06,+0.01,+0.01,+0.02,+0.02,+0.02,-0.06,-0.26,+0.24,-8.82,-4.55,-0.14,+0.2
89,8150,南茂,89.2,+5.1,+6.06,05/06,+0.01,+0.07,0,0,-0.01,+0.01,-0.01,+0.04,-1.65,-1.25,-0.18,+0.06
90,2317,鴻海,252,+12.5,+5.22,05/06,+0.01,+0.04,+0.04,+0.05,+0.11,+0.05,+0.15,-0.5,+0.14,+0.21,+1.23,-0.11
91,2308,台達電,2210,+45,+2.08,05/06,+0.01,+0.02,+0.03,+0.05,+0.05,+0.08,+0.37,+0.47,+0.92,+0.85,+2.1,+0.46
92,2360,致茂,2345,+110,+4.92,05/06,+0.01,+0.04,+0.11,+0.19,-0.29,+0.23,+1.23,+1.92,+5.8,+5.75,+5.79,+0.93
93,4953,緯軟,123.5,+1.5,+1.23,05/06,+0.01,+0.01,+0.01,+0.01,+0.01,+0.01,-0.01,-0.16,+0.04,-1.07,-1.07,-0.23
94,8112,至上,86.8,+2,+2.36,05/06,+0.01,-0.17,-0.31,-0.38,-2.37,-2.27,-2.11,-4.27,-13.7,+6.27,+6.17,-4.44
95,6789,采鈺,560,-44,-7.28,05/06,+0.01,+0.03,+0.03,+0.03,+0.01,+0.01,+0.18,+0.31,+0.49,+0.56,,+0.27
96,00646,元大S&P500,72.3,+0.65,+0.91,05/06,+0.01,+0.03,+0.03,+0.01,+0.02,+0.07,+0.4,+0.47,+0.21,+0.21,+0.21,+0.56
97,1590,亞德客-KY,1435,-5,-0.35,05/06,+0.01,+0.01,+0.01,+0.13,+0.73,+0.69,+0.65,+0.81,+0.67,-1.12,-1.25,+0.77
98,2618,長榮航,33.95,-0.05,-0.15,05/06,+0.01,+0.02,+0.02,+0.02,+0.27,+0.25,-0.16,-2.2,-11.6,+13.8,+13.7,-1.89
99,5351,鈺創,78.5,+4.4,+5.94,05/06,+0.01,+0.01,+0.01,+0.01,+0.01,-0.01,-0.11,+0.11,+0.09,+0.1,+0.12,+0.04
100,4968,立積,117.5,-3.5,-2.89,05/06,+0.01,+0.01,+0.01,+0.01,+0.01,-0.02,-0.06,+0.05,-0.51,-3.35,-7.96,-0.01
101,2330,台積電,2250,0,0,05/06,+0.01,+0.01,+0.02,+0.02,+0.05,+0.03,+0.12,+0.23,+0.22,+0.45,+0.77,+0.17
102,2363,矽統,57.2,+1.4,+2.51,05/06,+0.01,+0.01,+0.01,+0.01,+0.01,-0.01,-0.02,+0.04,-0.02,+0.09,+0.16,+0.04
103,8054,安國,111.5,-0.5,-0.45,05/06,+0.01,+0.01,+0.01,+0.01,+0.01,-0.01,-0.01,+0.03,+0.07,-0.26,-0.26,+0.04
104,3036,文曄,214,+5,+2.39,05/06,+0.01,-0.03,-0.16,-0.18,-0.3,-1.23,+0.54,+1.84,+6.66,+7.4,+9.07,+0.16
105,7749,意騰-KY,515,0,0,05/06,+0.01,+0.01,+0.01,+0.01,+0.01,-0.01,-0.05,-0.18,,,,0
106,1503,士電,196.5,-1.5,-0.76,05/06,+0.01,+0.01,+0.01,+0.01,+0.01,+0.01,-0.1,-0.1,-0.16,-1.72,+0.07,-0.11
107,0050,元大台灣50,95.75,+1.15,+1.22,05/06,+0.01,+0.05,+0.06,+0.06,+0.07,+0.09,+0.53,+0.77,+0.77,+1.14,+1.52,+0.66
108,2890,永豐金,31,+0.35,+1.14,05/06,+0.01,0,0,-0.01,-0.24,-0.51,-0.22,+0.31,-3.11,-0.7,+3.51,-0.32
109,2436,偉詮電,74.9,+1.4,+1.9,05/06,+0.01,+0.01,+0.01,+0.01,+0.01,+0.03,+0.1,-0.42,-0.07,-0.13,-0.12,+0.18
110,6278,台表科,166.5,-18.5,-10,05/06,+0.01,-0.16,-0.36,-1.37,-2.74,-5.91,-6.51,-9.79,-14.2,+9.57,+9.68,-9.22
111,6138,茂達,250.5,-1,-0.4,05/06,+0.01,+0.01,+0.01,+0.01,-0.27,-0.43,-0.56,-0.52,-2.12,-11.9,+0.68,-0.32
112,6643,M31,650,+10,+1.56,05/06,0,+0.01,+0.01,+0.01,+0.17,+0.32,-0.64,+0.91,+0.62,-6.09,,+0.91
113,2449,京元電子,328.5,-25.5,-7.2,05/06,0,+0.12,+0.12,-0.29,-0.92,-2.11,+0.09,+1.91,+2.79,+4.87,-2.62,-0.39
114,3034,聯詠,441.5,+21.5,+5.12,05/06,0,+0.02,+0.01,-0.1,-0.02,-0.19,-2.69,-6.44,-16.4,+6.66,+12.8,-4.65
115,3008,大立光,2520,-25,-0.98,05/06,0,-0.02,-0.04,-0.04,-0.33,-0.85,-1.15,+0.99,+0.57,+0.67,+0.72,-0.42
116,6640,均華,1425,-70,-4.68,05/06,0,0,0,+0.04,+0.88,+2.01,+2.03,+2.7,+2.82,+2.82,,+2.23
117,5236,凌陽創新,164.5,+0.5,+0.3,05/06,0,+0.01,+0.01,+0.01,+0.01,0,+0.02,+0.04,+0.05,+0.05,,+0.03
118,6104,創惟,99,+0.6,+0.61,05/06,0,+0.01,+0.01,+0.01,+0.01,-0.01,-0.09,-0.02,-2.61,-0.33,-2.7,-0.02
119,6202,盛群,56.9,-0.3,-0.52,05/06,0,+0.01,+0.01,+0.01,+0.01,-0.01,-0.01,+0.04,-0.06,-0.31,-0.02,+0.03
120,6719,力智,188,-2,-1.05,05/06,0,0,0,0,0,-0.01,+0.02,-0.16,-0.02,-3.68,,-0.15
121,3228,金麗科,242,+22,+10,05/06,0,0,0,0,0,0,+0.01,+0.03,+0.01,+0.03,+0.04,+0.03
