排名,代號,名稱,成交,漲跌價,漲跌幅,法人買賣日期,當日買賣超佔發行張數,2日買賣超佔發行張數,3日買賣超佔發行張數,5日買賣超佔發行張數,10日買賣超佔發行張數,1個月買賣超佔發行張數,3個月買賣超佔發行張數,半年買賣超佔發行張數,1年買賣超佔發行張數,3年買賣超佔發行張數,10年買賣超佔發行張數,今年買賣超佔發行張數
1,3624,光頡,83.8,+7.6,+9.97,05/18,+0.87,+3.44,+3.52,+4.01,+4.01,+4.01,+4.01,+4.01,+4.01,-5.89,+3.98,+4.01
2,6147,頎邦,207,+2,+0.98,05/18,+0.71,+0.55,+0.51,+0.63,+0.72,+2.43,+4.84,+0.35,-0.06,+6.53,+6.36,+3.77
3,6278,台表科,210,-10.5,-4.76,05/18,+0.53,+1.31,+2.57,+2.63,+3.8,+0.91,-2.46,-5.67,-10.4,+13.5,+13.6,-5.26
4,2376,技嘉,330.5,+4,+1.23,05/18,+0.46,+0.45,+0.47,+0.47,+0.36,-0.19,0,+0.11,-2.36,-4.19,-2.25,+0.05
5,3563,牧德,893,+18,+2.06,05/18,+0.31,+0.31,+0.31,+0.02,-0.05,-0.9,+0.04,+3.26,+2.46,+3.62,+3.59,+1.04
6,2327,國巨*,501,+45.5,+9.99,05/18,+0.3,+0.59,+0.58,+0.96,+1.75,+1.46,+1.65,+3.47,+3.58,+3.2,+3.75,+3.07
7,6531,愛普*,1135,+55,+5.09,05/18,+0.24,+1.55,+2.3,+3.04,+3.1,+3.48,+3.95,+3.37,+4.07,+1.39,,+2.52
8,6706,惠特,174,+15.5,+9.78,05/18,+0.22,+0.22,+0.22,+0.22,+0.22,+2.23,+2.22,+2.22,+1.77,+2.17,,+2.22
9,3583,辛耘,900,+12,+1.35,05/18,+0.21,+0.45,+0.77,+1.05,+2.11,+2.81,+4.6,+4.6,+4.52,+4.69,-0.99,+4.6
10,6515,穎崴,10240,+460,+4.7,05/18,+0.19,+0.39,+0.68,+0.46,+0.35,+0.49,+1.01,+5.64,+11.3,+4.16,,+3.3
11,6223,旺矽,6135,+240,+4.07,05/18,+0.19,+0.35,+0.32,+0.66,+0.79,+0.6,+1.61,+0.37,+9.48,+16.2,+13.7,+0.06
12,7734,印能科技,3705,-45,-1.2,05/18,+0.18,-0.13,+0.31,+0.7,+0.69,+3.66,+5.08,+4.85,+4.86,,,+4.92
13,1582,信錦,106.5,+7.1,+7.14,05/18,+0.17,+0.17,+0.76,+1.21,+1.48,+1.11,+1.63,+1.22,-0.14,+1.76,+1.74,+1.62
14,2344,華邦電,130.5,+1,+0.77,05/18,+0.17,+0.74,+1.1,+1.47,+1.94,+1.82,+2.27,+3.22,+6.75,+5.97,+6.8,+3.31
15,2303,聯電,111,+1,+0.91,05/18,+0.16,+0.48,+0.52,+0.74,+1.02,+1.02,+1.41,-1.37,-2.35,+14.1,+17.1,+0.46
16,6782,視陽,190.5,+1.5,+0.79,05/18,+0.16,+0.35,+0.54,+0.55,+0.59,+0.5,+0.71,+0.27,+0.73,-1.77,,+0.63
17,8210,勤誠,1380,-30,-2.13,05/18,+0.14,+0.3,+0.47,+1.39,+4.26,+5.04,+0.85,+3.23,+4.58,+4.68,+3.79,+3.01
18,3533,嘉澤,2325,-5,-0.21,05/18,+0.14,+0.14,-0.18,-0.89,-0.48,-0.36,+2.88,+3.09,-0.44,-8.72,+3.15,+4.42
19,3189,景碩,505,+19,+3.91,05/18,+0.12,+0.21,+0.13,-0.3,-1.85,-0.45,-1.34,+2.29,+3.79,+0.39,+3.86,+3.93
20,6442,光聖,1815,+75,+4.31,05/18,+0.11,-0.51,-0.46,-1.69,-2.47,-5.36,-4.34,-3.07,+0.65,+4.87,+4.87,-4.49
21,2313,華通,259,+23.5,+9.98,05/18,+0.11,+0.11,+0.14,+0.27,+0.2,-0.81,-0.24,+2.49,+1.55,+1.31,+2.97,+2.09
22,2481,強茂,129,+11.5,+9.79,05/18,+0.1,+0.23,+0.31,+1.17,+0.9,+0.54,-2.81,-3.98,+2.7,+3.93,+0.93,-3.73
23,8996,高力,1045,+5,+0.48,05/18,+0.07,+0.3,+0.68,+1.03,+0.45,+1.74,+1.88,+1.66,+2.38,+2.43,+2.74,+2.62
24,3023,信邦,294,+13,+4.63,05/18,+0.06,+0.06,+0.06,+0.06,-0.01,-1.49,-2.26,+0.5,+5.64,+4.15,+2.26,-2.93
25,5347,世界,159,-17.5,-9.92,05/18,+0.06,+0.22,+0.28,+0.29,+0.63,-0.49,-1.9,-6.79,-11.3,+8.58,+9.67,-5.23
26,00980D,主動聯博投等入息,20.26,-0.06,-0.3,05/18,+0.06,+0.06,+0.06,+0.06,+0.06,+0.44,+0.42,+0.1,,,,-0.01
27,2345,智邦,2495,-10,-0.4,05/18,+0.05,+0.17,+0.31,+0.42,+0.51,+0.77,+1.6,+1.81,+0.25,+3.68,-1.45,+1.12
28,3017,奇鋐,2410,-45,-1.83,05/18,+0.05,+0.1,+0.17,+0.72,-0.42,+0.14,+1.51,-1.02,+1.3,-10.4,+4.47,-0.85
29,7749,意騰-KY,511,+23,+4.71,05/18,+0.05,+0.16,+0.43,+0.44,+0.45,+0.44,+0.41,+0.25,,,,+0.47
30,1785,光洋科,143.5,-9.5,-6.21,05/18,+0.04,+0.08,+0.09,+0.11,+0.21,+0.28,+0.28,+1.54,+1.46,+1.53,+1.54,+0.29
31,6139,亞翔,721,+28,+4.04,05/18,+0.04,+0.09,+0.11,-0.18,-0.07,-0.75,-1.29,-1.1,-0.39,+2.43,+2.55,-0.43
32,6415,矽力*-KY,514,+46,+9.83,05/18,+0.04,+0.06,+0.14,+0.26,+0.35,+1.38,+1.04,+2.26,+1.11,+0.12,-1.05,+2.27
33,2467,志聖,594,+7,+1.19,05/18,+0.03,+0.07,+0.08,+0.07,-0.28,-0.67,+1.1,+1.82,+1.82,+2.09,+2.09,+1.42
34,3363,上詮,804,-37,-4.4,05/18,+0.03,-0.02,-0.02,+0.01,+0.02,+0.03,+0.21,+0.4,+0.42,+1.07,+1.89,+0.37
35,00984D,主動聯博全球非投,10.01,-0.02,-0.2,05/18,+0.03,+0.03,+0.03,+0.03,+0.03,-0.33,+1.26,,,,,
36,5289,宜鼎,1865,+105,+5.97,05/18,+0.03,-0.07,+0.27,-0.06,+1.49,+2.92,+2.41,+1.96,-0.25,+0.65,+3.27,+4.66
37,2472,立隆電,235,+18,+8.29,05/18,+0.03,+0.06,+0.17,+0.17,+1.32,+1.77,+1.56,+2.08,+1.12,+2.47,+2.8,-0.12
38,8021,尖點,400.5,-41,-9.29,05/18,+0.03,-0.17,-0.17,-0.67,-0.85,-1.97,-1.42,-6.11,-2.79,-2.79,-2.79,+0.45
39,3081,聯亞,2710,+55,+2.07,05/18,+0.02,-0.08,+0.26,+0.19,-0.07,-1.92,+1.71,+6.08,+8.96,+15.9,+13.1,+4.19
40,2330,台積電,2240,-25,-1.1,05/18,+0.02,+0.04,+0.06,+0.12,+0.14,+0.18,+0.24,+0.36,+0.34,+0.58,+0.89,+0.3
41,1605,華新,34.7,-0.2,-0.57,05/18,+0.02,+0.05,+0.07,+0.13,+0.13,+0.1,-0.32,-0.6,-0.12,-3.49,-4.13,-0.74
42,6488,環球晶,698,-12,-1.69,05/18,+0.02,+0.05,+0.05,+0.07,+0.57,+1.31,+1.75,+5.62,+3.19,+5.75,+5.88,+5.05
43,3661,世芯-KY,4590,-15,-0.33,05/18,+0.02,-0.08,0,-0.08,-0.1,+0.94,+0.31,-0.33,+0.09,-8.4,+7.27,+1.04
44,6669,緯穎,5090,-25,-0.49,05/18,+0.02,+0.01,+0.04,+0.83,+1.74,+3.95,+3.29,+2,+1.85,+4.24,,+1.6
45,3030,德律,387,-8,-2.03,05/18,+0.02,+0.04,+0.05,+0.05,+0.1,-0.15,+0.31,-6.44,+0.59,+0.58,+0.63,+0.47
46,2891C,中信金丙特,62.3,+0.1,+0.16,05/18,+0.02,+0.02,+0.02,+0.07,+0.09,+0.15,+0.2,+0.2,0,-0.23,,+0.2
47,00935,野村臺灣新科技50,53.25,+0.05,+0.09,05/18,+0.02,+0.07,+0.09,+0.16,+0.31,+0.27,-3.65,+3.08,+3.08,,,+3.08
48,6640,均華,1305,-65,-4.74,05/18,+0.02,+0.04,+0.04,+0.15,+0.18,+1.37,+2.26,+2.88,+2.99,+2.99,,+2.41
49,6257,矽格,218.5,+1.5,+0.69,05/18,+0.02,+0.07,+0.07,+0.14,+0.57,-1.22,-2.47,-5.71,-1.08,+7.04,+7.27,-1.85
50,6187,萬潤,1135,+10,+0.89,05/18,+0.02,-0.43,-0.86,-0.41,-1.49,-1.22,+7.06,+6.61,+6.02,+7.87,+3.39,+7.16
51,00646,元大S&P500,73.3,-0.65,-0.88,05/18,+0.01,+0.01,+0.01,+0.02,+0.07,+0.07,+0.42,+0.59,+0.24,+0.24,+0.24,+0.59
52,8016,矽創,275,+1,+0.36,05/18,+0.01,-0.08,-0.22,-0.12,-0.18,-1.13,-1.65,-0.76,+1.43,-1.3,-1.49,-3.06
53,0050,元大台灣50,94.9,-0.5,-0.52,05/18,+0.01,+0.01,+0.01,+0.01,+0.08,+0.1,+0.45,+0.82,+0.74,+1.15,+1.53,+0.68
54,3037,欣興,816,-5,-0.61,05/18,+0.01,-0.06,+0.17,+0.4,+0.31,+0.23,+2.96,+6.57,+7.99,+4.16,+9.68,+6.08
55,6239,力成,250,+2,+0.81,05/18,+0.01,+0.01,0,-0.18,-0.4,-1.72,-3.92,-9.32,-10.6,+8.76,+12.9,-2.68
56,5269,祥碩,1390,-65,-4.47,05/18,+0.01,+0.02,+0.02,+0.24,+0.4,+0.35,+0.11,+0.68,-8.82,-5.34,+0.19,+0.59
57,3715,定穎投控,170.5,-4.5,-2.57,05/18,+0.01,+0.01,+0.01,+0.02,+0.05,-1.03,-1.32,-4.21,-0.11,-3.68,,-3.77
58,3231,緯創,135.5,0,0,05/18,+0.01,+0.01,0,-0.01,0,+0.12,-0.08,-1.58,-2.39,-2.13,+0.7,-0.61
